Name,Logging,Property,Easting,Northing,Lat,Long,Cam nr,series,,picture,species name,Species,Type,Nr,Total,Year,Month ,Day,Hour Exact,Comment,camera brand,Location,Logging
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,502,Gray fox,Urocyon cinereoargenteus,Mammal,1,,2020,8,5,11.40,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,472,Ocelot,Leopardus pardalis,Mammal,1,,2020,7,31,5.43,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,487,Ocelot,Leopardus pardalis,Mammal,1,,2020,8,2,19.08,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,274,Puma,Puma concolor,Mammal,1,,2020,7,8,18.20,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,361,Puma,Puma concolor,Mammal,1,,2020,7,18,5.28,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,388,Puma,Puma concolor,Mammal,1,,2020,7,21,1.18,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,431,Puma,Puma concolor,Mammal,1,,2020,7,26,3.13,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,268,Red Brocket Deer,Mazama temama,Mammal,1,,2020,7,8,9.56,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,37,White-nosed Coati,Nasua narica,Mammal,1,,2020,6,27,15.08,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,478,White-nosed Coati,Nasua narica,Mammal,1,,2020,8,1,11.42,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,26,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,6,27,11.04,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,32,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,6,27,12.52,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,40,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,6,27,18.49,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,67,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,6,28,9.30,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,382,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,7,20,17.01,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,394,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,7,21,15.27,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,403,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,7,23,11.20,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,406,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,7,24,11.33,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,409,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,7,25,14.07,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,415,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,7,25,15.20,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,499,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,8,5,8.04,,,,
13D,Yes,Laguna Seca,289870,1951695,17.64213900,-88.98064900,13,D,,508,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,8,5,13.21,,,,
13E,Yes,Laguna Seca,289293,1951344,17.63891200,-88.98604900,13,E,,58,Common Opossum,Didelphis marsupialis,Mammal,1,,2020,8,29,20.28,,,,
13E,Yes,Laguna Seca,289293,1951344,17.63891200,-88.98604900,13,E,,22,Mammal,Mammal,Mammal,1,,2020,8,9,15.04,,,,
13E,Yes,Laguna Seca,289293,1951344,17.63891200,-88.98604900,13,E,,61,Ocelot,Leopardus pardalis,Mammal,1,,2020,9,1,1.40,,,,
13E,Yes,Laguna Seca,289293,1951344,17.63891200,-88.98604900,13,E,,106,Paca,Cuniculus paca,Mammal,1,,2020,9,8,21.56,,,,
13E,Yes,Laguna Seca,289293,1951344,17.63891200,-88.98604900,13,E,,112,Paca,Cuniculus paca,Mammal,1,,2020,9,12,23.08,,,,
13E,Yes,Laguna Seca,289293,1951344,17.63891200,-88.98604900,13,E,,97,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,9,6,17.04,,,,
13F,Yes,Laguna Seca,289288,1951348,17.638948,-88.986102,13,F,,37,Common Opossum,Didelphis marsupialis,Mammal,1,,2020,10,11,22.25,,,,
13F,Yes,Laguna Seca,289288,1951348,17.638948,-88.986102,13,F,,52,Gray fox,Urocyon cinereoargenteus,Mammal,1,,2020,10,17,5.16,,,,
13F,Yes,Laguna Seca,289288,1951348,17.638948,-88.986102,13,F,,19,Rodent,Rodent,Mammal,1,,2020,9,25,2.23,,,,
13F,Yes,Laguna Seca,289288,1951348,17.638948,-88.986102,13,F,,31,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,10,5,9.59,,,,
13F,Yes,Laguna Seca,289288,1951348,17.638948,-88.986102,13,F,,67,White-tailed Deer,Odocoileus virginianus,Mammal,1,,2020,10,24,6.42,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,3226,Great Curassow,Crax rubra,Bird,1,,2020,4,25,6.45,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,646,Great Curassow,Crax rubra,Bird,1,,2020,3,21,6.38,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,1963,Great Tinamou,Tinamus major,Bird,1,,2020,3,30,8.13,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,2384,Great Tinamou,Tinamus major,Bird,1,,2020,4,1,17.56,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,2923,Great Tinamou,Tinamus major,Bird,1,,2020,4,10,6.48,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,3160,Great Tinamou,Tinamus major,Bird,1,,2020,4,19,7.06,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,3385,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,2,14.02,,,,
01B,Yes,Yalbac,286795,1939898,17.53528000,-89.00844200,1,B,,3709,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,7,12.01,,,,
01C,Yes,Yalbac,286793,1939897,17.53526600,-89.00846200,1,C,,283,Crested guan,Penelope purpurascens,Bird,1,,2020,5,30,17.28,,,,
01C,Yes,Yalbac,286793,1939897,17.53526600,-89.00846200,1,C,,175,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,15,15.18,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,427,Blue Ground-Dove,Claravis pretiosa,Bird,1,,2020,7,13,17.23,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,321,Common Pauraque,Nyctidromus albicollis,Bird,1,,2020,7,7,3.31,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,346,Common Pauraque,Nyctidromus albicollis,Bird,1,,2020,7,8,0.19,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,466,Common Pauraque,Nyctidromus albicollis,Bird,1,,2020,7,16,4.55,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,505,Common Pauraque,Nyctidromus albicollis,Bird,1,,2020,7,17,4.46,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,190,Gray-headed Dove,Leptotila plumbeiceps,Bird,1,,2020,6,27,6.17,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,284,Gray-headed Dove,Leptotila plumbeiceps,Bird,1,,2020,7,3,7.15,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,289,Gray-headed Dove,Leptotila plumbeiceps,Bird,1,,2020,7,3,7.48,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,160,Great Curassow,Crax rubra,Bird,1,,2020,6,26,5.49,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,352,Great Curassow,Crax rubra,Bird,1,,2020,7,8,5.44,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,355,Great Curassow,Crax rubra,Bird,1,,2020,7,8,7.18,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,478,Great Curassow,Crax rubra,Bird,1,,2020,7,16,6.29,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,511,Great Curassow,Crax rubra,Bird,1,,2020,7,17,5.26,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,52,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,16,12.46,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,79,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,20,9.27,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,112,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,22,17.56,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,130,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,23,5.45,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,136,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,23,7.43,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,157,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,25,9.27,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,172,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,26,12.05,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,175,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,26,15.04,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,220,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,28,9.17,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,244,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,29,15.36,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,247,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,29,18.26,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,256,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,30,5.16,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,259,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,30,15.49,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,265,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,1,15.16,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,280,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,2,7.51,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,367,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,8,17.25,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,373,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,8,18.22,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,379,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,9,5.47,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,385,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,9,18.21,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,388,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,10,5.47,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,394,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,10,10.22,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,397,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,10,11.03,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,409,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,13,8.46,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,430,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,13,17.48,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,445,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,14,6.17,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,460,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,15,18.07,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,475,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,16,5.47,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,496,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,16,17.38,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,514,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,17,5.40,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,520,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,18,3.13,,,,
01D,Yes,Yalbac,284079,1939085,17.52767300,-89.03393300,1,D,,382,Plain Chachalaca,Ortalis vetula,Bird,1,,2020,7,9,8.09,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,166,Great Curassow,Crax rubra,Bird,1,,2020,9,30,8.44,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,178,Great Curassow,Crax rubra,Bird,1,,2020,10,1,5.39,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,247,Great Curassow,Crax rubra,Bird,1,,2020,10,5,9.55,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,298,Great Curassow,Crax rubra,Bird,1,,2020,10,12,16.34,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,313,Great Curassow,Crax rubra,Bird,1,,2020,10,14,7.04,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,337,Great Curassow,Crax rubra,Bird,1,,2020,10,15,16.21,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,346,Great Curassow,Crax rubra,Bird,1,,2020,10,17,5.54,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,352,Great Curassow,Crax rubra,Bird,1,,2020,10,17,6.40,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,355,Great Curassow,Crax rubra,Bird,1,,2020,10,17,14.02,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,364,Great Curassow,Crax rubra,Bird,1,,2020,10,20,9.11,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,367,Great Curassow,Crax rubra,Bird,1,,2020,10,20,16.04,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,238,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,10,2,7.25,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,286,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,10,11,16.41,,,,
01G,Yes,Yalbac,284473,1939228,17.529,-89.030236,1,G,,289,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,10,11,17.10,,,,
01H,Yes,Yalbac,284474,1939211,17.52885,-89.030233,1,H,,25,Gray-headed Dove,Leptotila plumbeiceps,Bird,1,,2020,10,30,9.27,,,,
01H,Yes,Yalbac,284474,1939211,17.52885,-89.030233,1,H,,175,Gray-headed Dove,Leptotila plumbeiceps,Bird,1,,2020,11,18,9.06,,,,
01H,Yes,Yalbac,284474,1939211,17.52885,-89.030233,1,H,,16,Great Curassow,Crax rubra,Bird,1,,2020,10,30,6.51,,,,
01H,Yes,Yalbac,284474,1939211,17.52885,-89.030233,1,H,,70,Swainson's Thrush,Catharus ustulatus,Bird,1,,2020,11,3,14.48,,,,
01H,Yes,Yalbac,284474,1939211,17.52885,-89.030233,1,H,,91,Swainson's Thrush,Catharus ustulatus,Bird,1,,2020,11,5,6.57,,,,
01H,Yes,Yalbac,284474,1939211,17.52885,-89.030233,1,H,,97,Wood Thrush,Hylocichla mustelina,Bird,1,,2020,11,5,7.46,,,,
01H,Yes,Yalbac,284474,1939211,17.52885,-89.030233,1,H,,223,Wood Thrush,Hylocichla mustelina,Bird,1,,2020,11,27,7.07,,,,
02B,Yes,Yalbac,284998,1938089,17.51876800,-89.02518300,2,B,,169,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,3,20,14.20,,,,
02B,Yes,Yalbac,284998,1938089,17.51876800,-89.02518300,2,B,,253,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,3,27,13.50,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,501,Great Curassow,Crax rubra,Bird,1,,2020,5,31,15.22,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,549,Great Curassow,Crax rubra,Bird,1,,2020,6,13,7.08,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,41,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,10,7.38,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,57,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,10,10.02,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,117,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,12,15.56,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,121,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,13,14.02,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,125,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,13,14.49,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,129,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,14,13.08,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,145,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,16,7.28,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,157,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,17,5.01,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,165,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,5,18,9.18,,,,
02C,Yes,Yalbac,285590,1938106,17.51897900,-89.01961000,2,C,,517,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,6,16.07,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,133,Blue Ground-Dove,Claravis pretiosa,Bird,1,,2020,6,26,11.23,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,125,Gray-headed Dove,Leptotila plumbeiceps,Bird,1,,2020,6,26,6.21,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,184,Gray-headed Dove,Leptotila plumbeiceps,Bird,1,,2020,6,28,6.35,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,192,Great Curassow,Crax rubra,Bird,1,,2020,6,28,16.23,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,208,Great Curassow,Crax rubra,Bird,1,,2020,7,1,5.46,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,216,Great Curassow,Crax rubra,Bird,1,,2020,7,1,7.44,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,228,Great Curassow,Crax rubra,Bird,1,,2020,7,2,6.26,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,252,Great Curassow,Crax rubra,Bird,1,,2020,7,7,6.11,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,268,Great Curassow,Crax rubra,Bird,1,,2020,7,7,7.51,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,288,Great Curassow,Crax rubra,Bird,1,,2020,7,10,5.35,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,312,Great Curassow,Crax rubra,Bird,1,,2020,7,11,5.59,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,344,Great Curassow,Crax rubra,Bird,1,,2020,7,12,4.58,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,360,Great Curassow,Crax rubra,Bird,1,,2020,7,12,11.16,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,376,Great Curassow,Crax rubra,Bird,1,,2020,7,13,5.01,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,444,Great Curassow,Crax rubra,Bird,1,,2020,7,17,14.01,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,73,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,21,12.42,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,156,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,27,12.26,,,,
02D,Yes,Yalbac,284809,1938170,17.51947900,-89.02696600,2,D,,168,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,6,27,14.07,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,121,Gray-headed Dove,Leptotila plumbeiceps,Bird,1,,2020,7,25,6.24,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,317,Gray-headed Dove,Leptotila plumbeiceps,Bird,1,,2020,8,1,11.28,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,341,Gray-headed Dove,Leptotila plumbeiceps,Bird,1,,2020,8,3,13.43,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,69,Great Curassow,Crax rubra,Bird,1,,2020,7,21,6.22,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,89,Great Curassow,Crax rubra,Bird,1,,2020,7,22,7.05,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,93,Great Curassow,Crax rubra,Bird,1,,2020,7,22,7.06,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,105,Great Curassow,Crax rubra,Bird,1,,2020,7,22,17.54,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,125,Great Curassow,Crax rubra,Bird,1,,2020,7,26,7.08,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,133,Great Curassow,Crax rubra,Bird,1,,2020,7,26,7.10,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,249,Great Curassow,Crax rubra,Bird,1,,2020,7,30,6.46,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,329,Great Curassow,Crax rubra,Bird,1,,2020,8,2,9.30,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,360,Great Curassow,Crax rubra,Bird,1,,2020,8,5,11.30,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,392,Great Curassow,Crax rubra,Bird,1,,2020,8,9,7.05,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,497,Great Curassow,Crax rubra,Bird,1,,2020,8,16,6.08,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,165,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,27,8.35,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,169,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,27,10.50,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,265,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,30,15.18,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,309,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,7,31,16.58,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,380,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,8,8,12.12,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,384,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,8,8,13.47,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,508,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,8,16,12.39,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,552,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,8,21,14.05,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,556,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,8,21,17.34,,,,
02E,Yes,Yalbac,284808,1938170,17.519475,-89.026982,2,E,,45,Ruddy Quail Dove ,Geotrygon montana,Bird,1,,2020,7,19,7.28,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,13,Great Curassow,Crax rubra,Bird,1,,2020,9,20,8.30,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,245,Great Curassow,Crax rubra,Bird,1,,2020,9,29,8.03,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,257,Great Curassow,Crax rubra,Bird,1,,2020,10,1,12.50,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,269,Great Curassow,Crax rubra,Bird,1,,2020,10,1,12.52,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,309,Great Curassow,Crax rubra,Bird,1,,2020,10,13,7.47,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,301,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,10,7,13.12,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,93,Great Curassow,Crax rubra,Bird,1,,2020,9,23,6.27,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,101,Great Curassow,Crax rubra,Bird,1,,2020,9,26,10.29,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,149,Great Curassow,Crax rubra,Bird,1,,2020,10,6,8.08,,,,
02H,Yes,Yalbac,284930,1938067,17.518558,-89.02582,2,H,,177,Ocellated Turkey,Meleagris ocellata,Bird,1,,2020,10,15,15.53,,,,
