Name,Logging,Property,Easting,Northing,Lat,Long,Cam nr,series,,picture,species name,Species,Type,Nr,Total,Year,Month ,Day,Hour Exact,Comment,camera brand,Location,Logging
03G,Yes,Yalbac,284578,1939508,17.531539,-89.029275,3,G,,253,Great Curassow,Crax rubra,Bird,4,,2020,10,13,9.30,,,,
06C,Yes,Yalbac,286216,1936445,17.50402900,-89.01355500,6,C,,370,Ocellated Turkey,Meleagris ocellata,Bird,4,,2020,5,18,5.46,,,,
06G,Yes,Yalbac,285950,1936022,17.500181,-89.016015,6,G,,79,Great Curassow,Crax rubra,Bird,4,,2020,9,29,7.45,,,,
06G,Yes,Yalbac,285950,1936022,17.500181,-89.016015,6,G,,100,Great Curassow,Crax rubra,Bird,4,,2020,10,2,6.02,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,25,White-lipped Peccary,Tayassu pecari,Mammal,4,,2020,9,21,14.25,,,,
02G,Yes,Yalbac,284926,1938068,17.518568,-89.02586,2,G,,29,White-lipped Peccary,Tayassu pecari,Mammal,4,,2020,9,21,15.13,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,71,Great Curassow,Crax rubra,Bird,3,,2020,8,31,6.20,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,575,Great Curassow,Crax rubra,Bird,3,,2020,9,6,6.15,,,,
02F,Yes,Laguna Seca,284986,1938087,17.51874300,-89.02529900,2,F,,975,Great Curassow,Crax rubra,Bird,3,,2020,9,14,11.50,,,,
04B,Yes,Laguna Seca,287639,1949425,17.62142200,-89.00144600,4,B,,129,Ocellated Turkey,Meleagris ocellata,Bird,3,,2020,4,4,7.30,,,,
11C,Yes,Laguna Seca,290853,1951848,17.64361000,-88.97140600,11,C,,292,Ocellated Turkey,Meleagris ocellata,Bird,3,,2020,6,17,17.44,,,,
13E,Yes,Laguna Seca,289293,1951344,17.63891200,-88.98604900,13,E,,115,Great Curassow,Crax rubra,Bird,3,,2020,9,13,14.40,,,,
04C,Yes,Laguna Seca,288509,1951219,17.63770700,-88.99342700,4,C,,76,White-lipped Peccary,Tayassu pecari,Mammal,3,,2020,6,5,6.37,,,,
12E,Yes,Laguna Seca,285829,1953728,17.66011600,-89.01892500,12,E,,148,Collared Pecary,Pecari tajacu,Mammal,3,,2020,8,25,8.15,,,,
