Location,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,Location,Logging
Yalbac 701D,701,D,4842,White-tailed Deer,1,2017,8,23,14.04,,Moultrie,Laguna Seca,Yes
Yalbac 701D,701,D,4845,White-tailed Deer,1,2017,8,29,22.39,,Moultrie,Laguna Seca,Yes
Yalbac 701D,701,D,4854,White-tailed Deer,1,2017,9,5,14.58,,Moultrie,Laguna Seca,Yes
Yalbac 701D,701,D,4857,White-tailed Deer,1,2017,9,8,4.1,,Moultrie,Laguna Seca,Yes
Yalbac 701D,701,D,4860,White-tailed Deer,1,2017,9,22,15.15,,Moultrie,Laguna Seca,Yes
Yalbac 701E,701,E,4876,White-tailed Deer,1,2017,9,28,8.03,,Moultrie,Laguna Seca,Yes
Yalbac 701E,701,E,4884,White-tailed Deer,1,2017,9,29,5.56,,Moultrie,Laguna Seca,Yes
Yalbac 701E,701,E,4887,White-tailed Deer,1,2017,9,29,6.31,,Moultrie,Laguna Seca,Yes
Yalbac 701F,701,F,4891,White-nosed Coati,1,2017,11,2,14.35,,Moultrie,Laguna Seca,Yes
Yalbac 701F,701,F,4916,White-tailed Deer,1,2017,11,4,10.04,,Moultrie,Laguna Seca,Yes
Yalbac 701G,701,G,4918,Agouti,1,2017,12,2,16.49,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,187,Agouti,1,2017,2,16,6.21,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,556,Common Opossum,1,2017,4,17,19.33,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,49,Gray fox,1,2017,1,31,9.32,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,58,Gray fox,1,2017,1,31,19.39,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,124,Gray fox,1,2017,2,8,22.06,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,127,Gray fox,1,2017,2,9,10.04,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,154,Gray fox,1,2017,2,11,15.05,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,25,Gray fox,1,2017,2,20,15.46,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,49,Gray fox,1,2017,2,23,15.44,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,85,Gray fox,1,2017,2,26,19.58,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,91,Gray fox,1,2017,3,1,11.08,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,97,Gray fox,1,2017,3,2,16.11,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,100,Gray fox,1,2017,3,3,5.01,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,109,Gray fox,1,2017,3,3,20.47,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,118,Gray fox,1,2017,3,5,9.54,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,124,Gray fox,1,2017,3,6,10.43,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,148,Gray fox,1,2017,3,7,15.51,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,172,Gray fox,1,2017,3,8,19.12,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,175,Gray fox,1,2017,3,8,22.22,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,187,Gray fox,1,2017,3,9,11.29,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,199,Gray fox,1,2017,3,9,22.02,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,202,Gray fox,1,2017,3,10,4.49,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,217,Gray fox,1,2017,3,11,2.34,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,220,Gray fox,1,2017,3,11,10.49,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,223,Gray fox,1,2017,3,12,12.02,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,229,Gray fox,1,2017,3,12,19.49,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,247,Gray fox,1,2017,3,15,12.05,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,260,Gray fox,1,2017,3,16,9.39,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,262,Gray fox,1,2017,3,16,10.48,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,286,Gray fox,1,2017,3,17,21.35,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,325,Gray fox,1,2017,3,21,11.07,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,328,Gray fox,1,2017,3,21,13.52,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,343,Gray fox,1,2017,3,22,20.18,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,346,Gray fox,1,2017,3,23,7.25,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,349,Gray fox,1,2017,3,23,11.23,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,355,Gray fox,1,2017,3,23,14.43,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,361,Gray fox,1,2017,3,24,9.28,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,364,Gray fox,1,2017,3,24,14.02,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,367,Gray fox,1,2017,3,25,14.18,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,370,Gray fox,1,2017,3,25,11.15,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,373,Gray fox,1,2017,3,25,23.41,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,382,Gray fox,1,2017,3,26,11.43,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,385,Gray fox,1,2017,3,26,22.33,,Moultrie,Laguna Seca,Yes
Yalbac 702A,702,A,388,Gray fox,1,2017,3,26,23.51,,Moultrie,Laguna Seca,Yes
