Location,Cam nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour_exact,Hour_BERDS,Comment,Camera Brand,No_Sr,Easting,Northing,
Yalbac509H,509,H,,,2329,Great Curassow,1,2016,2,13,18.01,18,,Bushnell,509H,283730,1935382.07,
Yalbac507H,507,H,,,853,Great Curassow,2,2016,2,14,4.28,4.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,868,Great Curassow,2,2016,2,14,15.49,16,Time off,Bushnell,507H,283483,1934993.94,
Yalbac509H,509,H,,,2332,Great Curassow,1,2016,2,14,6.27,6.5,,Bushnell,509H,283730,1935382.07,
Yalbac507H,507,H,,,886,Great Curassow,1,2016,2,15,16.03,16,Time off,Bushnell,507H,283483,1934993.94,
Yalbac510H,510,H,,,828,Great Curassow,1,2016,2,15,7.58,8,,Moultrie,510H,282719,1935522.766,
Yalbac511H,511,H,,,505,Great Curassow,1,2016,2,15,9.25,9.5,,Moultrie,511H,282087,1935456.716,
Yalbac507H,507,H,,,892,Great Curassow,1,2016,2,16,4.53,5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac510H,510,H,,,831,Great Curassow,1,2016,2,16,7.02,7,,Moultrie,510H,282719,1935522.766,
Yalbac507H,507,H,,,913,Great Curassow,1,2016,2,17,15.47,16,Time off,Bushnell,507H,283483,1934993.94,
Yalbac511H,511,H,,,511,Great Curassow,1,2016,2,17,12.12,12,,Moultrie,511H,282087,1935456.716,
Yalbac507H,507,H,,,916,Great Curassow,1,2016,2,18,4.42,4.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,919,Great Curassow,1,2016,2,18,8.2,8.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac509H,509,H,,,2431,Great Curassow,1,2016,2,18,12.28,12.5,,Bushnell,509H,283730,1935382.07,
Yalbac510H,510,H,,,867,Great Curassow,1,2016,2,18,16.3,16.5,,Moultrie,510H,282719,1935522.766,
Yalbac507H,507,H,,,931,Great Curassow,1,2016,2,19,16.17,16.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac511H,511,H,,,526,Great Curassow,1,2016,2,19,6.57,7,,Moultrie,511H,282087,1935456.716,
Yalbac507H,507,H,,,937,Great Curassow,1,2016,2,20,5.08,5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,946,Great Curassow,1,2016,2,20,9,9,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,949,Great Curassow,1,2016,2,20,15.38,15.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,953,Great Curassow,2,2016,2,21,6.14,6,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,964,Great Curassow,3,2016,2,21,15.46,16,Time off,Bushnell,507H,283483,1934993.94,
Yalbac511H,511,H,,,532,Great Curassow,1,2016,2,21,6.54,7,,Moultrie,511H,282087,1935456.716,
Yalbac507H,507,H,,,991,Great Curassow,1,2016,2,23,6.06,6,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,1001,Great Curassow,1,2016,2,23,14.42,14.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,1025,Great Curassow,3,2016,2,25,4.42,4.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac510H,510,H,,,930,Great Curassow,1,2016,2,25,7.29,7.5,,Moultrie,510H,282719,1935522.766,
Yalbac510H,510,H,,,939,Great Curassow,1,2016,2,26,6.56,7,,Moultrie,510H,282719,1935522.766,
Yalbac509H,509,H,,,2692,Great Curassow,1,2016,2,28,12.55,13,,Bushnell,509H,283730,1935382.07,
Yalbac510H,510,H,,,957,Great Curassow,2,2016,2,28,9.08,9,,Moultrie,510H,282719,1935522.766,
Yalbac507c,507,C,,,118,Great Curassow,1,2015,4,25,5.35,5.5,,Bushnell,507 C,283656,1935412,
Yalbac507c,507,C,,,148,Great Curassow,5,2015,4,28,6.21,6.5,,Bushnell,507 C,283656,1935412,
Yalbac504c,504,C,,,159,Great Curassow,1,2015,5,2,18.46,19,,Scoutguard,504 C,292789,1954318,
Yalbac509c,509,C,,,91,Great Curassow,1,2015,5,12,17.29,17.5,,Bushnell,509 C,280114,1935198,
Yalbac511D,511,D,,,22,Great Curassow,1,2015,6,1,16.19,16.5,,Moultrie,511 D,283157,1935085,
Yalbac510D,510,D,,,28,Great Curassow,1,2015,6,3,18.22,18.5,,Moultrie,510 D,282702,1935595,
Yalbac511D,511,D,,,25,Great Curassow,1,2015,6,3,5.23,5.5,,Moultrie,511 D,283157,1935085,
Yalbac511D,511,D,,,31,Great Curassow,1,2015,6,3,6.23,6.5,,Moultrie,511 D,283157,1935085,
Yalbac511D,511,D,,,34,Great Curassow,2,2015,6,3,18.06,18,,Moultrie,511 D,283157,1935085,
Yalbac510D,510,D,,,31,Great Curassow,1,2015,6,4,5.49,6,,Moultrie,510 D,282702,1935595,
Yalbac510D,510,D,,,40,Great Curassow,1,2015,6,5,18.05,18,,Moultrie,510 D,282702,1935595,
Yalbac511D,511,D,,,64,Great Curassow,3,2015,6,7,5.56,6,,Moultrie,511 D,283157,1935085,
Yalbac510D,510,D,,,61,Great Curassow,1,2015,6,8,17,17,,Moultrie,510 D,282702,1935595,
Yalbac511D,511,D,,,82,Great Curassow,1,2015,6,8,14.29,14.5,,Moultrie,511 D,283157,1935085,
Yalbac511D,511,D,,,85,Great Curassow,1,2015,6,8,17.41,17.5,,Moultrie,511 D,283157,1935085,
Yalbac511D,511,D,,,88,Great Curassow,1,2015,6,8,18.06,18,,Moultrie,511 D,283157,1935085,
Yalbac511D,511,D,,,103,Great Curassow,1,2015,6,10,13.55,14,,Moultrie,511 D,283157,1935085,
Yalbac503D,503,D,,,229,Great Curassow,1,2015,6,11,7.35,7.5,,Bushnell,503 D,292559,1958254,
Yalbac511D,511,D,,,121,Great Curassow,1,2015,6,11,5.4,5.5,,Moultrie,511 D,283157,1935085,
Yalbac510D,510,D,,,73,Great Curassow,1,2015,6,13,14.19,14.5,,Moultrie,510 D,282702,1935595,
Yalbac511D,511,D,,,142,Great Curassow,1,2015,6,16,5.45,6,,Moultrie,511 D,283157,1935085,
Yalbac511D,511,D,,,163,Great Curassow,1,2015,6,17,10.01,10,,Moultrie,511 D,283157,1935085,
Yalbac503D,503,D,,,346,Great Curassow,1,2015,6,18,7.54,8,,Bushnell,503 D,292559,1958254,
Yalbac503D,503,D,,,385,Great Curassow,1,2015,6,20,18.18,18.5,,Bushnell,503 D,292559,1958254,
Yalbac504D,504,D,,,64,Great Curassow,1,2015,6,20,12.32,12.5,,Scoutguard,504 D,291590,1956114,
Yalbac511D,511,D,,,184,Great Curassow,1,2015,6,20,7.29,7.5,,Moultrie,511 D,283157,1935085,
Yalbac511D,511,D,,,187,Great Curassow,1,2015,6,23,6.55,7,,Moultrie,511 D,283157,1935085,
Yalbac510D,510,D,,,88,Great Curassow,1,2015,6,24,17.1,17,,Moultrie,510 D,282702,1935595,
Yalbac511D,511,D,,,190,Great Curassow,1,2015,6,24,17.12,17,,Moultrie,511 D,283157,1935085,
Yalbac502D,502,D,,,3335,Great Curassow,1,2015,6,25,16.45,17,,Moultrie,502 D,291686,1955608,
Yalbac510D,510,D,,,91,Great Curassow,1,2015,6,25,15.35,15.5,,Moultrie,510 D,282702,1935595,
Yalbac510D,510,D,,,100,Great Curassow,1,2015,6,26,18.08,18,,Moultrie,510 D,282702,1935595,
Yalbac511D,511,D,,,197,Great Curassow,1,2015,6,27,11.14,11,,Moultrie,511 D,283157,1935085,
Yalbac506D,506,D,,,133,Great Curassow,1,2015,6,29,8.16,8.5,,Bushnell,506 D,291532,1956956,
Yalbac510D,510,D,,,109,Great Curassow,1,2015,6,29,8.33,8.5,,Moultrie,510 D,282702,1935595,
Yalbac503D,503,D,,,529,Great Curassow,1,2015,7,3,7.16,7.5,,Bushnell,503 D,292559,1958254,
Yalbac507D,507,D,,,58,Great Curassow,1,2015,7,4,5.43,5.5,,Bushnell,507 D,283856,1935164,
Yalbac510D,510,D,,,157,Great Curassow,1,2015,7,16,8.48,9,,Moultrie,510 D,282702,1935595,
Yalbac507D,507,D,,,94,Great Curassow,1,2015,7,19,6.09,6,,Bushnell,507 D,283856,1935164,
Yalbac503D,503,D,,,853,Great Curassow,1,2015,7,22,8.23,8.5,,Bushnell,503 D,292559,1958254,
Yalbac510D,510,D,,,217,Great Curassow,1,2015,7,23,7.25,7.5,,Moultrie,510 D,282702,1935595,
Yalbac503D,503,D,,,970,Great Curassow,1,2015,7,25,7.2,7.5,,Bushnell,503 D,292559,1958254,
Yalbac507E,507,E,,,33,Great Curassow,1,2015,7,29,15.51,16,male,Bushnell,507 E,283482,1934992,
Yalbac507E,507,E,,,60,Great Curassow,1,2015,8,1,16.59,17,female,Bushnell,507 E,283482,1934992,
Yalbac509E,509,E,,,43,Great Curassow,1,2015,8,1,11.24,11.5,,Bushnell,509 E,281203,1934430,
Yalbac509E,509,E,,,45,Great Curassow,1,2015,8,1,11.24,11.5,female,Bushnell,509 E,281203,1934430,
Yalbac502E,502,E,,,3420,Great Curassow,1,2015,8,5,16.5,17,female,Moultrie,502 E,290847,1955799,
Yalbac502E,502,E,,,3429,Great Curassow,1,2015,8,6,6.24,6.5,female,Moultrie,502 E,290847,1955799,
Yalbac507E,507,E,,,83,Great Curassow,1,2015,8,7,13.13,13,male,Bushnell,507 E,283482,1934992,
Yalbac503E,503,E,,,79,Great Curassow,1,2015,8,8,14.54,15,,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,82,Great Curassow,1,2015,8,8,8.15,8,male,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,82,Great Curassow,1,2015,8,8,8.15,8.5,,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,142,Great Curassow,1,2015,8,10,14.48,15,,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,145,Great Curassow,1,2015,8,10,14.48,14.5,male,Bushnell,503 E,291322,1957347,
Yalbac506E,506,E,,,70,Great Curassow,1,2015,8,10,11.45,11.5,,Bushnell,506 E,292491,1955895,
Yalbac503E,503,E,,,178,Great Curassow,1,2015,8,11,10.06,10,,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,179,Great Curassow,1,2015,8,11,10.07,10,male,Bushnell,503 E,291322,1957347,
Yalbac502E,502,E,,,3445,Great Curassow,1,2015,8,12,17.23,17.5,female,Moultrie,502 E,290847,1955799,
Yalbac510E,510,E,,,60,Great Curassow,1,2015,8,12,6.57,7,male,Moultrie,510 E,281670,1934730,
Yalbac510E,510,E,,,61,Great Curassow,2,2015,8,12,6.58,7,male and female,Moultrie,510 E,281670,1934730,
Yalbac507E,507,E,,,188,Great Curassow,1,2015,8,13,5.59,6,male,Bushnell,507 E,283482,1934992,
Yalbac507E,507,E,,,190,Great Curassow,1,2015,8,13,17.15,17,male,Bushnell,507 E,283482,1934992,
Yalbac510E,510,E,,,80,Great Curassow,1,2015,8,14,14.47,14.5,male,Moultrie,510 E,281670,1934730,
Yalbac502E,502,E,,,3454,Great Curassow,1,2015,8,15,5.33,5.5,female,Moultrie,502 E,290847,1955799,
Yalbac507E,507,E,,,207,Great Curassow,1,2015,8,15,16.51,17,male,Bushnell,507 E,283482,1934992,
Yalbac504E,504,E,,,337,Great Curassow,1,2015,8,16,6.21,6.5,,Scoutguard,504 E,290567,1955971,
Yalbac510E,510,E,,,86,Great Curassow,1,2015,8,16,17.55,18,male,Moultrie,510 E,281670,1934730,
Yalbac507E,507,E,,,239,Great Curassow,1,2015,8,18,17.32,17.5,male,Bushnell,507 E,283482,1934992,
Yalbac507E,507,E,,,249,Great Curassow,1,2015,8,19,7.27,7.5,male,Bushnell,507 E,283482,1934992,
Yalbac503E,503,E,,,289,Great Curassow,6,2015,8,20,6.01,6,,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,293,Great Curassow,6,2015,8,20,6.04,6,,Bushnell,503 E,291322,1957347,
Yalbac507E,507,E,,,254,Great Curassow,1,2015,8,20,17.39,17.5,male,Bushnell,507 E,283482,1934992,
Yalbac507E,507,E,,,272,Great Curassow,4,2015,8,20,17.44,17.5,,Bushnell,507 E,283482,1934992,
Yalbac503E,503,E,,,331,Great Curassow,1,2015,8,21,6.15,6.5,,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,334,Great Curassow,1,2015,8,21,6.24,6.5,,Bushnell,503 E,291322,1957347,
Yalbac507E,507,E,,,324,Great Curassow,1,2015,8,21,17.38,18,,Bushnell,507 E,283482,1934992,
Yalbac503E,503,E,,,409,Great Curassow,1,2015,8,23,8.11,8,,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,410,Great Curassow,1,2015,8,23,8.11,8,male,Bushnell,503 E,291322,1957347,
Yalbac507E,507,E,,,333,Great Curassow,1,2015,8,23,16.18,16.5,male,Bushnell,507 E,283482,1934992,
Yalbac501e,501,E,,,106,Great Curassow,1,2015,8,24,5.39,5.5,,Bushnell,501 E,291363,1956977,
Yalbac503E,503,E,,,418,Great Curassow,1,2015,8,24,9.12,9,,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,422,Great Curassow,1,2015,8,24,9.13,9,male,Bushnell,503 E,291322,1957347,
Yalbac507E,507,E,,,346,Great Curassow,2,2015,8,24,14.57,15,male,Bushnell,507 E,283482,1934992,
Yalbac507E,507,E,,,357,Great Curassow,2,2015,8,25,10.27,10.5,female,Bushnell,507 E,283482,1934992,
Yalbac510E,510,E,,,113,Great Curassow,1,2015,8,25,12.33,12.5,,Moultrie,510 E,281670,1934730,
Yalbac512E,512,E,,,1726,Great Curassow,2,2015,8,25,17.33,17.5,both males,ScoutGuard,512 E,282178,1935684,
Yalbac506E,506,E,,,194,Great Curassow,1,2015,8,26,6.11,6,female,Bushnell,506 E,292491,1955895,
Yalbac506E,506,E,,,199,Great Curassow,1,2015,8,27,6.12,6,male,Bushnell,506 E,292491,1955895,
Yalbac507E,507,E,,,383,Great Curassow,1,2015,8,27,11.09,11,male,Bushnell,507 E,283482,1934992,
Yalbac507E,507,E,,,398,Great Curassow,1,2015,8,27,17.27,17.5,male,Bushnell,507 E,283482,1934992,
Yalbac504E,504,E,,,531,Great Curassow,1,2015,8,28,7.38,7.5,,Scoutguard,504 E,290567,1955971,
Yalbac506E,506,E,,,230,Great Curassow,2,2015,8,28,6.27,6.5,male and female,Bushnell,506 E,292491,1955895,
Yalbac510E,510,E,,,134,Great Curassow,1,2015,8,28,7.5,8,male,Moultrie,510 E,281670,1934730,
Yalbac502E,502,E,,,3509,Great Curassow,1,2015,8,29,17.26,17.5,male,Moultrie,502 E,290847,1955799,
Yalbac507E,507,E,,,408,Great Curassow,1,2015,8,29,16.19,16,female,Bushnell,507 E,283482,1934992,
Yalbac504E,504,E,,,559,Great Curassow,1,2015,8,30,16.55,17,,Scoutguard,504 E,290567,1955971,
Yalbac506E,506,E,,,236,Great Curassow,1,2015,8,30,6.45,6.5,male,Bushnell,506 E,292491,1955895,
Yalbac507E,507,E,,,411,Great Curassow,1,2015,8,30,11.19,11,male,Bushnell,507 E,283482,1934992,
Yalbac510E,510,E,,,144,Great Curassow,1,2015,8,30,9.52,10,female,Moultrie,510 E,281670,1934730,
Yalbac509E,509,E,,,145,Great Curassow,2,2015,8,31,8.19,8.5,,Bushnell,509 E,281203,1934430,
Yalbac509E,509,E,,,146,Great Curassow,2,2015,8,31,8.19,8,female,Bushnell,509 E,281203,1934430,
Yalbac504E,504,E,,,575,Great Curassow,1,2015,9,1,6.51,7,,Scoutguard,504 E,290567,1955971,
Yalbac505E,505,E,,,43,Great Curassow,1,2015,9,1,8.19,8.5,,Moultrie,505 E,290522,1956892,
Yalbac505E,505,E,,,44,Great Curassow,1,2015,9,1,8.19,8,male,Moultrie,505 E,290522,1956892,
Yalbac506E,506,E,,,261,Great Curassow,2,2015,9,1,6.25,6.5,male,Bushnell,506 E,292491,1955895,
Yalbac504E,504,E,,,644,Great Curassow,1,2015,9,4,18.48,19,,Scoutguard,504 E,290567,1955971,
Yalbac505E,505,E,,,52,Great Curassow,1,2015,9,4,10.29,10.5,,Moultrie,505 E,290522,1956892,
Yalbac505E,505,E,,,53,Great Curassow,1,2015,9,4,10.29,10.5,male,Moultrie,505 E,290522,1956892,
Yalbac506E,506,E,,,274,Great Curassow,1,2015,9,4,5.47,5.5,male,Bushnell,506 E,292491,1955895,
Yalbac512E,512,E,,,2311,Great Curassow,1,2015,9,5,7.48,7.5,female,ScoutGuard,512 E,282178,1935684,
Yalbac503E,503,E,,,586,Great Curassow,1,2015,9,7,7.17,7.5,,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,589,Great Curassow,1,2015,9,7,7.24,7.5,,Bushnell,503 E,291322,1957347,
Yalbac504E,504,E,,,688,Great Curassow,1,2015,9,8,6.59,7,,Scoutguard,504 E,290567,1955971,
Yalbac509E,509,E,,,190,Great Curassow,1,2015,9,8,9.02,9,,Bushnell,509 E,281203,1934430,
Yalbac509E,509,E,,,195,Great Curassow,1,2015,9,8,9.03,9,male,Bushnell,509 E,281203,1934430,
Yalbac503E,503,E,,,634,Great Curassow,1,2015,9,9,6.36,6.5,,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,636,Great Curassow,1,2015,9,9,6.36,6.5,,Bushnell,503 E,291322,1957347,
Yalbac510E,510,E,,,206,Great Curassow,1,2015,9,9,9.04,9,male,Moultrie,510 E,281670,1934730,
Yalbac504E,504,E,,,749,Great Curassow,1,2015,9,10,8.15,8.5,,Scoutguard,504 E,290567,1955971,
Yalbac504E,504,E,,,765,Great Curassow,1,2015,9,11,6.42,6.5,,Scoutguard,504 E,290567,1955971,
Yalbac504E,504,E,,,766,Great Curassow,1,2015,9,11,7.34,7.5,,Scoutguard,504 E,290567,1955971,
Yalbac504E,504,E,,,808,Great Curassow,1,2015,9,12,8.3,8.5,,Scoutguard,504 E,290567,1955971,
Yalbac503E,503,E,,,832,Great Curassow,1,2015,9,13,6,6,,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,834,Great Curassow,1,2015,9,13,6,6,male,Bushnell,503 E,291322,1957347,
Yalbac503E,503,E,,,836,Great Curassow,1,2015,9,13,6.47,7,,Bushnell,503 E,291322,1957347,
Yalbac504E,504,E,,,874,Great Curassow,1,2015,9,13,18.12,18,,Scoutguard,504 E,290567,1955971,
Yalbac506E,506,E,,,339,Great Curassow,1,2015,9,13,16.46,16.5,male,Bushnell,506 E,292491,1955895,
Yalbac506E,506,E,,,344,Great Curassow,1,2015,9,14,8.11,8,male,Bushnell,506 E,292491,1955895,
Yalbac509E,509,E,,,211,Great Curassow,2,2015,9,14,7.51,8,,Bushnell,509 E,281203,1934430,
Yalbac509E,509,E,,,217,Great Curassow,1,2015,9,14,7.52,8,male,Bushnell,509 E,281203,1934430,
Yalbac509E,509,E,,,220,Great Curassow,4,2015,9,14,11.06,11,,Bushnell,509 E,281203,1934430,
Yalbac509E,509,E,,,223,Great Curassow,4,2015,9,14,11.06,11,3 males one female,Bushnell,509 E,281203,1934430,
Yalbac503F,503,F,,,18,Great Curassow,1,2015,9,16,7.22,7.5,female,Bushnell,503F,291313,1957359,
Yalbac503F,503,F,,,51,Great Curassow,1,2015,9,17,10.2,10,female,Bushnell,503F,291313,1957359,
Yalbac503F,503,F,,,78,Great Curassow,1,2015,9,18,17.11,17,male,Bushnell,503F,291313,1957359,
Yalbac503F,503,F,,,98,Great Curassow,1,2015,9,19,18.57,19,male,Bushnell,503F,291313,1957359,
Yalbac503F,503,F,,,113,Great Curassow,2,2015,9,19,7.4,7.5,,Bushnell,503F,291313,1957359,
Yalbac503F,503,F,,,145,Great Curassow,2,2015,9,19,10.31,10.5,males,Bushnell,503F,291313,1957359,
Yalbac512F,512,F,,,33,Great Curassow,1,2015,9,19,8.54,9,male,ScoutGuard,512F,281718,1935445,
Yalbac503F,503,F,,,189,Great Curassow,1,2015,9,20,6.14,6,male,Bushnell,503F,291313,1957359,
Yalbac504F,504,F,,,225,Great Curassow,1,2015,9,20,7.41,7.5,,HCO ScoutGuard,504F,289314,1956370,
Yalbac503F,503,F,,,196,Great Curassow,1,2015,9,25,13.57,14,male,Bushnell,503F,291313,1957359,
Yalbac512F,512,F,,,77,Great Curassow,1,2015,9,25,5.51,6,male,ScoutGuard,512F,281718,1935445,
Yalbac511G,511,G,,,41,Great Curassow,1,2015,9,27,17.19,17.5,male,Moultrie,511FG,282114,1934484,
Yalbac502F,502,F,,,3592,Great Curassow,1,2015,9,28,10.03,10,male,Moultrie,502F,289306,1957023,
Yalbac503F,503,F,,,210,Great Curassow,1,2015,9,29,10.39,10.5,male,Bushnell,503F,291313,1957359,
Yalbac505F,505,F,,,46,Great Curassow,1,2015,9,29,14.49,14.5,male,Moultrie,505F,290310,1956304,
Yalbac510FG,510,FG,,,48,Great Curassow,1,2015,10,1,7.29,7.5,female,Moultrie,510FG,281361,1934328,
Yalbac501f,501,F,,,61,Great Curassow,1,2015,10,4,7.11,7,,,501F,292314,1958107,
Yalbac502F,502,F,,,3628,Great Curassow,1,2015,10,20,14.28,14.5,,Moultrie,502F,289306,1957023,
Yalbac510FG,510,FG,,,94,Great Curassow,1,2015,10,20,17.27,17.5,,Moultrie,510FG,281361,1934328,
Yalbac501f,501,F,,,148,Great Curassow,1,2015,10,21,17.01,17,,,501F,292314,1958107,
Yalbac512F,512,F,,,125,Great Curassow,1,2015,10,22,6.57,7,male,ScoutGuard,512F,281718,1935445,
Yalbac510FG,510,FG,,,99,Great Curassow,1,2015,10,24,12.35,12.5,male,Moultrie,510FG,281361,1934328,
Yalbac505F,505,F,,,133,Great Curassow,1,2015,11,1,17.09,17,male,Moultrie,505F,290310,1956304,
Yalbac507F,507,F,,,321,Great Curassow,1,2015,11,2,7.14,7,all female,Bushnell,507F,283119,1935211,
Yalbac507F,507,F,,,359,Great Curassow,1,2015,11,7,6.29,6,male,Bushnell,507F,283119,1935211,
Yalbac501f,501,F,,,211,Great Curassow,1,2015,11,8,12.45,13,,,501F,292314,1958107,
Yalbac511G,511,G,,,121,Great Curassow,1,2015,11,8,6.17,6,male,Moultrie,511FG,282114,1934484,
Yalbac501f,501,F,,,214,Great Curassow,1,2015,11,9,7.15,7.5,,,501F,292314,1958107,
Yalbac505G,505,G,,,16,Great Curassow,3,2015,11,11,12.11,12,,Moultrie,505G,291021,1956145,
Yalbac506G,506,G,,,118,Great Curassow,1,2015,11,11,16.16,16.5,,Bushnell,506G,292534,1956194,
Yalbac511G,511,G,,,130,Great Curassow,1,2015,11,12,7.26,7.5,female,Moultrie,511FG,282114,1934484,
Yalbac512G,512,G,,,22,Great Curassow,1,2015,11,13,6.03,6,male,ScoutGuard,512G,282179,1935657,
Yalbac506G,506,G,,,154,Great Curassow,1,2015,11,15,8.02,8,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,157,Great Curassow,4,2015,11,15,9.14,9,,Bushnell,506G,292534,1956194,
Yalbac505G,505,G,,,25,Great Curassow,1,2015,11,16,8.05,8,,Moultrie,505G,291021,1956145,
Yalbac506G,506,G,,,169,Great Curassow,1,2015,11,16,15.5,16,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,172,Great Curassow,1,2015,11,17,6.22,6.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,178,Great Curassow,1,2015,11,18,16.16,16.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,181,Great Curassow,1,2015,11,18,16.43,16.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,190,Great Curassow,1,2015,11,20,6.4,6.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,193,Great Curassow,1,2015,11,20,15.5,16,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,196,Great Curassow,1,2015,11,21,6.15,6.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,205,Great Curassow,1,2015,11,21,17.09,17,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,208,Great Curassow,1,2015,11,22,6.42,6.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,217,Great Curassow,1,2015,11,23,6.09,6,,Bushnell,506G,292534,1956194,
Yalbac512G,512,G,,,58,Great Curassow,1,2015,11,23,7.44,7.5,male,ScoutGuard,512G,282179,1935657,
Yalbac509G,509,G,,,34,Great Curassow,1,2015,11,25,17.47,18,,Bushnell,509G,283441,1934595.208,
Yalbac506G,506,G,,,238,Great Curassow,1,2015,11,26,16.13,16,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,241,Great Curassow,1,2015,11,26,16.23,16.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,256,Great Curassow,2,2015,11,28,17.03,17,,Bushnell,506G,292534,1956194,
Yalbac505G,505,G,,,58,Great Curassow,1,2015,11,29,11.27,11.5,,Moultrie,505G,291021,1956145,
Yalbac506G,506,G,,,271,Great Curassow,1,2015,12,1,6.29,6.5,,Bushnell,506G,292534,1956194,
Yalbac506G,506,G,,,275,Great Curassow,1,2015,12,1,16.19,16.5,,Bushnell,506G,292534,1956194,
Yalbac505G,505,G,,,79,Great Curassow,2,2015,12,2,8.03,8,,Moultrie,505G,291021,1956145,
Yalbac506G,506,G,,,277,Great Curassow,1,2015,12,2,7.19,7.5,,Bushnell,506G,292534,1956194,
Yalbac507H,507,H,,,28,Great Curassow,2,2015,12,2,4.12,4,Time off,Bushnell,507H,283483,1934993.94,
Yalbac511H,511,H,,,25,Great Curassow,2,2015,12,3,6.02,6,,Moultrie,511H,282087,1935456.716,
Yalbac510H,510,H,,,28,Great Curassow,4,2015,12,4,2.08,2,,Moultrie,510H,282719,1935522.766,
Yalbac507H,507,H,,,46,Great Curassow,1,2015,12,5,4.29,4.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac502G,502,G,,,3764,Great Curassow,1,2015,12,6,4.49,5,,Moultrie,502G,289511,1956735,
Yalbac507H,507,H,,,154,Great Curassow,1,2016,12,6,4.44,4.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,68,Great Curassow,2,2015,12,7,5.03,5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac509H,509,H,,,103,Great Curassow,3,2015,12,7,7.29,7.5,,Bushnell,509H,283730,1935382.07,
Yalbac507H,507,H,,,91,Great Curassow,1,2015,12,8,4.35,4.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,94,Great Curassow,1,2015,12,8,15.32,15.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac505G,505,G,,,100,Great Curassow,5,2015,12,9,8.28,8.5,,Moultrie,505G,291021,1956145,
Yalbac507H,507,H,,,97,Great Curassow,1,2015,12,9,4.46,5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,100,Great Curassow,2,2015,12,9,7.4,7.5,Time off,Bushnell,507H,283483,1934993.94,
Yalbac507H,507,H,,,109,Great Curassow,1,2015,12,9,8.02,8,Time off,Bushnell,507H,283483,1934993.94,
Yalbac509H,509,H,,,142,Great Curassow,3,2015,12,9,17.1,17,,Bushnell,509H,283730,1935382.07,
Yalbac510H,510,H,,,73,Great Curassow,1,2015,12,9,17.1,17,,Moultrie,510H,282719,1935522.766,
Yalbac510H,510,H,,,85,Great Curassow,3,2015,12,11,6.37,6.5,,Moultrie,510H,282719,1935522.766,
Yalbac511H,511,H,,,67,Great Curassow,1,2015,12,11,17.25,17.5,,Moultrie,511H,282087,1935456.716,
Yalbac506G,506,G,,,367,Great Curassow,1,2015,12,12,16.38,16.5,,Bushnell,506G,292534,1956194,
