Location,Cam nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour_exact,Hour_BERDS,Comment,Camera Brand,No_Sr,Easting,Northing,
Yalbac502E,502,E,,,3466,Agouti,1,2015,8,15,17.26,17.5,,Moultrie,502 E,290847,1955799,
Yalbac506E,506,E,,,110,Agouti,1,2015,8,15,18.31,18.5,,Bushnell,506 E,292491,1955895,
Yalbac506E,506,E,,,136,Agouti,1,2015,8,19,6.49,6.5,,Bushnell,506 E,292491,1955895,
Yalbac507E,507,E,,,338,Agouti,1,2015,8,24,7.56,8,,Bushnell,507 E,283482,1934992,
Yalbac506E,506,E,,,238,Agouti,1,2015,8,30,7.26,7.5,,Bushnell,506 E,292491,1955895,
Yalbac504E,504,E,,,805,Agouti,1,2015,9,12,7.12,7,,Scoutguard,504 E,290567,1955971,
Yalbac506E,506,E,,,346,Agouti,1,2015,9,15,10.02,10,,Bushnell,506 E,292491,1955895,
Yalbac512F,512,F,,,8,Agouti,1,2015,9,16,15.44,15.5,,ScoutGuard,512F,281718,1935445,
Yalbac512F,512,F,,,10,Agouti,1,2015,9,16,18,18,,ScoutGuard,512F,281718,1935445,
Yalbac512F,512,F,,,14,Agouti,1,2015,9,17,9.34,9.5,,ScoutGuard,512F,281718,1935445,
Yalbac504F,504,F,,,24,Agouti,1,2015,9,18,7.06,7,,HCO ScoutGuard,504F,289314,1956370,
Yalbac512F,512,F,,,48,Agouti,1,2015,9,21,14.43,14.5,,ScoutGuard,512F,281718,1935445,
Yalbac504F,504,F,,,335,Agouti,1,2015,9,24,7.36,7.5,,HCO ScoutGuard,504F,289314,1956370,
Yalbac512F,512,F,,,120,Agouti,1,2015,10,13,17.49,17.5,,ScoutGuard,512F,281718,1935445,
Yalbac505F,505,F,,,68,Agouti,1,2015,10,16,11.25,11.5,,Moultrie,505F,290310,1956304,
Yalbac505F,505,F,,,70,Agouti,1,2015,10,17,6.3,6.5,,Moultrie,505F,290310,1956304,
Yalbac505F,505,F,,,76,Agouti,1,2015,10,17,16.14,16,,Moultrie,505F,290310,1956304,
Yalbac512F,512,F,,,121,Agouti,1,2015,10,19,7.51,8,,ScoutGuard,512F,281718,1935445,
Yalbac501f,501,F,,,178,Agouti,1,2015,11,1,7.31,7.5,,,501F,292314,1958107,
