Location,Cam nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour_exact,Hour_BERDS,Comment,Camera Brand,,,,
Yalbac402D,402,D,303878,1927199,94,Agouti,1,2014,10,22,6.57,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,97,Agouti,1,2014,10,22,7.42,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,100,Agouti,1,2014,10,22,8.49,,,Bushnell,,,,
Yalbac404D,404,D,304744,1927456,222,Agouti,1,2014,10,22,8.33,,,ScoutGuard,,,,
Yalbac402D,402,D,303878,1927199,103,Agouti,1,2014,10,23,6.56,,,Bushnell,,,,
Yalbac413D,413,D,302850,1927087,175,Agouti,1,2014,10,24,7.35,,,Bushnell,,,,
Yalbac404D,404,D,304744,1927456,231,Agouti,1,2014,10,25,11.14,,,ScoutGuard,,,,
Yalbac402D,402,D,303878,1927199,112,Agouti,1,2014,10,26,6.2,,,Bushnell,,,,
Yalbac403D,403,D,290967,1926303,176,Agouti,1,2014,10,26,8.41,,,Bushnell,,,,
Yalbac402D,402,D,303878,1927199,133,Agouti,1,2014,10,31,8.08,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,52,Agouti,1,2014,11,7,8.19,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,60,Agouti,1,2014,11,7,9.35,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,88,Agouti,1,2014,11,8,6.19,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,109,Agouti,1,2014,11,10,10.12,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,112,Agouti,1,2014,11,11,8.41,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,118,Agouti,2,2014,11,11,11.23,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,139,Agouti,1,2014,11,13,6.3,,,Bushnell,,,,
Yalbac402E,402,E,303760,1927582,58,Agouti,1,2014,11,19,7.29,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,190,Agouti,1,2014,11,20,8.08,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,196,Agouti,1,2014,11,21,10.19,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,256,Agouti,1,2014,11,26,8.25,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,268,Agouti,1,2014,11,28,8.56,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,274,Agouti,1,2014,11,29,7.01,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,286,Agouti,1,2014,11,30,15.35,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,289,Agouti,1,2014,11,30,17.05,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,301,Agouti,1,2014,12,2,9.08,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,325,Agouti,1,2014,12,3,7.01,,,Bushnell,,,,
Yalbac402E,402,E,303760,1927582,103,Agouti,1,2014,12,4,8.27,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,331,Agouti,1,2014,12,4,10.34,,,Bushnell,,,,
Yalbac402E,402,E,303760,1927582,109,Agouti,1,2014,12,5,8.52,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,334,Agouti,1,2014,12,6,8.32,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,346,Agouti,1,2014,12,7,6.43,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,362,Agouti,1,2014,12,8,10.45,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,373,Agouti,1,2014,12,8,14.51,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,376,Agouti,1,2014,12,9,8.03,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,379,Agouti,1,2014,12,9,16.46,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,409,Agouti,1,2014,12,11,12.09,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,415,Agouti,1,2014,12,12,13.03,,,Bushnell,,,,
Yalbac404E,404,E,304653,1927840,439,Agouti,2,2014,12,13,6.15,,Mother with juv,ScoutGuard,,,,
Yalbac407E,407,E,284554,1935262,430,Agouti,1,2014,12,15,9.14,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,433,Agouti,1,2014,12,15,16.16,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,442,Agouti,1,2014,12,16,14.34,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,451,Agouti,1,2014,12,18,7.01,,,Bushnell,,,,
Yalbac407E,407,E,284554,1935262,454,Agouti,1,2014,12,18,9.37,,,Bushnell,,,,
Yalbac407F,407,F,288175,1935951,22,Agouti,1,2014,12,26,10.45,,,Bushnell,,,,
Yalbac411F,411,F,291694,1928983,319,Agouti,1,2014,12,30,9.31,,,ScoutGuard,,,,
Yalbac404F,404,F,304653,1927840,850,Agouti,1,2015,1,1,8.5,,,ScoutGuard,,,,
Yalbac407F,407,F,288175,1935951,25,Agouti,1,2015,1,5,12.13,,,Bushnell,,,,
Yalbac407F,407,F,288175,1935951,73,Agouti,1,2015,1,8,12.38,,,Bushnell,,,,
Yalbac402F,402,F,303762,1927588,67,Agouti,1,2015,1,13,7.14,,,Bushnell,,,,
Yalbac407F,407,F,288175,1935951,112,Agouti,1,2015,1,13,15.58,,,Bushnell,,,,
Yalbac404F,404,F,304653,1927840,868,Agouti,1,2015,1,14,6.54,,,ScoutGuard,,,,
Yalbac403F,403,F,291689,1929549,634,Agouti,1,2015,1,16,16.35,,,Bushnell,,,,
Yalbac407F,407,F,288175,1935951,130,Agouti,1,2015,1,17,6.43,,,Bushnell,,,,
Yalbac403F,403,F,291689,1929549,664,Agouti,1,2015,1,20,16.27,,,Bushnell,,,,
Yalbac403F,403,F,291689,1929549,796,Agouti,1,2015,1,28,9.01,,,Bushnell,,,,
Yalbac402F,402,F,303762,1927588,118,Agouti,1,2015,2,1,11.17,,,Bushnell,,,,
Yalbac412D,412,D,283343,1933216,84,Ameiva undata,1,2014,9,28,11.29,,,ScoutGuard,,,,
Yalbac408,408,C2,283344,1933425,649,Bare-throated Tiger Heron,1,2014,7,26,14.46,14.5,,HCO ScoutGuard,,,,
Yalbac401,401,C2,306148,1928079,152,Black-faced Anthrush,3,2014,8,27,11.52,11.5,,Moultricam,,,,
Yalbac406A,406,A,283348,1933228,243,Blue-crowned Mot-mot,1,2014,4,11,5.5,5.5,,Bushnell,,,,
Yalbac409A,409,A,283362,1934000,20,Central American Tapir,1,2014,3,20,7.29,7,male,Moultriecam,,,,
Yalbac401a,401,A,299505,1927437,17,Central American Tapir,1,2014,3,22,9.08,9,,Moultrie,,,,
Yalbac401a,401,A,299505,1927437,40,Central American Tapir,1,2014,3,27,15.33,15.5,,Moultrie,,,,
Yalbac409A,409,A,283362,1934000,96,Central American Tapir,1,2014,3,27,5.13,5,,Moultriecam,,,,
Yalbac405A,405,A,283423,1932759,85,Central American Tapir,1,2014,3,28,6.08,6,,Moultrie,,,,
Yalbac406A,406,A,283348,1933228,126,Central American Tapir,1,2014,3,29,22.28,22,male,Bushnell,,,,
Yalbac409A,409,A,283362,1934000,101,Central American Tapir,1,2014,3,29,5.25,5,male,Moultriecam,,,,
Yalbac405A,405,A,283423,1932759,109,Central American Tapir,1,2014,3,30,6.35,6.5,,Moultrie,,,,
Yalbac401a,401,A,299505,1927437,79,Central American Tapir,1,2014,4,7,4.13,4,,Moultrie,,,,
Yalbac401a,401,A,299505,1927437,91,Central American Tapir,1,2014,4,13,2.06,2,,Moultrie,,,,
Yalbac401a,401,A,299505,1927437,109,Central American Tapir,1,2014,4,17,12.07,12,,Moultrie,,,,
Yalbac405A,405,A,283423,1932759,232,Central American Tapir,1,2014,4,18,10.12,10,,Moultrie,,,,
Yalbac406A,406,A,283348,1933228,432,Central American Tapir,1,2014,4,18,22.02,22,,Bushnell,,,,
Yalbac405A,405,A,283423,1932759,248,Central American Tapir,1,2014,4,20,9.48,9.5,,Moultrie,,,,
Yalbac406A,406,A,283348,1933228,438,Central American Tapir,1,2014,4,20,21.59,21.5,,Bushnell,,,,
Yalbac401a,401,A,299505,1927437,112,Central American Tapir,1,2014,4,23,2.12,12,,Moultrie,,,,
Yalbac408B,408,B,284005,1935106,40,Central American Tapir,1,2014,5,3,2.25,2,,HCO ScoutGuard,,,,
Yalbac411B,411,B,283544,1931474,613,Central American Tapir,1,2014,5,10,20.3,20.5,,HCO ScoutGuard,,,,
Yalbac412B,412,B,283420,1931719,215,Central American Tapir,1,2014,5,10,20.22,20,,HCO ScoutGuard,,,,
Yalbac405B,405,B,283454,1932033,301,Central American Tapir,1,2014,5,15,5.49,5.5,,Moultrie,,,,
Yalbac411B,411,B,283544,1931474,836,Central American Tapir,1,2014,5,15,5.59,5.5,,HCO ScoutGuard,,,,
Yalbac412B,412,B,283420,1931719,237,Central American Tapir,1,2014,5,18,0.28,0,,HCO ScoutGuard,,,,
Yalbac408B,408,B,284005,1935106,115,Central American Tapir,1,2014,5,23,8.55,8.5,female,HCO ScoutGuard,,,,
Yalbac405C,405,C,283406,1933798,22,Central American Tapir,1,2014,5,30,21.2,21,,Moultrie,,,,
Yalbac408C,408,C,283344,1933425,25,Central American Tapir,1,2014,5,30,21.43,21.5,male,HCO ScoutGuard,,,,
Yalbac405C,405,C,283406,1933798,25,Central American Tapir,1,2014,5,31,3.45,3.5,,Moultrie,,,,
Yalbac408C,408,C,283344,1933425,64,Central American Tapir,1,2014,6,2,6.17,6,male,HCO ScoutGuard,,,,
Yalbac408C,408,C,283344,1933425,98,Central American Tapir,1,2014,6,5,22.43,22.5,,HCO ScoutGuard,,,,
Yalbac405C,405,C,283406,1933798,67,Central American Tapir,1,2014,6,6,19.09,19,,Moultrie,,,,
Yalbac408C,408,C,283344,1933425,117,Central American Tapir,1,2014,6,6,19.12,19,male,HCO ScoutGuard,,,,
Yalbac411C,411,C,283393,1933215,124,Central American Tapir,1,2014,6,21,16.06,16,,HCO ScoutGuard,,,,
Yalbac411C,411,C,283393,1933215,130,Central American Tapir,1,2014,6,22,0.04,0,,HCO ScoutGuard,,,,
Yalbac411C,411,C,283393,1933215,153,Central American Tapir,1,2014,6,24,21.07,21,,HCO ScoutGuard,,,,
Yalbac411C,411,C,283393,1933215,171,Central American Tapir,1,2014,6,27,2.5,2.5,,HCO ScoutGuard,,,,
Yalbac411C,411,C,283393,1933215,172,Central American Tapir,1,2014,6,27,2.56,2.5,believed to be a different individual than 172 due to scares on back,HCO ScoutGuard,,,,
Yalbac410C,410,C,286612,1934360,232,Central American Tapir,1,2014,6,28,19.15,19,,Moultrie,,,,
Yalbac411C,411,C,283393,1933215,214,Central American Tapir,1,2014,7,1,20.31,20.5,,HCO ScoutGuard,,,,
Yalbac411C,411,C,283393,1933215,215,Central American Tapir,1,2014,7,1,21.1,21,,HCO ScoutGuard,,,,
Yalbac411C,411,C,283393,1933215,216,Central American Tapir,1,2014,7,1,21.24,21,"male, different from 215 and 216 due to scares on side",HCO ScoutGuard,,,,
Yalbac411C,411,C,283393,1933215,217,Central American Tapir,1,2014,7,1,22.39,22.5,"different than 15, 16, 17 due to mark on left front leg",HCO ScoutGuard,,,,
Yalbac411C,411,C,283393,1933215,218,Central American Tapir,1,2014,7,1,23.38,23.5,"different than 215, 216, 217, 218 due to body condition being very skinny",HCO ScoutGuard,,,,
Yalbac411C,411,C,283393,1933215,222,Central American Tapir,1,2014,7,3,0.5,0.5,,HCO ScoutGuard,,,,
Yalbac407C,407,C,287745,1932109,241,Central American Tapir,1,2014,7,9,22.26,22,,Bushnell,,,,
Yalbac409C,409,C,287509,1932206,223,Central American Tapir,1,2014,7,9,22.07,22,,Moultrie,,,,
Yalbac408C,408,C,283344,1933425,394,Central American Tapir,1,2014,7,10,4.52,4.5,,HCO ScoutGuard,,,,
Yalbac411C,411,C,283393,1933215,255,Central American Tapir,1,2014,7,10,23.54,23.5,,HCO ScoutGuard,,,,
Yalbac405C,405,C,283406,1933798,301,Central American Tapir,1,2014,7,11,12.45,12.5,,Moultrie,,,,
Yalbac405,405,C2,283406,1933798,23,Central American Tapir,1,2014,7,21,1.02,1,male,Moultricam,,,,
Yalbac406,406,C2,283359,1934195,25,Central American Tapir,2,2014,7,21,0.24,0,,Bushnell,,,,
Yalbac408,408,C2,283344,1933425,193,Central American Tapir,1,2014,7,21,0.4,0.5,female,HCO ScoutGuard,,,,
Yalbac408,408,C2,283344,1933425,194,Central American Tapir,1,2014,7,21,1.19,1,,HCO ScoutGuard,,,,
Yalbac413C,413,C2,302854,1927594,21,Central American Tapir,1,2014,7,21,19.5,19.5,,Bushnell,,,,
Yalbac406,406,C2,283359,1934195,67,Central American Tapir,1,2014,7,27,0.24,0,,Bushnell,,,,
Yalbac413C,413,C2,302854,1927594,81,Central American Tapir,1,2014,7,28,19.34,19.5,,Bushnell,,,,
Yalbac406,406,C2,283359,1934195,110,Central American Tapir,1,2014,8,2,21.38,21.5,,Bushnell,,,,
Yalbac406,406,C2,283359,1934195,127,Central American Tapir,1,2014,8,9,3.19,3,,Bushnell,,,,
Yalbac408,408,C2,283344,1933425,864,Central American Tapir,1,2014,8,9,4.25,4,,HCO ScoutGuard,,,,
Yalbac410,410,C2,286612,1934360,82,Central American Tapir,1,2014,8,11,12.38,12.5,,Moultricam,,,,
Yalbac410,410,C2,286612,1934360,106,Central American Tapir,1,2014,8,16,20.27,20,,Moultricam,,,,
Yalbac405,405,C2,283406,1933798,214,Central American Tapir,1,2014,8,19,20.47,20.5,,Moultricam,,,,
Yalbac406,406,C2,283359,1934195,169,Central American Tapir,1,2014,8,20,22.24,22,,Bushnell,,,,
Yalbac413C,413,C2,302854,1927594,681,Central American Tapir,1,2014,8,21,19.58,19.5,male,Bushnell,,,,
Yalbac405,405,C2,283406,1933798,296,Central American Tapir,1,2014,8,28,2,2,male,Moultricam,,,,
Yalbac407,407,C2,287745,1932109,105,Central American Tapir,1,2014,8,29,1.21,1,,Bushnell,,,,
Yalbac408,408,C2,283344,1933425,1139,Central American Tapir,1,2014,8,30,1.12,1,,HCO ScoutGuard,,,,
Yalbac410,410,C2,286612,1934360,160,Central American Tapir,1,2014,9,15,5.2,5,,Moultricam,,,,
Yalbac408,408,C2,283344,1933425,1313,Central American Tapir,1,2014,9,16,19.2,19,,HCO ScoutGuard,,,,
Yalbac410,410,C2,286612,1934360,163,Central American Tapir,1,2014,9,16,12.45,12.5,,Moultricam,,,,
Yalbac410D,410,D,291398,1929086,4,Central American Tapir,1,2014,9,22,19.13,,,Moultrie,,,,
Yalbac412D,412,D,283343,1933216,46,Central American Tapir,1,2014,9,24,3.24,,,ScoutGuard,,,,
Yalbac410D,410,D,291398,1929086,7,Central American Tapir,1,2014,9,29,1.25,,,Moultrie,,,,
Yalbac413D,413,D,302850,1927087,133,Central American Tapir,1,2014,10,5,4.37,,,Bushnell,,,,
Yalbac407D,407,D,283444,1934825,103,Central American Tapir,1,2014,10,11,20.45,,,Bushnell,,,,
Yalbac409D,409,D,283208,1934953,25,Central American Tapir,1,2014,10,11,9.26,,,Moultrie,,,,
Yalbac412D,412,D,283343,1933216,1503,Central American Tapir,1,2014,10,24,22.17,,,ScoutGuard,,,,
Yalbac403E,403,E,287303,1935282,4,Central American Tapir,1,2014,11,8,22.04,,,Bushnell,,,,
Yalbac409E,409,E,283847,1934963,4,Central American Tapir,1,2014,11,11,20.35,,,Moultrie,,,,
Yalbac409E,409,E,283847,1934963,7,Central American Tapir,1,2014,11,11,20.4,,,Moultrie,,,,
Yalbac403E,403,E,287303,1935282,19,Central American Tapir,1,2014,11,12,23.15,,,Bushnell,,,,
Yalbac404E,404,E,304653,1927840,20,Central American Tapir,1,2014,11,13,23.11,,,ScoutGuard,,,,
Yalbac403E,403,E,287303,1935282,44,Central American Tapir,1,2014,11,16,23.03,,,Bushnell,,,,
Yalbac405E,405,E,283533,1933999,6,Central American Tapir,1,2014,11,17,5.32,,,Moultrie,,,,
Yalbac405E,405,E,283533,1933999,43,Central American Tapir,1,2014,11,24,21.14,,,Moultrie,,,,
Yalbac405E,405,E,283533,1933999,80,Central American Tapir,1,2014,12,6,1.4,,,Moultrie,,,,
Yalbac405E,405,E,283533,1933999,184,Central American Tapir,1,2014,12,13,21.01,,,Moultrie,,,,
Yalbac405E,405,E,283533,1933999,218,Central American Tapir,1,2014,12,14,21.35,,,Moultrie,,,,
Yalbac403E,403,E,287303,1935282,158,Central American Tapir,1,2014,12,16,22.56,,,Bushnell,,,,
Yalbac405E,405,E,283533,1933999,232,Central American Tapir,1,2014,12,18,21.27,,,Moultrie,,,,
Yalbac411F,411,F,291694,1928983,322,Central American Tapir,1,2014,12,31,1.55,,,ScoutGuard,,,,
Yalbac403F,403,F,291689,1929549,643,Central American Tapir,1,2015,1,18,4.59,,,Bushnell,,,,
Yalbac411F,411,F,291694,1928983,845,Central American Tapir,1,2015,1,18,0.1,,,ScoutGuard,,,,
Yalbac404F,404,F,304653,1927840,918,Central American Tapir,1,2015,1,21,1.3,,,ScoutGuard,,,,
Yalbac403F,403,F,291689,1929549,673,Central American Tapir,1,2015,1,25,5.06,,,Bushnell,,,,
Yalbac402F,402,F,303762,1927588,106,Central American Tapir,1,2015,1,26,21.51,,,Bushnell,,,,
Yalbac403F,403,F,291689,1929549,688,Central American Tapir,1,2015,1,26,22.43,,,Bushnell,,,,
Yalbac405F,405,F,285409,1935699,151,Central American Tapir,1,2015,1,27,12.56,,,Moultrie,,,,
Yalbac403F,403,F,291689,1929549,889,Central American Tapir,1,2015,1,31,4.34,,,Bushnell,,,,
Yalbac403F,403,F,291689,1929549,925,Central American Tapir,1,2015,2,5,5.48,,,Bushnell,,,,
Yalbac413F,413,F,305716,1928611,1457,Central American Tapir,1,2015,2,15,5.54,,,ScoutGuard,,,,
Yalbac404B,404,B,305818,1928442,59,Clay coloured Thrush,1,2014,5,17,8.41,8.5,,HCO ScoutGuard,,,,
Yalbac402F,402,F,303762,1927588,38,Clay-coloured Thrush,1,2014,12,29,16.13,,,Bushnell,,,,
Yalbac412D,412,D,283343,1933216,1186,Collared Forest Falcon,1,2014,10,15,8.55,,,ScoutGuard,,,,
Yalbac407,407,C2,287745,1932109,56,Collared Peccary,1,2014,8,7,10.29,10,,Bushnell,,,,
Yalbac407,407,C2,287745,1932109,62,Collared Peccary,1,2014,8,7,14.5,14.5,,Bushnell,,,,
Yalbac409,409,C2,287509,1932206,77,Collared Peccary,1,2014,8,16,11.53,11.5,,Moultricam,,,,
Yalbac409D,409,D,283208,1934953,28,Collared Peccary,4,2014,10,15,15.5,,,Moultrie,,,,
