Location,Camera,Easting,Northing,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,,Location,Logging,,
,810B,286075,1935996,810,b,389,Agouti,1,,3,23,14.54,,bushnell,810A,Laguna Seca,no,,
,807B,291485,1956145,807,b,393,Agouti,1,,3,22,14.51,,bushnell,807B,Yalbac,no,,
,812B,286540,1935398,812,b,418,Agouti,1,,4,17,7.03,,bushnell,812B,Laguna Seca,no,,
,803B,289436,1956746,803,b,521,Agouti,1,,4,11,9.53,,bushnell,803B,Yalbac,no,,
,807B,291485,1956145,807,b,609,Agouti,1,,4,3,9.47,,bushnell,807B,Yalbac,no,,
,803B,289436,1956746,803,b,620,Agouti,1,,4,15,13.08,,bushnell,803B,Yalbac,no,,
,803B,289436,1956746,803,b,626,Agouti,1,,4,16,14.12,,bushnell,803B,Yalbac,no,,
,807B,291485,1956145,807,b,629,Agouti,1,,4,5,8.52,,bushnell,807B,Yalbac,no,,
,803B,289436,1956746,803,b,635,Agouti,1,,4,19,11.54,,bushnell,803B,Yalbac,no,,
,807B,291485,1956145,807,b,677,Agouti,1,,4,7,16.44,,bushnell,807B,Yalbac,no,,
,807B,291485,1956145,807,b,685,Agouti,1,,4,11,15.12,,bushnell,807B,Yalbac,no,,
,807B,291485,1956145,807,b,706,Agouti,1,,4,14,7.15,,bushnell,807B,Yalbac,no,,
,807B,291485,1956145,807,b,747,Agouti,1,,4,15,6.11,,bushnell,807B,Yalbac,no,,
,807B,291485,1956145,807,b,774,Agouti,2,,4,15,6.55,,bushnell,807B,Yalbac,no,,
,807B,291485,1956145,807,b,813,Agouti,1,,4,15,8.03,,bushnell,807B,Yalbac,no,,
,807B,291485,1956145,807,b,821,Agouti,1,,4,15,15.34,,bushnell,807B,Yalbac,no,,
,804C,288918,1956756,804,c,5,Agouti,2,,4,22,6.24,,bushnell,804C,Yalbac,no,,
,804C,288918,1956756,804,c,15,Agouti,1,,4,24,5.58,,bushnell,804C,Yalbac,no,,
