Location,Camera,Easting,Northing,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,,Location,Logging,,
,812E,287809,1935980,812,e,38,Northern Raccoon,1,,9,16,4.47,,bushnell,812E,Laguna Seca,no,,
,812E,287809,1935980,812,e,61,Northern Raccoon,1,,9,16,17.36,,bushnell,812E,Laguna Seca,no,,
,813G,287451,1942515,813,g,196,Northern Raccoon,1,,12,20,3.06,,bushnell,813G,Laguna Seca,no,,
,814A,289441,1941086,814,a,2,Ocellated Turkey,2,,1,24,16.08,,bushnell,814A,Laguna Seca,no,,
,812A,286543,1935392,812,a,16,Ocellated Turkey,1,,1,2,12.10,,bushnell,812A,Laguna Seca,no,,
,814A,289441,1941086,814,a,29,Ocellated Turkey,2,,1,3,8.02,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,41,Ocellated Turkey,2,,1,3,8.53,,bushnell,814A,Laguna Seca,no,,
,802A,291990,1954863,802,a,43,Ocellated Turkey,1,2018,1,19,7.52,,Moultrie,802A,Yalbac,no,,
,812A,286543,1935392,812,a,43,Ocellated Turkey,1,,1,6,14.28,,bushnell,812A,Laguna Seca,no,,
,802A,291990,1954863,802,a,46,Ocellated Turkey,1,2018,2,14,10.01,,Moultrie,802A,Yalbac,no,,
,812A,286543,1935392,812,a,76,Ocellated Turkey,1,,1,10,15.47,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,160,Ocellated Turkey,1,,1,21,14.35,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,166,Ocellated Turkey,1,,1,22,12.29,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,190,Ocellated Turkey,1,,1,24,15.27,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,196,Ocellated Turkey,1,,1,25,14.23,,bushnell,812A,Laguna Seca,no,,
,804A,288916,1956673,804,a,214,Ocellated Turkey,1,,1,24,16.00,,moultrie,804A,Yalbac,no,,
,812A,286543,1935392,812,a,217,Ocellated Turkey,1,,1,27,16.48,,bushnell,812A,Laguna Seca,no,,
,804A,288916,1956673,804,a,220,Ocellated Turkey,2,,1,26,13.00,,moultrie,804A,Yalbac,no,,
,812A,286543,1935392,812,a,241,Ocellated Turkey,1,,1,28,11.51,,bushnell,812A,Laguna Seca,no,,
,807A,292291,1954813,807,a,277,Ocellated Turkey,1,,2,20,12.43,,bushnell,807A,Yalbac,no,,
,812A,286543,1935392,812,a,280,Ocellated Turkey,1,,2,2,15.18,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,295,Ocellated Turkey,1,,2,3,14.31,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,298,Ocellated Turkey,1,,2,3,15.19,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,319,Ocellated Turkey,1,,2,6,10.06,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,331,Ocellated Turkey,1,,2,7,8.48,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,334,Ocellated Turkey,1,,2,7,10.23,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,343,Ocellated Turkey,1,,2,7,15.23,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,355,Ocellated Turkey,1,,2,10,17.10,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,361,Ocellated Turkey,1,,2,11,13.27,,bushnell,812A,Laguna Seca,no,,
,803A,289440,1956750,803,a,365,Ocellated Turkey,1,,1,19,14.08,,bushnell,803A,Yalbac,no,,
,812A,286543,1935392,812,a,373,Ocellated Turkey,1,,2,12,10.40,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,397,Ocellated Turkey,1,,2,14,10.05,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,418,Ocellated Turkey,1,,2,16,16.36,,bushnell,812A,Laguna Seca,no,,
,814A,289441,1941086,814,a,445,Ocellated Turkey,1,,1,15,17.25,,bushnell,814A,Laguna Seca,no,,
,803A,289440,1956750,803,a,494,Ocellated Turkey,2,,1,28,7.48,,bushnell,803A,Yalbac,no,,
,812A,286543,1935392,812,a,496,Ocellated Turkey,1,,2,25,15.21,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,514,Ocellated Turkey,1,,2,27,9.24,,bushnell,812A,Laguna Seca,no,,
,812A,286543,1935392,812,a,517,Ocellated Turkey,1,,2,27,13.02,,bushnell,812A,Laguna Seca,no,,
,803A,289440,1956750,803,a,533,Ocellated Turkey,2,,2,2,15.15,,bushnell,803A,Yalbac,no,,
,814A,289441,1941086,814,a,541,Ocellated Turkey,3,,1,18,16.16,,bushnell,814A,Laguna Seca,no,,
,803A,289440,1956750,803,a,554,Ocellated Turkey,1,,2,3,13.18,,bushnell,803A,Yalbac,no,,
,814A,289441,1941086,814,a,569,Ocellated Turkey,1,,1,19,7.35,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,599,Ocellated Turkey,2,,1,19,8.30,,bushnell,814A,Laguna Seca,no,,
,803A,289440,1956750,803,a,641,Ocellated Turkey,1,,2,8,7.16,,bushnell,803A,Yalbac,no,,
,814A,289441,1941086,814,a,657,Ocellated Turkey,4,,1,19,9.01,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,713,Ocellated Turkey,4,,1,19,17.17,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,745,Ocellated Turkey,3,,1,20,6.37,,bushnell,814A,Laguna Seca,no,,
,803A,289440,1956750,803,a,749,Ocellated Turkey,6,,2,17,7.02,,bushnell,803A,Yalbac,no,,
,814A,289441,1941086,814,a,790,Ocellated Turkey,3,,1,20,17.16,,bushnell,814A,Laguna Seca,no,,
,803A,289440,1956750,803,a,803,Ocellated Turkey,6,,2,17,9.53,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,866,Ocellated Turkey,1,,2,20,17.54,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,908,Ocellated Turkey,1,,2,23,8.21,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,914,Ocellated Turkey,1,,2,25,9.48,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,923,Ocellated Turkey,1,,2,25,11.53,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,930,Ocellated Turkey,1,,2,25,13.43,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,934,Ocellated Turkey,1,,2,26,6.36,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,939,Ocellated Turkey,1,,2,26,8.17,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,941,Ocellated Turkey,1,,2,26,15.22,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,959,Ocellated Turkey,1,,2,27,7.29,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,981,Ocellated Turkey,1,,2,28,15.17,,bushnell,803A,Yalbac,no,,
,803A,289440,1956750,803,a,983,Ocellated Turkey,1,,3,1,16.00,,bushnell,803A,Yalbac,no,,
,812B,286540,1935398,812,b,25,Ocellated Turkey,1,,3,7,7.52,,bushnell,812B,Laguna Seca,no,,
,812B,286540,1935398,812,b,34,Ocellated Turkey,1,,3,8,8.13,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,38,Ocellated Turkey,1,,3,5,10.25,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,40,Ocellated Turkey,1,,3,10,9.15,,bushnell,812B,Laguna Seca,no,,
,803B,289436,1956746,803,b,41,Ocellated Turkey,1,,3,8,13.58,,bushnell,803B,Yalbac,no,,
,812B,286540,1935398,812,b,43,Ocellated Turkey,1,,3,10,15.49,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,55,Ocellated Turkey,1,,3,6,6.29,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,55,Ocellated Turkey,1,,3,12,7.55,,bushnell,812B,Laguna Seca,no,,
,805B,290411,1956668,805,b,58,Ocellated Turkey,1,,3,11,12.21,,bushnell,805B,Yalbac,no,,
,805B,290411,1956668,805,b,64,Ocellated Turkey,1,,3,11,16.22,,bushnell,805B,Yalbac,no,,
,812B,286540,1935398,812,b,67,Ocellated Turkey,1,,3,12,16.52,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,73,Ocellated Turkey,1,,3,6,12.44,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,76,Ocellated Turkey,1,,3,6,15.49,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,76,Ocellated Turkey,1,,3,14,8.46,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,82,Ocellated Turkey,1,,3,6,17.29,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,85,Ocellated Turkey,1,,3,14,16.00,,bushnell,812B,Laguna Seca,no,,
,803B,289436,1956746,803,b,89,Ocellated Turkey,1,,3,12,14.33,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,95,Ocellated Turkey,1,,3,7,6.24,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,98,Ocellated Turkey,1,,3,13,7.02,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,100,Ocellated Turkey,1,,3,8,11.00,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,100,Ocellated Turkey,1,,3,16,8.39,,bushnell,812B,Laguna Seca,no,,
,812B,286540,1935398,812,b,103,Ocellated Turkey,1,,3,16,16.26,,bushnell,812B,Laguna Seca,no,,
,803B,289436,1956746,803,b,107,Ocellated Turkey,1,,3,13,8.20,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,107,Ocellated Turkey,1,,3,8,16.34,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,113,Ocellated Turkey,1,,3,9,7.20,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,115,Ocellated Turkey,1,,3,9,9.06,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,118,Ocellated Turkey,1,,3,9,12.51,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,121,Ocellated Turkey,1,,3,9,16.23,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,124,Ocellated Turkey,1,,3,10,8.15,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,130,Ocellated Turkey,1,,3,10,17.11,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,130,Ocellated Turkey,1,,3,18,14.04,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,134,Ocellated Turkey,1,,3,11,9.49,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,136,Ocellated Turkey,1,,3,11,13.44,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,136,Ocellated Turkey,1,,3,19,15.50,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,139,Ocellated Turkey,1,,3,11,16.53,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,143,Ocellated Turkey,1,,3,16,7.48,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,146,Ocellated Turkey,1,,3,12,6.30,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,160,Ocellated Turkey,1,,3,13,15.03,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,161,Ocellated Turkey,2,,3,16,8.01,,bushnell,803B,Yalbac,no,,
,807B,291485,1956145,807,b,161,Ocellated Turkey,4,,3,14,16.53,,bushnell,807B,Yalbac,no,,
,812B,286540,1935398,812,b,166,Ocellated Turkey,2,,3,22,8.14,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,167,Ocellated Turkey,1,,3,14,7.19,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,172,Ocellated Turkey,1,,3,14,16.47,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,181,Ocellated Turkey,1,,3,22,15.33,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,185,Ocellated Turkey,1,,3,15,10.21,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,187,Ocellated Turkey,1,,3,15,11.27,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,194,Ocellated Turkey,1,,3,16,7.50,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,196,Ocellated Turkey,1,,3,23,8.42,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,202,Ocellated Turkey,1,,3,16,17.07,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,206,Ocellated Turkey,1,,3,23,11.45,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,208,Ocellated Turkey,1,,3,17,12.25,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,214,Ocellated Turkey,1,,3,24,10.44,,bushnell,812B,Laguna Seca,no,,
,812B,286540,1935398,812,b,223,Ocellated Turkey,1,,3,24,14.59,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,229,Ocellated Turkey,1,,3,17,13.34,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,235,Ocellated Turkey,1,,3,25,10.16,,bushnell,812B,Laguna Seca,no,,
,803B,289436,1956746,803,b,239,Ocellated Turkey,1,,3,19,6.19,,bushnell,803B,Yalbac,no,,
,812B,286540,1935398,812,b,241,Ocellated Turkey,1,,3,26,8.54,,bushnell,812B,Laguna Seca,no,,
,812B,286540,1935398,812,b,244,Ocellated Turkey,1,,3,26,11.16,,bushnell,812B,Laguna Seca,no,,
,803B,289436,1956746,803,b,248,Ocellated Turkey,1,,3,21,15.28,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,248,Ocellated Turkey,1,,3,18,6.17,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,250,Ocellated Turkey,1,,3,18,7.51,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,256,Ocellated Turkey,1,,3,18,12.54,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,256,Ocellated Turkey,1,,3,27,10.34,,bushnell,812B,Laguna Seca,no,,
,803B,289436,1956746,803,b,257,Ocellated Turkey,1,,3,23,12.22,,bushnell,803B,Yalbac,no,,
,812B,286540,1935398,812,b,259,Ocellated Turkey,1,,3,27,14.24,,bushnell,812B,Laguna Seca,no,,
,803B,289436,1956746,803,b,260,Ocellated Turkey,1,,3,23,13.25,,bushnell,803B,Yalbac,no,,
,803B,289436,1956746,803,b,278,Ocellated Turkey,1,,3,24,8.09,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,278,Ocellated Turkey,1,,3,19,16.35,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,284,Ocellated Turkey,1,,3,20,12.42,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,287,Ocellated Turkey,1,,3,27,16.19,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,292,Ocellated Turkey,1,,3,20,13.23,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,304,Ocellated Turkey,1,,3,22,6.56,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,308,Ocellated Turkey,1,,3,31,7.16,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,313,Ocellated Turkey,2,,3,22,8.01,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,326,Ocellated Turkey,1,,3,31,11.42,,bushnell,803B,Yalbac,no,,
,812B,286540,1935398,812,b,337,Ocellated Turkey,1,,4,5,13.49,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,338,Ocellated Turkey,1,,3,22,10.28,,bushnell,810A,Laguna Seca,no,,
,807B,291485,1956145,807,b,341,Ocellated Turkey,1,,3,18,16.47,,bushnell,807B,Yalbac,no,,
,810B,286075,1935996,810,b,344,Ocellated Turkey,1,,3,22,12.28,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,346,Ocellated Turkey,1,,3,22,13.07,,bushnell,810A,Laguna Seca,no,,
,807B,291485,1956145,807,b,353,Ocellated Turkey,1,,3,19,8.42,,bushnell,807B,Yalbac,no,,
,810B,286075,1935996,810,b,356,Ocellated Turkey,1,,3,22,14.32,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,358,Ocellated Turkey,1,,3,22,15.50,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,358,Ocellated Turkey,1,,4,7,10.06,,bushnell,812B,Laguna Seca,no,,
,807B,291485,1956145,807,b,361,Ocellated Turkey,1,,3,19,17.03,,bushnell,807B,Yalbac,no,,
,810B,286075,1935996,810,b,361,Ocellated Turkey,1,,3,22,16.20,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,361,Ocellated Turkey,1,,4,7,13.56,,bushnell,812B,Laguna Seca,no,,
,812B,286540,1935398,812,b,367,Ocellated Turkey,1,,4,8,13.52,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,368,Ocellated Turkey,1,,3,23,7.01,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,374,Ocellated Turkey,1,,3,23,8.05,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,380,Ocellated Turkey,1,,4,6,8.44,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,385,Ocellated Turkey,1,,3,23,13.03,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,397,Ocellated Turkey,1,,3,23,17.21,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,403,Ocellated Turkey,1,,3,24,8.16,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,406,Ocellated Turkey,1,,4,16,9.50,,bushnell,812B,Laguna Seca,no,,
,812B,286540,1935398,812,b,409,Ocellated Turkey,1,,4,16,13.46,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,410,Ocellated Turkey,1,,3,24,10.11,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,412,Ocellated Turkey,1,,3,24,16.09,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,413,Ocellated Turkey,1,,4,9,10.02,male courting,bushnell,803B,Yalbac,no,,
,812B,286540,1935398,812,b,415,Ocellated Turkey,1,,4,16,18.03,,bushnell,812B,Laguna Seca,no,,
,812B,286540,1935398,812,b,422,Ocellated Turkey,1,,4,18,9.04,,bushnell,812B,Laguna Seca,no,,
,812B,286540,1935398,812,b,424,Ocellated Turkey,1,,4,18,10.25,,bushnell,812B,Laguna Seca,no,,
,812B,286540,1935398,812,b,427,Ocellated Turkey,1,,4,19,5.59,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,430,Ocellated Turkey,1,,3,25,14.42,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,433,Ocellated Turkey,1,,3,25,16.40,,bushnell,810A,Laguna Seca,no,,
,812B,286540,1935398,812,b,433,Ocellated Turkey,1,,4,19,17.13,,bushnell,812B,Laguna Seca,no,,
,812B,286540,1935398,812,b,436,Ocellated Turkey,1,,4,20,6.04,,bushnell,812B,Laguna Seca,no,,
,810B,286075,1935996,810,b,440,Ocellated Turkey,1,,3,26,8.14,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,442,Ocellated Turkey,1,,3,26,12.46,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,446,Ocellated Turkey,1,,3,26,15.28,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,448,Ocellated Turkey,1,,3,26,16.12,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,452,Ocellated Turkey,1,,3,27,9.58,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,454,Ocellated Turkey,1,,3,27,15.01,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,458,Ocellated Turkey,1,,3,28,17.38,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,500,Ocellated Turkey,3,,4,11,7.44,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,520,Ocellated Turkey,2,,4,4,7.00,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,534,Ocellated Turkey,1,,4,4,8.23,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,538,Ocellated Turkey,1,,4,4,11.12,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,542,Ocellated Turkey,1,,4,4,16.02,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,543,Ocellated Turkey,7,,4,13,12.46,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,544,Ocellated Turkey,1,,4,4,17.02,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,556,Ocellated Turkey,1,,4,5,14.58,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,587,Ocellated Turkey,2,,4,14,7.10,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,589,Ocellated Turkey,1,,4,6,16.17,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,599,Ocellated Turkey,1,,4,14,9.16,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,602,Ocellated Turkey,1,,4,7,10.18,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,605,Ocellated Turkey,1,,4,14,17.35,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,607,Ocellated Turkey,1,,4,7,15.34,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,619,Ocellated Turkey,1,,4,8,15.36,,bushnell,810A,Laguna Seca,no,,
,803B,289436,1956746,803,b,632,Ocellated Turkey,1,,4,18,18.18,,bushnell,803B,Yalbac,no,,
,810B,286075,1935996,810,b,698,Ocellated Turkey,1,,4,11,12.24,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,700,Ocellated Turkey,1,,4,11,14.11,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,712,Ocellated Turkey,1,,4,12,7.17,,bushnell,810A,Laguna Seca,no,,
,807B,291485,1956145,807,b,735,Ocellated Turkey,4,,4,14,17.52,,bushnell,807B,Yalbac,no,,
,807B,291485,1956145,807,b,753,Ocellated Turkey,2,,4,15,6.46,,bushnell,807B,Yalbac,no,,
,810B,286075,1935996,810,b,769,Ocellated Turkey,1,,4,13,15.20,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,773,Ocellated Turkey,1,,4,13,16.45,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,793,Ocellated Turkey,1,,4,14,10.01,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,809,Ocellated Turkey,1,,4,15,6.23,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,812,Ocellated Turkey,1,,4,16,9.11,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,820,Ocellated Turkey,1,,4,16,14.25,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,823,Ocellated Turkey,1,,4,16,17.44,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,832,Ocellated Turkey,1,,4,17,14.28,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,844,Ocellated Turkey,1,,4,19,6.22,,bushnell,810A,Laguna Seca,no,,
,810B,286075,1935996,810,b,850,Ocellated Turkey,1,,4,19,16.56,,bushnell,810A,Laguna Seca,no,,
,807B,291485,1956145,807,b,860,Ocellated Turkey,4,,4,17,12.26,,bushnell,807B,Yalbac,no,,
,812C,286537,1935396,812,c,4,Ocellated Turkey,1,,4,21,16.40,,bushnell,812C,Laguna Seca,no,,
,804C,288918,1956756,804,c,17,Ocellated Turkey,1,,4,24,8.10,,bushnell,804C,Yalbac,no,,
,810C,286074,1935990,810,c,23,Ocellated Turkey,1,,4,20,10.46,,bushnell,810C,Laguna Seca,no,,
,804C,288918,1956756,804,c,25,Ocellated Turkey,1,,4,27,15.15,,bushnell,804C,Yalbac,no,,
,810C,286074,1935990,810,c,29,Ocellated Turkey,1,,4,20,17.11,,bushnell,810C,Laguna Seca,no,,
,804C,288918,1956756,804,c,45,Ocellated Turkey,1,,5,1,14.25,,bushnell,804C,Yalbac,no,,
,810C,286074,1935990,810,c,46,Ocellated Turkey,1,,4,21,7.09,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,52,Ocellated Turkey,1,,4,21,10.09,,bushnell,810C,Laguna Seca,no,,
,804C,288918,1956756,804,c,53,Ocellated Turkey,2,,5,5,9.35,,bushnell,804C,Yalbac,no,,
,804C,288918,1956756,804,c,61,Ocellated Turkey,1,,5,7,8.19,,bushnell,804C,Yalbac,no,,
,810C,286074,1935990,810,c,67,Ocellated Turkey,1,,4,22,5.53,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,104,Ocellated Turkey,1,,4,23,17.27,,bushnell,810C,Laguna Seca,no,,
,804C,288918,1956756,804,c,113,Ocellated Turkey,1,,5,18,7.25,,bushnell,804C,Yalbac,no,,
,804C,288918,1956756,804,c,117,Ocellated Turkey,2,,5,18,17.21,,bushnell,804C,Yalbac,no,,
,804C,288918,1956756,804,c,123,Ocellated Turkey,1,,5,19,16.37,,bushnell,804C,Yalbac,no,,
,810C,286074,1935990,810,c,124,Ocellated Turkey,1,,4,24,6.21,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,155,Ocellated Turkey,1,,4,28,9.19,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,158,Ocellated Turkey,1,,4,28,16.21,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,173,Ocellated Turkey,1,,5,1,7.42,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,175,Ocellated Turkey,1,,5,1,14.45,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,187,Ocellated Turkey,1,,5,3,6.58,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,191,Ocellated Turkey,1,,5,3,11.41,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,199,Ocellated Turkey,1,,5,4,6.00,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,229,Ocellated Turkey,1,,5,7,8.41,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,235,Ocellated Turkey,1,,5,7,15.38,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,253,Ocellated Turkey,1,,5,9,5.44,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,263,Ocellated Turkey,1,,5,9,16.34,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,266,Ocellated Turkey,1,,5,9,17.29,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,272,Ocellated Turkey,1,,5,10,6.09,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,283,Ocellated Turkey,1,,5,10,7.25,,bushnell,810C,Laguna Seca,no,,
,810C,286074,1935990,810,c,302,Ocellated Turkey,1,,5,10,14.56,,bushnell,810C,Laguna Seca,no,,
