Name,Brand,Date Placement,Date Removed,Last record,Days,Easting,Northing,Lat,Long,Notes,Site,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape,Area
803C,Bushnell,20-Apr-18,22-May-18,22-May-18,33,293726,1956084,17.68215200,-88.94474200,,Yalbac,yes,,,,,,
803E,Bushnell,27-Jun-18,10-Sep-18,31-Aug-18,65,293978,1956571,17.68657200,-88.94242100,,Yalbac,yes,,,,,,
803F,Bushnell,10-Sep-18,17-Nov-18,17-Nov-18,68,287367,1957733,17.69644600,-89.00483200,,Yalbac,yes,,,,,,
803G,Bushnell,17-Nov-18,28-Dec-18,28-Dec-18,34,287359,1957524,17.696399,-89.004853,,Yalbac,yes,,,,,,
804D,Bushnell,22-May-18,27-Jun-18,27-Jun-18,36,286002,1954720,17.66909500,-89.01740100,,Yalbac,yes,,,,,,
804E,Bushnell,27-Jun-18,10-Sep-18,16-Jul-18,19,286000,1954721,17.66910800,-89.01742000,,Yalbac,yes,,,,,,
804F,Bushnell,10-Sep-18,17-Nov-18,18-Sep-18,8,286001,1954723,17.66912300,-89.01740900,,Yalbac,yes,,,,,,
804G,Bushnell,17-Nov-18,28-Dec-18,28-Dec-18,34,285989,1954514,17.669075,-89.017458,,Yalbac,yes,,,,,,
805C,Bushnell,20-Apr-18,22-May-18,22-May-18,33,293772,1956551,17.68637100,-88.94435500,,Yalbac,yes,,,,,,
805D,Bushnell,22-May-18,27-Jun-18,27-Jun-18,36,286384,1955478,17.67598200,-89.01387100,,Yalbac,yes,,,,,,
805E,Bushnell,27-Jun-18,10-Sep-18,9-Sep-18,74,286387,1955474,17.67594800,-89.01384300,,Yalbac,yes,,,,,,
805F,Bushnell,10-Sep-18,17-Nov-18,10-Sep-18,0,286386,1955476,17.67596000,-89.01385500,,Yalbac,yes,,,,,,
805G,Bushnell,17-Nov-18,28-Dec-18,28-Dec-18,34,286387,1955277,17.676004,-89.013783,,Yalbac,yes,,,,,,
807C,Bushnell,20-Apr-18,22-May-18,22-May-18,33,293761,1956731,17.68800100,-88.94447500,,Yalbac,yes,,,,,,
807F,Bushnell,10-Sep-18,17-Nov-18,29-Sep-18,9,288221,1957509,17.69449900,-88.99676900,,Yalbac,yes,,,,,,
807G,Bushnell,17-Nov-18,28-Dec-18,28-Dec-18,34,288218,1957304,17.694486,-88.996735,,Yalbac,yes,,,,,,
809A,Bushnell,2-Jan-18,5-Mar-18,5-Jan-18,3,290302,1941208,17.54744100,-88.97555200,,Laguna Seca,yes,,,,,,
809B,Bushnell,5-Mar-18,20-Apr-18,4-Apr-18,32,290308,1941220,17.54755500,-88.97549300,,Laguna Seca,yes,,,,,,
809C,Bushnell,20-Apr-18,22-May-18,22-May-18,33,290470,1941089,17.54638200,-88.97395200,,Laguna Seca,yes,,,,,,
809D,Bushnell,22-May-18,27-Jun-18,27-Jun-18,36,290096,1941263,17.54792600,-88.97749200,,Laguna Seca,yes,,,,,,
809E,Bushnell,27-Jun-18,13-Jul-18,10-Sep-18,16,290102,1941262,17.54791200,-88.97744200,,Laguna Seca,yes,,,,,,
811A,Bushnell,2-Jan-18,5-Mar-18,27-Feb-18,54,292245,1941778,17.55277700,-88.95730900,,Laguna Seca,yes,,,,,,
811B,Bushnell,5-Mar-18,20-Apr-18,20-Apr-18,46,292249,1941778,17.55277800,-88.95727400,,Laguna Seca,yes,,,,,,
811C,Bushnell,20-Apr-18,22-May-18,20-Apr-18,0,292248,1941782,17.55280900,-88.95727600,,Laguna Seca,yes,,,,,,
811D,Bushnell,22-May-18,27-Jun-18,25-May-18,3,290809,1941357,17.54884000,-88.97079300,,Laguna Seca,yes,,,,,,
811E,Bushnell,27-Jun-18,17-Nov-18,27-Jun-18,0,291349,1941666,17.55168200,-88.96573100,,Laguna Seca,yes,,,,,,
813C,Bushnell,20-Apr-18,22-May-18,22-May-18,33,293930,1941444,17.54991500,-88.94140700,,Laguna Seca,yes,,,,,,
813D,Bushnell,22-May-18,27-Jun-18,27-Jun-18,36,290557,1941423,17.54940800,-88.97317000,,Laguna Seca,yes,,,,,,
813E,Bushnell,27-Jun-18,17-Nov-18,18-Jul-18,21,290559,1941411,17.54930600,-88.97315000,,Laguna Seca,yes,,,,,,
814B,Bushnell,5-Mar-18,20-Apr-18,18-Apr-18,44,289938,1941186,17.54720900,-88.97897800,,Laguna Seca,yes,,,,,,
814C,Bushnell,20-Apr-18,22-May-18,22-May-18,33,295491,1940684,17.54318900,-88.92663000,,Laguna Seca,yes,,,,,,
814D,Bushnell,22-May-18,27-Jun-18,27-Jun-18,36,291294,1941520,17.55035800,-88.96623600,,Laguna Seca,yes,,,,,,
814E,Bushnell,27-Jun-18,17-Nov-18,17-Nov-18,140,291291,1941517,17.55032800,-88.96626800,,Laguna Seca,yes,1403,,,,,
,,,,,2759,,,,,,,,,,,,,
