Name,mean_ARVI,sd_ARVI,mean_NDVI,sd_NDVI,mean_PRI,sd_PRI,mean_RGRI,sd_RGRI,mean_SIPI,sd_SIPI,mean_SR,sd_SR,mean_ARVI100,sd_ARVI100,mean_NDVI100,sd_NDVI100,mean_PRI100,sd_PRI100,mean_RGRI100,sd_RGRI100,mean_SIPI100,sd_SIPI100,mean_SR100,sd_SR100
403E,0.924074745,0.010989032,0.927128655,0.005030508,0.031129597,0.019749959,0.906497887,0.034641303,1.001746251,0.004116421,26.5826223,1.998869608,0.92425167661,0.01131188548,0.92798553109,0.00456544109,0.02777972507,0.02095329539,0.90022716440,0.03292730128,1.00212769323,0.00477939115,26.88591122790,1.80463356669
403F,0.917250253,0.008915931,0.917138273,0.003258868,0.027162047,0.017187239,0.918665276,0.029837774,0.999957749,0.004500572,23.17411265,0.955715617,0.91867059622,0.01024610832,0.91822754946,0.00420562610,0.02352073258,0.01686751419,0.91726442664,0.02682694223,0.99977674786,0.00483051184,23.52281157950,1.26287381285
404B,0.927952506,0.008001674,0.923164904,0.002420784,0.009209467,0.009427788,0.903262268,0.015421068,0.997327685,0.004120834,25.05522558,0.808469652,0.92498152438,0.01177760505,0.92020873726,0.00719056126,0.00978008684,0.01236775798,0.90860857147,0.02115159389,0.99733409674,0.00472580101,24.20480314650,1.61047771331
404C,0.768328112,0.198820459,0.817135205,0.129814405,-0.04000997,0.065377348,1.145652735,0.252181644,1.055036185,0.093986481,14.97490066,7.713313781,0.89791585529,0.09005640199,0.90105407752,0.05843332770,0.00397253067,0.03117047221,0.94620979639,0.12252901551,1.00549658068,0.04074563320,21.54209019170,4.31354376222
404C2,0.924942695,0.00815593,0.919156247,0.002843303,0.010715105,0.012469047,0.905439229,0.017617356,0.996747671,0.004036998,23.77019898,0.8857675,0.91920305009,0.02229383724,0.90720911944,0.04150339243,0.01537212752,0.01846115606,0.89971366824,0.02675009828,0.99226027056,0.01844307996,22.46047573730,4.40832054300
404D,0.924942695,0.00815593,0.919156247,0.002843303,0.010715105,0.012469047,0.905439229,0.017617356,0.996747671,0.004036998,23.77019898,0.8857675,0.91920305009,0.02229383724,0.90720911944,0.04150339243,0.01537212752,0.01846115606,0.89971366824,0.02675009828,0.99226027056,0.01844307996,22.46047573730,4.40832054300
404E,0.922165162,0.009815404,0.917364419,0.003043248,0.018647257,0.014350294,0.915182195,0.01968474,0.997303845,0.005167474,23.23543089,0.891454499,0.89904976841,0.09268650169,0.90182832402,0.06009869338,0.00584945752,0.03188315659,0.94453531204,0.12261480997,1.00560320748,0.04299085825,21.75026661920,4.25210597018
404F,0.922165162,0.009815404,0.917364419,0.003043248,0.018647257,0.014350294,0.915182195,0.01968474,0.997303845,0.005167474,23.23543089,0.891454499,0.89904976841,0.09268650169,0.90182832402,0.06009869338,0.00584945752,0.03188315659,0.94453531204,0.12261480997,1.00560320748,0.04299085825,21.75026661920,4.25210597018
405A,0.921213124,0.010939257,0.926521392,0.004035197,0.025379702,0.022550647,0.911394473,0.03523442,1.003016671,0.004869352,26.30585931,1.591372101,0.92110056830,0.01185624013,0.92641321890,0.00463730046,0.02799626617,0.02482904749,0.90932460760,0.03678797304,1.00302552277,0.00518985784,26.28950839490,1.76664253366
405B,0.91555649,0.010609472,0.923816872,0.00395797,0.02990577,0.020177815,0.912002769,0.032097929,1.004701611,0.004655563,25.32542655,1.407520757,0.91867963326,0.01197996195,0.92480035609,0.00582327076,0.03069877916,0.02550367793,0.91522166264,0.03578120225,1.00348549174,0.00529487718,25.74964400380,2.01374302816
