"Name","Logging.x","Property.x","Easting.x","Northing.x","Lat.x","Long.x","Cam.nr","series","picture","species.name","Species","Type","Nr","Year","Month","Day","Hour.Exact","Comment","Mammal","Logging.y","Property.y","Brand","Date.Placement","Date.Removed","Last.record","Days","Easting.y","Northing.y","Lat.y","Long.y","obsdate","visit","date_time_obs"
"04C","Yes","Laguna Seca",288509,1951219,17.637707,-88.993427,4,"C",126,"White-lipped Peccary","Tayassu pecari","Mammal",5,2020,6,5,9.55,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-13,2020-06-11,20,288509,1951219,17.637707,-88.993427,2020-06-05,15,"2020-06-05 9.55"
"11D","Yes","Laguna Seca",290851,1951849,17.643621,-88.971426,11,"D",46,"Collared Peccary","Pecari tajacu","Mammal",5,2020,7,23,16.43,"","Yes","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,290851,1951849,17.643621,-88.971426,2020-07-23,27,"2020-07-23 16.43"
"02G","Yes","Yalbac",284926,1938068,17.518568,-89.02586,2,"G",57,"Great Curassow","Crax rubra","Bird",5,2020,9,23,5.56,"","No","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,284926,1938068,17.518568,-89.02586,2020-09-23,5,"2020-09-23 5.56"
"02H","Yes","Yalbac",284930,1938067,17.518558,-89.02582,2,"H",209,"Ocellated Turkey","Meleagris ocellata","Bird",5,2020,10,29,6.41,"","No","Yes","Yalbac","Bushnel",2020-09-10,2020-11-28,2020-11-28,35,284930,1938067,17.518558,-89.02582,2020-10-29,50,"2020-10-29 6.41"
"03E","Yes","Yalbac",284206,1939118,17.527981,-89.032738,3,"E",298,"Great Curassow","Crax rubra","Bird",5,2020,8,16,6.2,"","No","Yes","Yalbac","Bushnel",2020-07-18,2020-08-22,2020-08-22,35,284206,1939118,17.527981,-89.032738,2020-08-16,30,"2020-08-16 6.20"
"02H","Yes","Yalbac",284930,1938067,17.518558,-89.02582,2,"H",125,"White-nosed Coati","Nasua narica","Mammal",5,2020,10,1,16.01,"","Yes","Yes","Yalbac","Bushnel",2020-09-10,2020-11-28,2020-11-28,35,284930,1938067,17.518558,-89.02582,2020-10-01,22,"2020-10-01 16.01"
"02H","Yes","Yalbac",284930,1938067,17.518558,-89.02582,2,"H",133,"White-nosed Coati","Nasua narica","Mammal",5,2020,10,2,16.59,"","Yes","Yes","Yalbac","Bushnel",2020-09-10,2020-11-28,2020-11-28,35,284930,1938067,17.518558,-89.02582,2020-10-02,23,"2020-10-02 16.59"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",379,"Great Curassow","Crax rubra","Bird",4,2020,9,5,8.07,"","No","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-05,15,"2020-09-05 8.07"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",515,"Great Curassow","Crax rubra","Bird",4,2020,9,5,10.11,"","No","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-05,15,"2020-09-05 10.11"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",547,"Great Curassow","Crax rubra","Bird",4,2020,9,5,10.33,"","No","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-05,15,"2020-09-05 10.33"
"04C","Yes","Laguna Seca",288509,1951219,17.637707,-88.993427,4,"C",199,"Great Curassow","Crax rubra","Bird",4,2020,6,11,13.5,"","No","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-13,2020-06-11,20,288509,1951219,17.637707,-88.993427,2020-06-11,21,"2020-06-11 13.50"
"13D","Yes","Laguna Seca",289870,1951695,17.642139,-88.980649,13,"D",148,"Ocellated Turkey","Meleagris ocellata","Bird",4,2020,7,3,6.53,"","No","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,289870,1951695,17.642139,-88.980649,2020-07-03,7,"2020-07-03 6.53"
"13D","Yes","Laguna Seca",289870,1951695,17.642139,-88.980649,13,"D",154,"Ocellated Turkey","Meleagris ocellata","Bird",4,2020,7,3,18.05,"","No","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,289870,1951695,17.642139,-88.980649,2020-07-03,7,"2020-07-03 18.05"
"13D","Yes","Laguna Seca",289870,1951695,17.642139,-88.980649,13,"D",193,"Ocellated Turkey","Meleagris ocellata","Bird",4,2020,7,4,9.17,"","No","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,289870,1951695,17.642139,-88.980649,2020-07-04,8,"2020-07-04 9.17"
"11D","Yes","Laguna Seca",290851,1951849,17.643621,-88.971426,11,"D",88,"Collared Peccary","Pecari tajacu","Mammal",4,2020,7,28,12.03,"","Yes","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,290851,1951849,17.643621,-88.971426,2020-07-28,32,"2020-07-28 12.03"
"01B","Yes","Yalbac",286795,1939898,17.53528,-89.008442,1,"B",3241,"Ocellated Turkey","Meleagris ocellata","Bird",4,2020,4,27,6.31,"","No","Yes","Yalbac","Bushnel",2020-03-14,2020-05-09,2020-05-09,53,286795,1939898,17.53528,-89.008442,2020-04-27,45,"2020-04-27 6.31"
"02E","Yes","Yalbac",284808,1938170,17.519475,-89.026982,2,"E",13,"Great Curassow","Crax rubra","Bird",4,2020,7,18,16.1,"","No","Yes","Yalbac","Bushnel",2020-07-18,2020-08-22,2020-08-22,35,284808,1938170,17.519475,-89.026982,2020-07-18,1,"2020-07-18 16.10"
"03E","Yes","Yalbac",284206,1939118,17.527981,-89.032738,3,"E",253,"Great Curassow","Crax rubra","Bird",4,2020,8,13,7.1,"","No","Yes","Yalbac","Bushnel",2020-07-18,2020-08-22,2020-08-22,35,284206,1939118,17.527981,-89.032738,2020-08-13,27,"2020-08-13 7.10"
"03G","Yes","Yalbac",284578,1939508,17.531539,-89.029275,3,"G",43,"Great Curassow","Crax rubra","Bird",4,2020,9,25,5.54,"","No","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,284578,1939508,17.531539,-89.029275,2020-09-25,7,"2020-09-25 5.54"
"03G","Yes","Yalbac",284578,1939508,17.531539,-89.029275,3,"G",61,"Great Curassow","Crax rubra","Bird",4,2020,9,26,17.21,"","No","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,284578,1939508,17.531539,-89.029275,2020-09-26,8,"2020-09-26 17.21"
"03G","Yes","Yalbac",284578,1939508,17.531539,-89.029275,3,"G",85,"Great Curassow","Crax rubra","Bird",4,2020,9,27,5.51,"","No","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,284578,1939508,17.531539,-89.029275,2020-09-27,9,"2020-09-27 5.51"
"03G","Yes","Yalbac",284578,1939508,17.531539,-89.029275,3,"G",253,"Great Curassow","Crax rubra","Bird",4,2020,10,13,9.3,"","No","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,284578,1939508,17.531539,-89.029275,2020-10-13,25,"2020-10-13 9.30"
"06C","Yes","Yalbac",286216,1936445,17.504029,-89.013555,6,"C",370,"Ocellated Turkey","Meleagris ocellata","Bird",4,2020,5,18,5.46,"","No","Yes","Yalbac","Bushnel",2020-05-09,2020-06-13,2020-06-13,35,286216,1936445,17.504029,-89.013555,2020-05-18,10,"2020-05-18 5.46"
"06G","Yes","Yalbac",285950,1936022,17.500181,-89.016015,6,"G",79,"Great Curassow","Crax rubra","Bird",4,2020,9,29,7.45,"","No","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,285950,1936022,17.500181,-89.016015,2020-09-29,11,"2020-09-29 7.45"
"06G","Yes","Yalbac",285950,1936022,17.500181,-89.016015,6,"G",100,"Great Curassow","Crax rubra","Bird",4,2020,10,2,6.02,"","No","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,285950,1936022,17.500181,-89.016015,2020-10-02,14,"2020-10-02 6.02"
"02G","Yes","Yalbac",284926,1938068,17.518568,-89.02586,2,"G",25,"White-lipped Peccary","Tayassu pecari","Mammal",4,2020,9,21,14.25,"","Yes","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,284926,1938068,17.518568,-89.02586,2020-09-21,3,"2020-09-21 14.25"
"02G","Yes","Yalbac",284926,1938068,17.518568,-89.02586,2,"G",29,"White-lipped Peccary","Tayassu pecari","Mammal",4,2020,9,21,15.13,"","Yes","Yes","Yalbac","Bushnel",2020-09-19,2020-10-24,2020-10-24,35,284926,1938068,17.518568,-89.02586,2020-09-21,3,"2020-09-21 15.13"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",71,"Great Curassow","Crax rubra","Bird",3,2020,8,31,6.2,"","No","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-08-31,10,"2020-08-31 6.20"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",575,"Great Curassow","Crax rubra","Bird",3,2020,9,6,6.15,"","No","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-06,16,"2020-09-06 6.15"
"02F","Yes","Laguna Seca",284986,1938087,17.518743,-89.025299,2,"F",975,"Great Curassow","Crax rubra","Bird",3,2020,9,14,11.5,"","No","Yes","Laguna Seca","Bushnel",2020-08-22,2020-09-19,2020-09-19,28,284986,1938087,17.518743,-89.025299,2020-09-14,24,"2020-09-14 11.50"
"04B","Yes","Laguna Seca",287639,1949425,17.621422,-89.001446,4,"B",129,"Ocellated Turkey","Meleagris ocellata","Bird",3,2020,4,4,7.3,"","No","Yes","Laguna Seca","Bushnel",2020-03-14,2020-05-22,2020-05-22,69,287639,1949425,17.621422,-89.001446,2020-04-04,22,"2020-04-04 7.30"
