"Name","Logging.x","Property.x","Easting.x","Northing.x","Lat.x","Long.x","Cam.nr","series","picture","species.name","Species","Type","Nr","Year","Month","Day","Hour.Exact","Comment","Mammal","Logging.y","Property.y","Brand","Date.Placement","Date.Removed","Last.record","Days","Easting.y","Northing.y","Lat.y","Long.y","obsdate","visit","date_time_obs"
"12E","Yes","Laguna Seca",285829,1953728,17.660116,-89.018925,12,"E",241,"White-tailed Deer","Odocoileus virginianus","Mammal",1,2020,9,8,11.56,"","Yes","Yes","Laguna Seca","Bushnel",2020-08-08,2020-09-19,2020-09-09,4,285829,1953728,17.660116,-89.018925,2020-09-08,32,"2020-09-08 11.56"
"12E","Yes","Laguna Seca",285829,1953728,17.660116,-89.018925,12,"E",247,"White-tailed Deer","Odocoileus virginianus","Mammal",1,2020,9,8,13.12,"","Yes","Yes","Laguna Seca","Bushnel",2020-08-08,2020-09-19,2020-09-09,4,285829,1953728,17.660116,-89.018925,2020-09-08,32,"2020-09-08 13.12"
"12E","Yes","Laguna Seca",285829,1953728,17.660116,-89.018925,12,"E",256,"White-tailed Deer","Odocoileus virginianus","Mammal",1,2020,9,9,8.45,"","Yes","Yes","Laguna Seca","Bushnel",2020-08-08,2020-09-19,2020-09-09,4,285829,1953728,17.660116,-89.018925,2020-09-09,33,"2020-09-09 8.45"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",340,"Baird's Tapir","Tapirus bairdii","Mammal",1,2020,4,19,20.43,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-19,37,"2020-04-19 20.43"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",349,"Baird's Tapir","Tapirus bairdii","Mammal",1,2020,4,25,1.27,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-25,43,"2020-04-25 1.27"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",252,"Baird's Tapir","Tapirus bairdii","Mammal",1,2020,4,25,7.31,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-25,43,"2020-04-25 7.31"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",94,"Common Opossum","Didelphis marsupialis","Mammal",1,2020,3,20,22.32,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-20,7,"2020-03-20 22.32"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",31,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,15,4.43,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-15,2,"2020-03-15 4.43"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",67,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,17,18.46,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-17,4,"2020-03-17 18.46"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",73,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,19,11.18,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-19,6,"2020-03-19 11.18"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",79,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,20,3.18,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-20,7,"2020-03-20 3.18"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",82,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,20,19.44,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-20,7,"2020-03-20 19.44"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",127,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,22,23.08,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-22,9,"2020-03-22 23.08"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",136,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,23,5.16,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-23,10,"2020-03-23 5.16"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",172,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,24,20.21,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-24,11,"2020-03-24 20.21"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",175,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,25,0.25,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-25,12,"2020-03-25 0.25"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",188,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,26,20.58,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-26,13,"2020-03-26 20.58"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",202,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,27,15.59,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-27,14,"2020-03-27 15.59"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",220,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,30,3.59,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-30,17,"2020-03-30 3.59"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",223,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,30,4.59,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-30,17,"2020-03-30 4.59"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",235,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,31,0.34,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-31,18,"2020-03-31 0.34"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",239,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,3,31,1.28,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-31,18,"2020-03-31 1.28"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",247,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,2,4.16,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-02,20,"2020-04-02 4.16"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",259,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,5,4.2,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-05,23,"2020-04-05 4.20"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",265,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,6,0.5,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-06,24,"2020-04-06 0.50"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",268,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,6,4.06,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-06,24,"2020-04-06 4.06"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",271,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,7,3.53,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-07,25,"2020-04-07 3.53"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",292,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,10,19.16,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-10,28,"2020-04-10 19.16"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",295,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,10,23.41,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-10,28,"2020-04-10 23.41"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",298,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,11,21.33,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-11,29,"2020-04-11 21.33"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",304,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,12,3,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-12,30,"2020-04-12 3.00"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",310,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,12,21.39,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-12,30,"2020-04-12 21.39"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",319,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,13,2.33,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-13,31,"2020-04-13 2.33"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",322,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,14,0.34,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-14,32,"2020-04-14 0.34"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",328,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,17,0.05,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-17,35,"2020-04-17 0.05"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",311,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,18,21.19,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-18,36,"2020-04-18 21.19"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",334,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,19,4.13,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-19,37,"2020-04-19 4.13"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",364,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,28,2.04,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-28,46,"2020-04-28 2.04"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",382,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,4,30,0.15,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-30,48,"2020-04-30 0.15"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",253,"Jaguar","Panthera onca","Mammal",1,2020,4,2,21.11,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-02,20,"2020-04-02 21.11"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",284,"Jaguar","Panthera onca","Mammal",1,2020,4,8,9.03,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-08,26,"2020-04-08 9.03"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",289,"Margay","Leopardus wiedii","Mammal",1,2020,4,10,1.52,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-10,28,"2020-04-10 1.52"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",28,"Ocelot","Leopardus pardalis","Mammal",1,2020,3,14,19.38,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-14,1,"2020-03-14 19.38"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",40,"Ocelot","Leopardus pardalis","Mammal",1,2020,3,16,5.14,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-16,3,"2020-03-16 5.14"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",55,"Ocelot","Leopardus pardalis","Mammal",1,2020,3,16,22.37,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-16,3,"2020-03-16 22.37"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",61,"Ocelot","Leopardus pardalis","Mammal",1,2020,3,17,3.24,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-17,4,"2020-03-17 3.24"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",64,"Ocelot","Leopardus pardalis","Mammal",1,2020,3,17,14.55,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-17,4,"2020-03-17 14.55"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",130,"Ocelot","Leopardus pardalis","Mammal",1,2020,3,23,1.29,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-23,10,"2020-03-23 1.29"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",133,"Ocelot","Leopardus pardalis","Mammal",1,2020,3,23,3.34,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-23,10,"2020-03-23 3.34"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",154,"Ocelot","Leopardus pardalis","Mammal",1,2020,3,23,8.13,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-23,10,"2020-03-23 8.13"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",343,"Ocelot","Leopardus pardalis","Mammal",1,2020,4,22,2.17,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-04-22,40,"2020-04-22 2.17"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",178,"Puma","Puma concolor","Mammal",1,2020,3,25,12.26,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-25,12,"2020-03-25 12.26"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",190,"Puma","Puma concolor","Mammal",1,2020,3,26,21.24,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-26,13,"2020-03-26 21.24"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",193,"Puma","Puma concolor","Mammal",1,2020,3,27,3.24,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-27,14,"2020-03-27 3.24"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",205,"Puma","Puma concolor","Mammal",1,2020,3,29,1.48,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-29,16,"2020-03-29 1.48"
"13B","Yes","Laguna Seca",289492,1951376,17.639221,-88.98418,13,"B",208,"Puma","Puma concolor","Mammal",1,2020,3,29,3.5,"","Yes","Yes","Laguna Seca","Bushnel",2020-03-14,2020-04-22,2020-04-30,47,289492,1951376,17.639221,-88.98418,2020-03-29,16,"2020-03-29 3.50"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",64,"Agouti","Dasyprocta punctata","Mammal",1,2020,5,29,7.38,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-05-29,8,"2020-05-29 7.38"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",103,"Common Opossum","Didelphis marsupialis","Mammal",1,2020,6,8,3.23,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-08,18,"2020-06-08 3.23"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",187,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,6,15,10.47,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-15,25,"2020-06-15 10.47"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",202,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,6,19,1.24,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-19,29,"2020-06-19 1.24"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",283,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,6,25,21.21,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-25,35,"2020-06-25 21.21"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",196,"Margay","Leopardus wiedii","Mammal",1,2020,6,17,22.07,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-17,27,"2020-06-17 22.07"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",199,"Ocelot","Leopardus pardalis","Mammal",1,2020,6,17,22.12,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-17,27,"2020-06-17 22.12"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",100,"Paca","Cuniculus paca","Mammal",1,2020,6,5,3.56,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-05,15,"2020-06-05 3.56"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",256,"Paca","Cuniculus paca","Mammal",1,2020,6,23,22.31,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-23,33,"2020-06-23 22.31"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",52,"Red Brocket Deer","Mazama temama","Mammal",1,2020,5,27,9.01,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-05-27,6,"2020-05-27 9.01"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",79,"Red Brocket Deer","Mazama temama","Mammal",1,2020,6,3,13.27,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-03,13,"2020-06-03 13.27"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",61,"White-nosed Coati","Nasua narica","Mammal",1,2020,5,29,7.3,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-05-29,8,"2020-05-29 7.30"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",190,"White-nosed Coati","Nasua narica","Mammal",1,2020,6,15,13.16,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-15,25,"2020-06-15 13.16"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",223,"White-nosed Coati","Nasua narica","Mammal",1,2020,6,21,12.21,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-21,31,"2020-06-21 12.21"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",229,"White-nosed Coati","Nasua narica","Mammal",1,2020,6,22,16.38,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-22,32,"2020-06-22 16.38"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",235,"White-tailed Deer","Odocoileus virginianus","Mammal",1,2020,6,23,11.5,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-23,33,"2020-06-23 11.50"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",241,"White-tailed Deer","Odocoileus virginianus","Mammal",1,2020,6,23,12.34,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-23,33,"2020-06-23 12.34"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",253,"White-tailed Deer","Odocoileus virginianus","Mammal",1,2020,6,23,18.57,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-23,33,"2020-06-23 18.57"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",274,"White-tailed Deer","Odocoileus virginianus","Mammal",1,2020,6,25,12.59,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-25,35,"2020-06-25 12.59"
"13C","Yes","Laguna Seca",289865,1951697,17.642153,-88.980698,13,"C",292,"White-tailed Deer","Odocoileus virginianus","Mammal",1,2020,6,27,9.29,"","Yes","Yes","Laguna Seca","Bushnel",2020-05-22,2020-06-27,2020-06-27,36,289865,1951697,17.642153,-88.980698,2020-06-27,37,"2020-06-27 9.29"
"13D","Yes","Laguna Seca",289870,1951695,17.642139,-88.980649,13,"D",43,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,6,27,20.46,"","Yes","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,289870,1951695,17.642139,-88.980649,2020-06-27,1,"2020-06-27 20.46"
"13D","Yes","Laguna Seca",289870,1951695,17.642139,-88.980649,13,"D",55,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,6,28,3.14,"","Yes","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,289870,1951695,17.642139,-88.980649,2020-06-28,2,"2020-06-28 3.14"
"13D","Yes","Laguna Seca",289870,1951695,17.642139,-88.980649,13,"D",100,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,6,30,3.16,"","Yes","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,289870,1951695,17.642139,-88.980649,2020-06-30,4,"2020-06-30 3.16"
"13D","Yes","Laguna Seca",289870,1951695,17.642139,-88.980649,13,"D",160,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,7,3,19.25,"","Yes","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,289870,1951695,17.642139,-88.980649,2020-07-03,7,"2020-07-03 19.25"
"13D","Yes","Laguna Seca",289870,1951695,17.642139,-88.980649,13,"D",199,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,7,4,20.21,"","Yes","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,289870,1951695,17.642139,-88.980649,2020-07-04,8,"2020-07-04 20.21"
"13D","Yes","Laguna Seca",289870,1951695,17.642139,-88.980649,13,"D",202,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,7,4,21.32,"","Yes","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,289870,1951695,17.642139,-88.980649,2020-07-04,8,"2020-07-04 21.32"
"13D","Yes","Laguna Seca",289870,1951695,17.642139,-88.980649,13,"D",223,"Gray Fox","Urocyon cinereoargenteus","Mammal",1,2020,7,5,23.04,"","Yes","Yes","Laguna Seca","Bushnel",2020-06-27,2020-08-08,2020-08-08,41,289870,1951695,17.642139,-88.980649,2020-07-05,9,"2020-07-05 23.04"
