"site","Brand","Conservation","Logging","Hurricane","Fire","Location","Landscape","Lat","Long","Season"
"413F","Scoutguard","Yes","No","Yes","Yes","Seismic line","Secondary Forest",17.4368730016,-88.8292139999,"Dry"
"404B","Scoutguard","Yes","No","Yes","Yes","Logging Road","Secondary Forest",17.4353551153,-88.8282329389,"Dry"
"409C2","Moultry","No","No","Yes","No","Narrow survey trail","Broadleaf forest, broken canopy",17.4921070016,-89.041685,"Rainy"
"410A","Moultry","No","No","Yes","No","Stock Transect","Broadleaf forest, broken canopy",17.4835072063,-89.047937497,"Dry"
"406B","Bushnell","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4850755579,-89.0383042467,"Dry"
"403B","Bushnell","Yes","No","Yes","Yes","Valley","Broadleaf forest, broken canopy",17.4143072239,-88.9653467565,"Dry"
"413C","Bushnell","Yes","No","Yes","Yes","Logging Road","Secondary Forest",17.4274301975,-88.8560577686,"Rainy"
"407A","Bushnell","No","No","Yes","No","Stock Transect","Broadleaf forest, broken canopy",17.4836072046,-89.0450965097,"Dry"
"403C2","Bushnell","Yes","No","Yes","Yes","Valley","Broadleaf forest, broken canopy",17.4146940016,-88.9678,"Rainy"
"413E","Scoutguard","Yes","No","Yes","Yes","Seismic line","Secondary Forest",17.4368750016,-88.8292119999,"Dry"
"409F","Moultry","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.5065910016,-88.974401,"Dry"
"404C2","Scoutguard","Yes","No","Yes","Yes","Excavated Maya site","Secondary Forest",17.4263510016,-88.8382529999,"Rainy"
"408D","Scoutguard","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4470980016,-88.960261,"Rainy"
"406D","Bushnell","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4498590016,-88.9573259999,"Rainy"
"406E","Bushnell","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4959560016,-89.006717,"Dry"
"412E","Scoutguard","No","No","Yes","No","Logging Road","Broadleaf forest, broken canopy",17.4745900016,-89.03983,"Dry"
"407B","Bushnell","No","No","Yes","No","Stock Transect","Broadleaf forest, broken canopy",17.4843205982,-89.0496124791,"Dry"
"409B","Moultry","No","No","Yes","No","Stock Transect","Broadleaf forest, broken canopy",17.4843905939,-89.0427083372,"Dry"
"408E","Scoutguard","No","No","Yes","No","Near swampy spot","Low Scrub forest",17.4610490016,-88.99737,"Dry"
"401C","Moultry","Yes","No","Yes","Yes","Logging Road","Secondary Forest",17.4320982168,-88.8250943977,"Rainy"
"506G","Bushnell","No","Yes","No","No","Along wide logging road","Mature forest",17.6848716281,-88.955950079,"Dry"
"510H","Moultrycam","No","Yes","Yes","No","Along wide logging road","Disturbed High forest",17.4972022527,-89.04634609,"Dry"
"507H","Bushnell","No","Yes","Yes","No","Along wide logging road","Disturbed High forest",17.4924992471,-89.0390950005,"Dry"
"509H","Bushnell","No","Yes","Yes","No","Along wide logging road","Disturbed High forest",17.4960292545,-89.0368069745,"Dry"
"504C","Scoutguard","No","Yes","No","No","Along narrow seismic line","Mature forest",17.6679510015,-88.953363,"Dry"
"509C","Bushnell","No","Yes","Yes","No","Along narrow logging trail","Disturbed High forest",17.4940120016,-89.070833,"Dry"
"501C","Bushnell","No","Yes","No","No","Along narrow seismic line","Mature forest",17.6713000015,-88.956623,"Dry"
"507C","Bushnell","No","Yes","Yes","No","Along wide logging road","Disturbed High forest",17.4962940016,-89.037508,"Dry"
"504D","Scoutguard","No","Yes","No","No","Along wide logging road","Mature forest",17.6840636232,-88.9648431865,"Rainy"
"503D","Bushnell","No","Yes","No","No","Along wide logging road","Mature forest",17.7034806613,-88.9559180865,"Rainy"
"501D","Bushnell","No","Yes","No","No","Along wide logging road","Mature forest",17.7011206572,-88.9556220819,"Rainy"
