"","Location","Cam.nr","series","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","site","Brand","Date.Placement","Date.Removed","Days","Northing","Easting","Lat","Long","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Area","endday","obsdate","visit","errors","opp_errors"
"100","Yalbac 714F",714,"F",102,"Agouti",1,2017,10,10,21.54,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-10-10,-20,FALSE,TRUE
"101","Yalbac 714F",714,"F",10,"Deppe's Squirrel",1,2017,9,4,10.35,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-09-04,-56,FALSE,TRUE
"102","Yalbac 714F",714,"F",67,"Deppe's Squirrel",1,2017,9,28,8.26,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-09-28,-32,FALSE,TRUE
"103","Yalbac 714F",714,"F",95,"Gray fox",1,2017,10,8,11.5,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-10-08,-22,FALSE,TRUE
"104","Yalbac 714F",714,"F",14,"Gray-headed Dove",1,2017,9,4,10.43,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-09-04,-56,FALSE,TRUE
"105","Yalbac 714F",714,"F",27,"Great Curassow",1,2017,9,14,10.12,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-09-14,-46,FALSE,TRUE
"106","Yalbac 714F",714,"F",69,"Great Curassow",1,2017,9,29,11.5,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-09-29,-31,FALSE,TRUE
"107","Yalbac 714F",714,"F",51,"Jaguarundi",1,2017,9,22,8.55,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-09-22,-38,FALSE,TRUE
"108","Yalbac 714F",714,"F",106,"Rodent",1,2017,10,11,21.09,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-10-11,-19,FALSE,TRUE
"109","Yalbac 714F",714,"F",37,"White-tailed Deer",1,2017,9,18,6.45,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-09-18,-42,FALSE,TRUE
"110","Yalbac 714F",714,"F",59,"White-tailed Deer",1,2017,9,24,14.59,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-09-24,-36,FALSE,TRUE
"111","Yalbac 714F",714,"F",91,"White-tailed Deer",1,2017,10,3,12.02,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-10-03,-27,FALSE,TRUE
"112","Yalbac 714F",714,"F",5,"Wood Thrush",1,2017,9,4,8.1,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-09-04,-56,FALSE,TRUE
"113","Yalbac 714F",714,"F",136,"Wood Thrush",1,2017,10,20,11.54,"","Bushnell","Yalbac","Yes","714F","",2017-10-31,2017-12-01,32,1941596,291248,17.55104,-88.966678,NA,"","",NA,"","","","","",2017-12-03,2017-10-20,-10,FALSE,TRUE
