"site","Camera","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","Mammal","Easting.y","Northing.y","Site","Active_Log","obsdate","First_Obs","Last.Record_clean","Days","date_time_obs"
"803D","803D",454,"Gray Fox",1,2018,5,30,0.54,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-05-30,2018-05-22,2018-06-27,36,"2018-05-30 0.54"
"803D","803D",457,"Gray Fox",1,2018,5,30,1.44,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-05-30,2018-05-22,2018-06-27,36,"2018-05-30 1.44"
"807D","807D",513,"Gray Fox",2,2018,5,30,11.5,"","bushnell","Yalbac","no","Yes",289277,1956284,"Yalbac","no",2018-05-30,2018-05-22,2018-06-25,34,"2018-05-30 11.50"
"807D","807D",546,"Gray Fox",1,2018,5,31,11.16,"","bushnell","Yalbac","no","Yes",289277,1956284,"Yalbac","no",2018-05-31,2018-05-22,2018-06-25,34,"2018-05-31 11.16"
"807D","807D",549,"Gray Fox",1,2018,5,31,12.16,"","bushnell","Yalbac","no","Yes",289277,1956284,"Yalbac","no",2018-05-31,2018-05-22,2018-06-25,34,"2018-05-31 12.16"
"807D","807D",561,"Gray Fox",1,2018,6,1,12.22,"","bushnell","Yalbac","no","Yes",289277,1956284,"Yalbac","no",2018-06-01,2018-05-22,2018-06-25,34,"2018-06-01 12.22"
"807D","807D",565,"Gray Fox",1,2018,6,1,12.58,"","bushnell","Yalbac","no","Yes",289277,1956284,"Yalbac","no",2018-06-01,2018-05-22,2018-06-25,34,"2018-06-01 12.58"
"807D","807D",586,"Gray Fox",1,2018,6,23,12,"","bushnell","Yalbac","no","Yes",289277,1956284,"Yalbac","no",2018-06-23,2018-05-22,2018-06-25,34,"2018-06-23 12.00"
"803D","803D",619,"Gray Fox",1,2018,6,4,8.11,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-06-04,2018-05-22,2018-06-27,36,"2018-06-04 8.11"
"803D","803D",622,"Gray Fox",1,2018,6,4,12.08,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-06-04,2018-05-22,2018-06-27,36,"2018-06-04 12.08"
"803D","803D",730,"Gray Fox",1,2018,6,9,12,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-06-09,2018-05-22,2018-06-27,36,"2018-06-09 12.00"
"803D","803D",733,"Gray Fox",1,2018,6,9,13.14,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-06-09,2018-05-22,2018-06-27,36,"2018-06-09 13.14"
"803D","803D",907,"Gray Fox",1,2018,6,16,10.09,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-06-16,2018-05-22,2018-06-27,36,"2018-06-16 10.09"
"803D","803D",958,"Gray Fox",1,2018,6,20,12.55,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-06-20,2018-05-22,2018-06-27,36,"2018-06-20 12.55"
"803D","803D",991,"Gray Fox",1,2018,6,24,11.31,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-06-24,2018-05-22,2018-06-27,36,"2018-06-24 11.31"
"803D","803D",997,"Gray Fox",1,2018,6,25,13.42,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-06-25,2018-05-22,2018-06-27,36,"2018-06-25 13.42"
"803D","803D",1000,"Gray Fox",1,2018,6,25,23.4,"","bushnell","Yalbac","no","Yes",293723,1956073,"Yalbac","no",2018-06-25,2018-05-22,2018-06-27,36,"2018-06-25 23.40"
"812E","812E",4,"Gray Fox",1,2018,9,10,10.11,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-10,2018-06-27,2018-11-17,140,"2018-09-10 10.11"
"812E","812E",7,"Gray Fox",1,2018,9,11,11.07,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-11,2018-06-27,2018-11-17,140,"2018-09-11 11.07"
"807E","807E",29,"Gray Fox",1,2018,7,1,11.15,"","bushnell","Yalbac","no","Yes",289279,1956285,"Yalbac","no",2018-07-01,2018-06-27,2018-07-01,4,"2018-07-01 11.15"
"807E","807E",37,"Gray Fox",1,2018,7,1,13.18,"","bushnell","Yalbac","no","Yes",289279,1956285,"Yalbac","no",2018-07-01,2018-06-27,2018-07-01,4,"2018-07-01 13.18"
"812E","812E",49,"Gray Fox",1,2018,9,16,11.57,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-16,2018-06-27,2018-11-17,140,"2018-09-16 11.57"
"812E","812E",52,"Gray Fox",1,2018,9,16,12.43,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-16,2018-06-27,2018-11-17,140,"2018-09-16 12.43"
"812E","812E",67,"Gray Fox",1,2018,9,17,18.41,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-17,2018-06-27,2018-11-17,140,"2018-09-17 18.41"
"812E","812E",94,"Gray Fox",1,2018,9,21,10.31,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-21,2018-06-27,2018-11-17,140,"2018-09-21 10.31"
"812E","812E",112,"Gray Fox",1,2018,9,25,9.59,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-25,2018-06-27,2018-11-17,140,"2018-09-25 9.59"
"812E","812E",127,"Gray Fox",1,2018,9,29,11.29,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-09-29,2018-06-27,2018-11-17,140,"2018-09-29 11.29"
"812E","812E",133,"Gray Fox",1,2018,10,4,10.58,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-04,2018-06-27,2018-11-17,140,"2018-10-04 10.58"
"812E","812E",136,"Gray Fox",1,2018,10,5,9.16,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-05,2018-06-27,2018-11-17,140,"2018-10-05 9.16"
"812E","812E",139,"Gray Fox",1,2018,10,5,10.48,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-05,2018-06-27,2018-11-17,140,"2018-10-05 10.48"
"812E","812E",151,"Gray Fox",1,2018,10,8,12.18,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-08,2018-06-27,2018-11-17,140,"2018-10-08 12.18"
"812E","812E",157,"Gray Fox",1,2018,10,8,13.2,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-08,2018-06-27,2018-11-17,140,"2018-10-08 13.20"
"812E","812E",160,"Gray Fox",1,2018,10,8,17.4,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-08,2018-06-27,2018-11-17,140,"2018-10-08 17.40"
"812E","812E",181,"Gray Fox",1,2018,10,11,9.51,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-11,2018-06-27,2018-11-17,140,"2018-10-11 9.51"
"812E","812E",190,"Gray Fox",1,2018,10,12,10.17,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-12,2018-06-27,2018-11-17,140,"2018-10-12 10.17"
"812E","812E",202,"Gray Fox",1,2018,10,13,11.11,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-13,2018-06-27,2018-11-17,140,"2018-10-13 11.11"
"812E","812E",205,"Gray Fox",1,2018,10,13,14.11,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-13,2018-06-27,2018-11-17,140,"2018-10-13 14.11"
"812E","812E",208,"Gray Fox",1,2018,10,13,16.49,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-13,2018-06-27,2018-11-17,140,"2018-10-13 16.49"
"812E","812E",211,"Gray Fox",1,2018,10,15,13.38,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-15,2018-06-27,2018-11-17,140,"2018-10-15 13.38"
"812E","812E",220,"Gray Fox",1,2018,10,16,11.47,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-16,2018-06-27,2018-11-17,140,"2018-10-16 11.47"
"812E","812E",223,"Gray Fox",1,2018,10,16,12.56,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-16,2018-06-27,2018-11-17,140,"2018-10-16 12.56"
"812E","812E",229,"Gray Fox",1,2018,10,19,20.59,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-19,2018-06-27,2018-11-17,140,"2018-10-19 20.59"
"812E","812E",235,"Gray Fox",1,2018,10,21,9.38,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-21,2018-06-27,2018-11-17,140,"2018-10-21 9.38"
"812E","812E",247,"Gray Fox",1,2018,10,22,10.23,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-22,2018-06-27,2018-11-17,140,"2018-10-22 10.23"
"812E","812E",250,"Gray Fox",1,2018,10,22,15.02,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-22,2018-06-27,2018-11-17,140,"2018-10-22 15.02"
"812E","812E",256,"Gray Fox",1,2018,10,24,17.27,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-24,2018-06-27,2018-11-17,140,"2018-10-24 17.27"
"812E","812E",259,"Gray Fox",1,2018,10,24,18.3,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-24,2018-06-27,2018-11-17,140,"2018-10-24 18.30"
"812E","812E",268,"Gray Fox",1,2018,10,28,10.08,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-28,2018-06-27,2018-11-17,140,"2018-10-28 10.08"
"812E","812E",274,"Gray Fox",1,2018,10,28,14.31,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-10-28,2018-06-27,2018-11-17,140,"2018-10-28 14.31"
"812E","812E",298,"Gray Fox",1,2018,11,13,7.43,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-11-13,2018-06-27,2018-11-17,140,"2018-11-13 7.43"
"812E","812E",304,"Gray Fox",1,2018,11,16,11.53,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-11-16,2018-06-27,2018-11-17,140,"2018-11-16 11.53"
"812E","812E",334,"Gray Fox",1,2018,7,22,19,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-07-22,2018-06-27,2018-11-17,140,"2018-07-22 19.00"
"812E","812E",508,"Gray Fox",1,2018,8,2,13.19,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-08-02,2018-06-27,2018-11-17,140,"2018-08-02 13.19"
"812E","812E",580,"Gray Fox",1,2018,8,14,12.31,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-08-14,2018-06-27,2018-11-17,140,"2018-08-14 12.31"
"812E","812E",649,"Gray Fox",1,2018,8,25,21.24,"","bushnell","Laguna Seca","no","Yes",287809,1935980,"Laguna Seca","no",2018-08-25,2018-06-27,2018-11-17,140,"2018-08-25 21.24"
"810F","810F",28,"Gray Fox",1,2018,9,10,18.49,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-10,2018-09-10,2018-11-17,68,"2018-09-10 18.49"
"810F","810F",34,"Gray Fox",1,2018,9,11,4.52,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-11,2018-09-10,2018-11-17,68,"2018-09-11 4.52"
"810F","810F",46,"Gray Fox",1,2018,9,14,4.06,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-14,2018-09-10,2018-11-17,68,"2018-09-14 4.06"
"810F","810F",49,"Gray Fox",1,2018,9,15,9.02,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-15,2018-09-10,2018-11-17,68,"2018-09-15 9.02"
"810F","810F",61,"Gray Fox",1,2018,9,17,4.49,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-17,2018-09-10,2018-11-17,68,"2018-09-17 4.49"
"810F","810F",82,"Gray Fox",1,2018,9,17,18.53,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-17,2018-09-10,2018-11-17,68,"2018-09-17 18.53"
"810F","810F",91,"Gray Fox",1,2018,9,20,9.53,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-20,2018-09-10,2018-11-17,68,"2018-09-20 9.53"
"810F","810F",103,"Gray Fox",1,2018,9,20,11.4,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-20,2018-09-10,2018-11-17,68,"2018-09-20 11.40"
"810F","810F",118,"Gray Fox",1,2018,9,24,10.15,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-24,2018-09-10,2018-11-17,68,"2018-09-24 10.15"
"810F","810F",121,"Gray Fox",1,2018,9,24,20.58,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-24,2018-09-10,2018-11-17,68,"2018-09-24 20.58"
"810F","810F",127,"Gray Fox",1,2018,9,26,18.17,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-09-26,2018-09-10,2018-11-17,68,"2018-09-26 18.17"
"810F","810F",151,"Gray Fox",1,2018,10,2,3.42,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-02,2018-09-10,2018-11-17,68,"2018-10-02 3.42"
"810F","810F",178,"Gray Fox",1,2018,10,5,9.03,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-05,2018-09-10,2018-11-17,68,"2018-10-05 9.03"
"810F","810F",184,"Gray Fox",1,2018,10,7,11.15,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-07,2018-09-10,2018-11-17,68,"2018-10-07 11.15"
"810F","810F",196,"Gray Fox",1,2018,10,9,4.44,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-09,2018-09-10,2018-11-17,68,"2018-10-09 4.44"
"810F","810F",202,"Gray Fox",1,2018,10,9,8.29,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-09,2018-09-10,2018-11-17,68,"2018-10-09 8.29"
"810F","810F",208,"Gray Fox",1,2018,10,11,9.15,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-11,2018-09-10,2018-11-17,68,"2018-10-11 9.15"
"810F","810F",223,"Gray Fox",1,2018,10,13,5.04,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-13,2018-09-10,2018-11-17,68,"2018-10-13 5.04"
"810F","810F",232,"Gray Fox",1,2018,10,14,9.43,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-14,2018-09-10,2018-11-17,68,"2018-10-14 9.43"
"810F","810F",259,"Gray Fox",1,2018,10,19,17.5,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-19,2018-09-10,2018-11-17,68,"2018-10-19 17.50"
"810F","810F",265,"Gray Fox",1,2018,10,20,4.47,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-20,2018-09-10,2018-11-17,68,"2018-10-20 4.47"
"810F","810F",271,"Gray Fox",1,2018,10,21,20.47,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-21,2018-09-10,2018-11-17,68,"2018-10-21 20.47"
"810F","810F",274,"Gray Fox",1,2018,10,22,4.17,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-22,2018-09-10,2018-11-17,68,"2018-10-22 4.17"
"810F","810F",277,"Gray Fox",1,2018,10,23,4.52,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-23,2018-09-10,2018-11-17,68,"2018-10-23 4.52"
"810F","810F",280,"Gray Fox",1,2018,10,24,10.43,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-24,2018-09-10,2018-11-17,68,"2018-10-24 10.43"
"810F","810F",283,"Gray Fox",1,2018,10,25,3.2,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-25,2018-09-10,2018-11-17,68,"2018-10-25 3.20"
"810F","810F",292,"Gray Fox",1,2018,10,31,3.08,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-10-31,2018-09-10,2018-11-17,68,"2018-10-31 3.08"
"810F","810F",307,"Gray Fox",1,2018,11,1,19.25,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-11-01,2018-09-10,2018-11-17,68,"2018-11-01 19.25"
"810F","810F",313,"Gray Fox",1,2018,11,5,4.08,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-11-05,2018-09-10,2018-11-17,68,"2018-11-05 4.08"
"810F","810F",325,"Gray Fox",1,2018,11,8,2.5,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-11-08,2018-09-10,2018-11-17,68,"2018-11-08 2.50"
"810F","810F",334,"Gray Fox",1,2018,11,12,4.32,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-11-12,2018-09-10,2018-11-17,68,"2018-11-12 4.32"
"810F","810F",337,"Gray Fox",1,2018,11,13,14,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-11-13,2018-09-10,2018-11-17,68,"2018-11-13 14.00"
"810F","810F",340,"Gray Fox",1,2018,11,13,14.13,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-11-13,2018-09-10,2018-11-17,68,"2018-11-13 14.13"
"810F","810F",343,"Gray Fox",1,2018,11,14,5.06,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-11-14,2018-09-10,2018-11-17,68,"2018-11-14 5.06"
"810F","810F",346,"Gray Fox",1,2018,11,15,10.51,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-11-15,2018-09-10,2018-11-17,68,"2018-11-15 10.51"
"810F","810F",349,"Gray Fox",1,2018,11,16,22.14,"","bushnell","Laguna Seca","no","Yes",285385,1935920,"Laguna Seca","no",2018-11-16,2018-09-10,2018-11-17,68,"2018-11-16 22.14"
"809F","809F",440,"Gray Fox",1,2018,9,16,5.04,"","bushnell","Laguna Seca","no","Yes",290102,1941262,"Laguna Seca","no",2018-09-16,2018-09-10,2018-10-10,23,"2018-09-16 5.04"
"809F","809F",453,"Gray Fox",1,2018,9,20,12.33,"","bushnell","Laguna Seca","no","Yes",290102,1941262,"Laguna Seca","no",2018-09-20,2018-09-10,2018-10-10,23,"2018-09-20 12.33"
"809F","809F",466,"Gray Fox",1,2018,10,6,10.08,"","bushnell","Laguna Seca","no","Yes",290102,1941262,"Laguna Seca","no",2018-10-06,2018-09-10,2018-10-10,23,"2018-10-06 10.08"
"809F","809F",473,"Gray Fox",1,2018,10,10,3.31,"","bushnell","Laguna Seca","no","Yes",290102,1941262,"Laguna Seca","no",2018-10-10,2018-09-10,2018-10-10,23,"2018-10-10 3.31"
"810G","810G",34,"Gray Fox",1,2018,11,19,10.43,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-11-19,2018-11-17,2018-12-28,34,"2018-11-19 10.43"
"811G","811G",34,"Gray Fox",1,2018,11,22,18.05,"","bushnell","Laguna Seca","no","Yes",287914,1943199,"Laguna Seca","no",2018-11-22,2018-11-17,2018-12-10,23,"2018-11-22 18.05"
"810G","810G",52,"Gray Fox",1,2018,11,20,11.07,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-11-20,2018-11-17,2018-12-28,34,"2018-11-20 11.07"
"810G","810G",55,"Gray Fox",1,2018,11,21,10.42,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-11-21,2018-11-17,2018-12-28,34,"2018-11-21 10.42"
"810G","810G",58,"Gray Fox",1,2018,11,22,18.12,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-11-22,2018-11-17,2018-12-28,34,"2018-11-22 18.12"
"810G","810G",61,"Gray Fox",1,2018,11,23,5.09,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-11-23,2018-11-17,2018-12-28,34,"2018-11-23 5.09"
"810G","810G",64,"Gray Fox",1,2018,11,26,4.42,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-11-26,2018-11-17,2018-12-28,34,"2018-11-26 4.42"
"810G","810G",67,"Gray Fox",1,2018,11,27,3.27,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-11-27,2018-11-17,2018-12-28,34,"2018-11-27 3.27"
"810G","810G",73,"Gray Fox",1,2018,11,28,5.03,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-11-28,2018-11-17,2018-12-28,34,"2018-11-28 5.03"
"810G","810G",82,"Gray Fox",1,2018,11,29,3.37,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-11-29,2018-11-17,2018-12-28,34,"2018-11-29 3.37"
"810G","810G",88,"Gray Fox",1,2018,11,30,4.18,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-11-30,2018-11-17,2018-12-28,34,"2018-11-30 4.18"
"810G","810G",94,"Gray Fox",1,2018,12,2,5.03,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-02,2018-11-17,2018-12-28,34,"2018-12-02 5.03"
"810G","810G",109,"Gray Fox",1,2018,12,3,5.35,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-03,2018-11-17,2018-12-28,34,"2018-12-03 5.35"
"810G","810G",112,"Gray Fox",1,2018,12,3,13.35,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-03,2018-11-17,2018-12-28,34,"2018-12-03 13.35"
"810G","810G",115,"Gray Fox",1,2018,12,3,18.07,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-03,2018-11-17,2018-12-28,34,"2018-12-03 18.07"
"810G","810G",118,"Gray Fox",1,2018,12,4,5.08,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-04,2018-11-17,2018-12-28,34,"2018-12-04 5.08"
"810G","810G",124,"Gray Fox",1,2018,12,4,11.41,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-04,2018-11-17,2018-12-28,34,"2018-12-04 11.41"
"810G","810G",130,"Gray Fox",1,2018,12,5,4.59,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-05,2018-11-17,2018-12-28,34,"2018-12-05 4.59"
"810G","810G",133,"Gray Fox",1,2018,12,6,12.06,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-06,2018-11-17,2018-12-28,34,"2018-12-06 12.06"
"810G","810G",136,"Gray Fox",1,2018,12,7,5.25,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-07,2018-11-17,2018-12-28,34,"2018-12-07 5.25"
"810G","810G",145,"Gray Fox",1,2018,12,9,5.3,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-09,2018-11-17,2018-12-28,34,"2018-12-09 5.30"
"810G","810G",154,"Gray Fox",1,2018,12,9,14.52,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-09,2018-11-17,2018-12-28,34,"2018-12-09 14.52"
"810G","810G",157,"Gray Fox",1,2018,12,10,5.13,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-10,2018-11-17,2018-12-28,34,"2018-12-10 5.13"
"810G","810G",160,"Gray Fox",1,2018,12,11,22.11,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-11,2018-11-17,2018-12-28,34,"2018-12-11 22.11"
"810G","810G",163,"Gray Fox",1,2018,12,11,23.11,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-11,2018-11-17,2018-12-28,34,"2018-12-11 23.11"
"810G","810G",175,"Gray Fox",1,2018,12,15,19.25,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-15,2018-11-17,2018-12-28,34,"2018-12-15 19.25"
"810G","810G",178,"Gray Fox",1,2018,12,17,4.15,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-17,2018-11-17,2018-12-28,34,"2018-12-17 4.15"
"810G","810G",190,"Gray Fox",1,2018,12,20,12.32,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-20,2018-11-17,2018-12-28,34,"2018-12-20 12.32"
"810G","810G",193,"Gray Fox",1,2018,12,21,4.31,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-21,2018-11-17,2018-12-28,34,"2018-12-21 4.31"
"810G","810G",218,"Gray Fox",1,2018,12,22,23.16,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-22,2018-11-17,2018-12-28,34,"2018-12-22 23.16"
"810G","810G",220,"Gray Fox",1,2018,12,23,4.06,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-23,2018-11-17,2018-12-28,34,"2018-12-23 4.06"
"810G","810G",238,"Gray Fox",2,2018,12,25,11.44,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-25,2018-11-17,2018-12-28,34,"2018-12-25 11.44"
"810G","810G",253,"Gray Fox",1,2018,12,26,11.48,"","bushnell","Laguna Seca","no","Yes",285375,1935724,"Laguna Seca","no",2018-12-26,2018-11-17,2018-12-28,34,"2018-12-26 11.48"
"810E","810E",202,"Gray Fox",1,2018,7,20,9.18,"","bushnell","Laguna Seca","no","Yes",285378,1935930,"Laguna Seca","no",2018-07-20,2018-06-27,2018-09-10,75,"2018-07-20 9.18"
"810E","810E",205,"Gray Fox",1,2018,7,21,14.58,"","bushnell","Laguna Seca","no","Yes",285378,1935930,"Laguna Seca","no",2018-07-21,2018-06-27,2018-09-10,75,"2018-07-21 14.58"
"810E","810E",208,"Gray Fox",1,2018,7,22,10.48,"","bushnell","Laguna Seca","no","Yes",285378,1935930,"Laguna Seca","no",2018-07-22,2018-06-27,2018-09-10,75,"2018-07-22 10.48"
"810E","810E",232,"Gray Fox",1,2018,7,25,22.31,"","bushnell","Laguna Seca","no","Yes",285378,1935930,"Laguna Seca","no",2018-07-25,2018-06-27,2018-09-10,75,"2018-07-25 22.31"
"810E","810E",241,"Gray Fox",1,2018,7,27,8.08,"","bushnell","Laguna Seca","no","Yes",285378,1935930,"Laguna Seca","no",2018-07-27,2018-06-27,2018-09-10,75,"2018-07-27 8.08"
