"site","Camera","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","Mammal","Easting.y","Northing.y","Site","Active_Log","obsdate","First_Obs","Last.Record_clean","Days","date_time_obs"
"804A","804A",234,"Agouti",1,2018,1,31,6.33,"","moultrie","Yalbac","no","Yes",288916,1956673,"Yalbac","no",2018-01-31,2018-01-02,2018-02-02,31,"2018-01-31 6.33"
"807A","807A",249,"Agouti",1,2018,2,7,12.26,"","bushnell","Yalbac","no","Yes",292291,1954813,"Yalbac","no",2018-02-07,2018-01-02,2018-03-05,63,"2018-02-07 12.26"
"803A","803A",416,"Agouti",1,2018,1,23,8.29,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-01-23,2018-01-02,2018-03-05,63,"2018-01-23 8.29"
"814A","814A",492,"Agouti",1,2018,2,19,7.47,"","bushnell","Laguna Seca","no","Yes",289441,1941086,"Laguna Seca","no",2018-02-19,2018-01-02,2018-03-05,63,"2018-02-19 7.47"
"803A","803A",584,"Agouti",1,2018,2,4,9.45,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-04,2018-01-02,2018-03-05,63,"2018-02-04 9.45"
"803A","803A",605,"Agouti",1,2018,2,6,8.04,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-06,2018-01-02,2018-03-05,63,"2018-02-06 8.04"
"803A","803A",638,"Agouti",1,2018,2,7,16.34,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-07,2018-01-02,2018-03-05,63,"2018-02-07 16.34"
"803A","803A",671,"Agouti",1,2018,2,9,15.57,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-09,2018-01-02,2018-03-05,63,"2018-02-09 15.57"
"814A","814A",709,"Agouti",2,2018,3,3,8.16,"","bushnell","Laguna Seca","no","Yes",289441,1941086,"Laguna Seca","no",2018-03-03,2018-01-02,2018-03-05,63,"2018-03-03 8.16"
"803A","803A",710,"Agouti",1,2018,2,11,15.18,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-11,2018-01-02,2018-03-05,63,"2018-02-11 15.18"
"803A","803A",737,"Agouti",1,2018,2,16,10.06,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-16,2018-01-02,2018-03-05,63,"2018-02-16 10.06"
"803A","803A",854,"Agouti",1,2018,2,18,18,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-18,2018-01-02,2018-03-05,63,"2018-02-18 18.00"
"803A","803A",869,"Agouti",1,2018,2,21,7.2,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-21,2018-01-02,2018-03-05,63,"2018-02-21 7.20"
"803A","803A",893,"Agouti",1,2018,2,22,15.52,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-22,2018-01-02,2018-03-05,63,"2018-02-22 15.52"
"803A","803A",906,"Agouti",1,2018,2,23,7.19,"","bushnell","Yalbac","no","Yes",289440,1956750,"Yalbac","no",2018-02-23,2018-01-02,2018-03-05,63,"2018-02-23 7.19"
