"","site","picture","Species","Number_recorded","Year","Month","Day","Hour","obsdate","Mammal","Easting","Northing","date_time_obs"
"142","408B",115,"Central American Tapir",1,2014,5,23,8.55,"2014-05-23","Yes",284005,1935106,"2014-05-23 8.55"
"143","405C",22,"Central American Tapir",1,2014,5,30,21.2,"2014-05-30","Yes",283406,1933798,"2014-05-30 21.20"
"144","408C",25,"Central American Tapir",1,2014,5,30,21.43,"2014-05-30","Yes",283344,1933425,"2014-05-30 21.43"
"145","405C",25,"Central American Tapir",1,2014,5,31,3.45,"2014-05-31","Yes",283406,1933798,"2014-05-31 3.45"
"146","408C",64,"Central American Tapir",1,2014,6,2,6.17,"2014-06-02","Yes",283344,1933425,"2014-06-02 6.17"
"147","408C",98,"Central American Tapir",1,2014,6,5,22.43,"2014-06-05","Yes",283344,1933425,"2014-06-05 22.43"
"148","405C",67,"Central American Tapir",1,2014,6,6,19.09,"2014-06-06","Yes",283406,1933798,"2014-06-06 19.09"
"149","408C",117,"Central American Tapir",1,2014,6,6,19.12,"2014-06-06","Yes",283344,1933425,"2014-06-06 19.12"
"150","411C",124,"Central American Tapir",1,2014,6,21,16.06,"2014-06-21","Yes",283393,1933215,"2014-06-21 16.06"
"151","411C",130,"Central American Tapir",1,2014,6,22,0.04,"2014-06-22","Yes",283393,1933215,"2014-06-22 0.04"
"152","411C",153,"Central American Tapir",1,2014,6,24,21.07,"2014-06-24","Yes",283393,1933215,"2014-06-24 21.07"
"153","411C",171,"Central American Tapir",1,2014,6,27,2.5,"2014-06-27","Yes",283393,1933215,"2014-06-27 2.50"
"154","411C",172,"Central American Tapir",1,2014,6,27,2.56,"2014-06-27","Yes",283393,1933215,"2014-06-27 2.56"
"155","410C",232,"Central American Tapir",1,2014,6,28,19.15,"2014-06-28","Yes",286612,1934360,"2014-06-28 19.15"
"156","411C",214,"Central American Tapir",1,2014,7,1,20.31,"2014-07-01","Yes",283393,1933215,"2014-07-01 20.31"
"157","411C",215,"Central American Tapir",1,2014,7,1,21.1,"2014-07-01","Yes",283393,1933215,"2014-07-01 21.10"
"158","411C",216,"Central American Tapir",1,2014,7,1,21.24,"2014-07-01","Yes",283393,1933215,"2014-07-01 21.24"
"159","411C",217,"Central American Tapir",1,2014,7,1,22.39,"2014-07-01","Yes",283393,1933215,"2014-07-01 22.39"
"160","411C",218,"Central American Tapir",1,2014,7,1,23.38,"2014-07-01","Yes",283393,1933215,"2014-07-01 23.38"
"161","411C",222,"Central American Tapir",1,2014,7,3,0.5,"2014-07-03","Yes",283393,1933215,"2014-07-03 0.50"
"162","407C",241,"Central American Tapir",1,2014,7,9,22.26,"2014-07-09","Yes",287745,1932109,"2014-07-09 22.26"
"163","409C",223,"Central American Tapir",1,2014,7,9,22.07,"2014-07-09","Yes",287509,1932206,"2014-07-09 22.07"
"164","408C",394,"Central American Tapir",1,2014,7,10,4.52,"2014-07-10","Yes",283344,1933425,"2014-07-10 4.52"
"165","411C",255,"Central American Tapir",1,2014,7,10,23.54,"2014-07-10","Yes",283393,1933215,"2014-07-10 23.54"
"166","405C",301,"Central American Tapir",1,2014,7,11,12.45,"2014-07-11","Yes",283406,1933798,"2014-07-11 12.45"
"167","405C2",23,"Central American Tapir",1,2014,7,21,1.02,"2014-07-21","Yes",283406,1933798,"2014-07-21 1.02"
"168","406C2",25,"Central American Tapir",2,2014,7,21,0.24,"2014-07-21","Yes",283359,1934195,"2014-07-21 0.24"
"169","408C2",193,"Central American Tapir",1,2014,7,21,0.4,"2014-07-21","Yes",283344,1933425,"2014-07-21 0.40"
"170","408C2",194,"Central American Tapir",1,2014,7,21,1.19,"2014-07-21","Yes",283344,1933425,"2014-07-21 1.19"
"171","413C2",21,"Central American Tapir",1,2014,7,21,19.5,"2014-07-21","Yes",302854,1927594,"2014-07-21 19.50"
"172","406C2",67,"Central American Tapir",1,2014,7,27,0.24,"2014-07-27","Yes",283359,1934195,"2014-07-27 0.24"
"173","413C2",81,"Central American Tapir",1,2014,7,28,19.34,"2014-07-28","Yes",302854,1927594,"2014-07-28 19.34"
"174","406C2",110,"Central American Tapir",1,2014,8,2,21.38,"2014-08-02","Yes",283359,1934195,"2014-08-02 21.38"
"175","406C2",127,"Central American Tapir",1,2014,8,9,3.19,"2014-08-09","Yes",283359,1934195,"2014-08-09 3.19"
"176","408C2",864,"Central American Tapir",1,2014,8,9,4.25,"2014-08-09","Yes",283344,1933425,"2014-08-09 4.25"
"177","410C2",82,"Central American Tapir",1,2014,8,11,12.38,"2014-08-11","Yes",286612,1934360,"2014-08-11 12.38"
"178","410C2",106,"Central American Tapir",1,2014,8,16,20.27,"2014-08-16","Yes",286612,1934360,"2014-08-16 20.27"
"179","405C2",214,"Central American Tapir",1,2014,8,19,20.47,"2014-08-19","Yes",283406,1933798,"2014-08-19 20.47"
"180","406C2",169,"Central American Tapir",1,2014,8,20,22.24,"2014-08-20","Yes",283359,1934195,"2014-08-20 22.24"
"181","413C2",681,"Central American Tapir",1,2014,8,21,19.58,"2014-08-21","Yes",302854,1927594,"2014-08-21 19.58"
"182","405C2",296,"Central American Tapir",1,2014,8,28,2,"2014-08-28","Yes",283406,1933798,"2014-08-28 2.00"
"183","407C2",105,"Central American Tapir",1,2014,8,29,1.21,"2014-08-29","Yes",287745,1932109,"2014-08-29 1.21"
"184","408C2",1139,"Central American Tapir",1,2014,8,30,1.12,"2014-08-30","Yes",283344,1933425,"2014-08-30 1.12"
"185","410C2",160,"Central American Tapir",1,2014,9,15,5.2,"2014-09-15","Yes",286612,1934360,"2014-09-15 5.20"
"186","408C2",1313,"Central American Tapir",1,2014,9,16,19.2,"2014-09-16","Yes",283344,1933425,"2014-09-16 19.20"
"187","410C2",163,"Central American Tapir",1,2014,9,16,12.45,"2014-09-16","Yes",286612,1934360,"2014-09-16 12.45"
"188","410D",4,"Central American Tapir",1,2014,9,22,19.13,"2014-09-22","Yes",291398,1929086,"2014-09-22 19.13"
"189","412D",46,"Central American Tapir",1,2014,9,24,3.24,"2014-09-24","Yes",283343,1933216,"2014-09-24 3.24"
"190","410D",7,"Central American Tapir",1,2014,9,29,1.25,"2014-09-29","Yes",291398,1929086,"2014-09-29 1.25"
"191","413D",133,"Central American Tapir",1,2014,10,5,4.37,"2014-10-05","Yes",302850,1927087,"2014-10-05 4.37"
"192","407D",103,"Central American Tapir",1,2014,10,11,20.45,"2014-10-11","Yes",283444,1934825,"2014-10-11 20.45"
"193","409D",25,"Central American Tapir",1,2014,10,11,9.26,"2014-10-11","Yes",283208,1934953,"2014-10-11 9.26"
"194","412D",1503,"Central American Tapir",1,2014,10,24,22.17,"2014-10-24","Yes",283343,1933216,"2014-10-24 22.17"
"195","403E",4,"Central American Tapir",1,2014,11,8,22.04,"2014-11-08","Yes",287303,1935282,"2014-11-08 22.04"
"196","409E",4,"Central American Tapir",1,2014,11,11,20.35,"2014-11-11","Yes",283847,1934963,"2014-11-11 20.35"
"197","409E",7,"Central American Tapir",1,2014,11,11,20.4,"2014-11-11","Yes",283847,1934963,"2014-11-11 20.40"
"198","403E",19,"Central American Tapir",1,2014,11,12,23.15,"2014-11-12","Yes",287303,1935282,"2014-11-12 23.15"
"199","404E",20,"Central American Tapir",1,2014,11,13,23.11,"2014-11-13","Yes",304653,1927840,"2014-11-13 23.11"
"200","403E",44,"Central American Tapir",1,2014,11,16,23.03,"2014-11-16","Yes",287303,1935282,"2014-11-16 23.03"
"201","405E",6,"Central American Tapir",1,2014,11,17,5.32,"2014-11-17","Yes",283533,1933999,"2014-11-17 5.32"
"202","405E",43,"Central American Tapir",1,2014,11,24,21.14,"2014-11-24","Yes",283533,1933999,"2014-11-24 21.14"
"203","405E",80,"Central American Tapir",1,2014,12,6,1.4,"2014-12-06","Yes",283533,1933999,"2014-12-06 1.40"
"204","405E",184,"Central American Tapir",1,2014,12,13,21.01,"2014-12-13","Yes",283533,1933999,"2014-12-13 21.01"
"205","405E",218,"Central American Tapir",1,2014,12,14,21.35,"2014-12-14","Yes",283533,1933999,"2014-12-14 21.35"
"206","403E",158,"Central American Tapir",1,2014,12,16,22.56,"2014-12-16","Yes",287303,1935282,"2014-12-16 22.56"
"207","405E",232,"Central American Tapir",1,2014,12,18,21.27,"2014-12-18","Yes",283533,1933999,"2014-12-18 21.27"
"208","411F",322,"Central American Tapir",1,2014,12,31,1.55,"2014-12-31","Yes",291694,1928983,"2014-12-31 1.55"
"209","403F",643,"Central American Tapir",1,2015,1,18,4.59,"2015-01-18","Yes",291689,1929549,"2015-01-18 4.59"
"210","411F",845,"Central American Tapir",1,2015,1,18,0.1,"2015-01-18","Yes",291694,1928983,"2015-01-18 0.10"
"211","404F",918,"Central American Tapir",1,2015,1,21,1.3,"2015-01-21","Yes",304653,1927840,"2015-01-21 1.30"
"212","403F",673,"Central American Tapir",1,2015,1,25,5.06,"2015-01-25","Yes",291689,1929549,"2015-01-25 5.06"
"213","402F",106,"Central American Tapir",1,2015,1,26,21.51,"2015-01-26","Yes",303762,1927588,"2015-01-26 21.51"
"214","403F",688,"Central American Tapir",1,2015,1,26,22.43,"2015-01-26","Yes",291689,1929549,"2015-01-26 22.43"
"215","405F",151,"Central American Tapir",1,2015,1,27,12.56,"2015-01-27","Yes",285409,1935699,"2015-01-27 12.56"
"216","403F",889,"Central American Tapir",1,2015,1,31,4.34,"2015-01-31","Yes",291689,1929549,"2015-01-31 4.34"
"217","403F",925,"Central American Tapir",1,2015,2,5,5.48,"2015-02-05","Yes",291689,1929549,"2015-02-05 5.48"
"218","413F",1457,"Central American Tapir",1,2015,2,15,5.54,"2015-02-15","Yes",305716,1928611,"2015-02-15 5.54"
"219","404B",59,"Clay-coloured Thrush",1,2014,5,17,8.41,"2014-05-17","No",305818,1928442,"2014-05-17 8.41"
"220","402F",38,"Clay-coloured Thrush",1,2014,12,29,16.13,"2014-12-29","No",303762,1927588,"2014-12-29 16.13"
"221","412D",1186,"Collared Forest Falcon",1,2014,10,15,8.55,"2014-10-15","No",283343,1933216,"2014-10-15 8.55"
"222","407C2",56,"Collared Peccary",1,2014,8,7,10.29,"2014-08-07","Yes",287745,1932109,"2014-08-07 10.29"
"223","407C2",62,"Collared Peccary",1,2014,8,7,14.5,"2014-08-07","Yes",287745,1932109,"2014-08-07 14.50"
"224","409C2",77,"Collared Peccary",1,2014,8,16,11.53,"2014-08-16","Yes",287509,1932206,"2014-08-16 11.53"
"225","409D",28,"Collared Peccary",4,2014,10,15,15.5,"2014-10-15","Yes",283208,1934953,"2014-10-15 15.50"
"226","409D",40,"Collared Peccary",5,2014,10,21,14.17,"2014-10-21","Yes",283208,1934953,"2014-10-21 14.17"
"227","405A",52,"Collared Peccary",5,2014,3,21,11.09,"2014-03-21","Yes",283423,1932759,"2014-03-21 11.09"
