"site","First_Obs","Days.x","Last.Record_clean","Northing.y","Easting.y","Brand","Date.Placement","Date.Removed","Last.record","Days.y","Easting","Northing","Lat","Long","Notes","Site","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Area"
"802A",2018-01-02,43,2018-02-14,1954863,291990,"Moultrie","2-Jan-18","5-Mar-18","14-Feb-18",43,291990,1954863,17.670961,-88.960981,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"807E",2018-06-27,4,2018-07-01,1956285,289279,"Bushnell","27-Jun-18","10-Sep-18","1-Jul-18",4,289279,1956285,17.683543,-88.98667,NA,"Yalbac","no",NA,NA,NA,NA,NA,NA
"809F",2018-09-10,23,2018-10-10,1941262,290102,"Bushnell","10-Sep-18","17-Nov-18","10-Oct-18",23,290102,1941262,17.547912,-88.977442,NA,"Laguna Seca","no",NA,NA,NA,NA,NA,NA
"801A",2018-01-02,63,2018-03-05,1955722,292707,"Moultrie","2-Jan-18","5-Mar-18","5-Mar-18",63,292707,1955722,17.678783,-88.954315,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"805C",2018-04-20,33,2018-05-22,1956551,293772,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,293772,1956551,17.686371,-88.944355,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"803C",2018-04-20,33,2018-05-22,1956084,293726,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,293726,1956084,17.682152,-88.944742,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"802C",2018-04-20,33,2018-05-22,1957213,288646,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,288646,1957213,17.691871,-88.992728,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"805D",2018-05-22,36,2018-06-27,1955478,286384,"Bushnell","22-May-18","27-Jun-18","27-Jun-18",36,286384,1955478,17.675982,-89.013871,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"804D",2018-05-22,36,2018-06-27,1954720,286002,"Bushnell","22-May-18","27-Jun-18","27-Jun-18",36,286002,1954720,17.669095,-89.017401,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"803E",2018-06-27,65,2018-08-31,1956571,293978,"Bushnell","27-Jun-18","10-Sep-18","31-Aug-18",65,293978,1956571,17.686572,-88.942421,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"805E",2018-06-27,74,2018-09-09,1955474,286387,"Bushnell","27-Jun-18","10-Sep-18","9-Sep-18",74,286387,1955474,17.675948,-89.013843,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"804E",2018-06-27,19,2018-07-16,1954721,286000,"Bushnell","27-Jun-18","10-Sep-18","16-Jul-18",19,286000,1954721,17.669108,-89.01742,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"802E",2018-06-27,33,2018-07-30,1957207,288640,"Bushnell","27-Jun-18","10-Sep-18","30-Jul-18",33,288640,1957207,17.691818,-88.992782,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"804F",2018-09-10,8,2018-09-18,1954723,286001,"Bushnell","10-Sep-18","17-Nov-18","18-Sep-18",8,286001,1954723,17.669123,-89.017409,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"807F",2018-09-10,9,2018-09-29,1957509,288221,"Bushnell","10-Sep-18","17-Nov-18","29-Sep-18",9,288221,1957509,17.694499,-88.996769,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"803F",2018-09-10,68,2018-11-17,1957733,287367,"Bushnell","10-Sep-18","17-Nov-18","17-Nov-18",68,287367,1957733,17.696446,-89.004832,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"801F",2018-09-10,23,2018-10-02,1953552,286030,"Moultrie","10-Sep-18","17-Nov-18","2-Oct-18",23,286030,1953552,17.658549,-89.017011,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"802F",2018-09-10,68,2018-11-17,1957201,288642,"Bushnell","10-Sep-18","17-Nov-18","17-Nov-18",68,288642,1957201,17.691763,-88.992769,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"804G",2018-11-17,34,2018-12-28,1954514,285989,"Bushnell","17-Nov-18","28-Dec-18","28-Dec-18",34,285989,1954514,17.669075,-89.017458,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"805G",2018-11-17,34,2018-12-28,1955277,286387,"Bushnell","17-Nov-18","28-Dec-18","28-Dec-18",34,286387,1955277,17.676004,-89.013783,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"809D",2018-05-22,36,2018-06-27,1941263,290096,"Bushnell","22-May-18","27-Jun-18","27-Jun-18",36,290096,1941263,17.547926,-88.977492,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"811B",2018-03-05,46,2018-04-20,1941778,292249,"Bushnell","5-Mar-18","20-Apr-18","20-Apr-18",46,292249,1941778,17.552778,-88.957274,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"813C",2018-04-20,33,2018-05-22,1941444,293930,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,293930,1941444,17.549915,-88.941407,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"813D",2018-05-22,36,2018-06-27,1941423,290557,"Bushnell","22-May-18","27-Jun-18","27-Jun-18",36,290557,1941423,17.549408,-88.97317,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"813E",2018-06-27,21,2018-07-18,1941411,290559,"Bushnell","27-Jun-18","17-Nov-18","18-Jul-18",21,290559,1941411,17.549306,-88.97315,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"814E",2018-06-27,140,2018-11-17,1941517,291291,"Bushnell","27-Jun-18","17-Nov-18","17-Nov-18",140,291291,1941517,17.550328,-88.966268,NA,"Laguna Seca","yes",1403,NA,NA,NA,NA,NA
"807G",2018-11-17,34,2018-12-28,1957304,288218,"Bushnell","17-Nov-18","28-Dec-18","28-Dec-18",34,288218,1957304,17.694486,-88.996735,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"803G",2018-11-17,34,2018-12-28,1957524,287359,"Bushnell","17-Nov-18","28-Dec-18","28-Dec-18",34,287359,1957524,17.696399,-89.004853,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"811A",2018-01-02,54,2018-02-27,1941778,292245,"Bushnell","2-Jan-18","5-Mar-18","27-Feb-18",54,292245,1941778,17.552777,-88.957309,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"809B",2018-03-05,32,2018-04-04,1941220,290308,"Bushnell","5-Mar-18","20-Apr-18","4-Apr-18",32,290308,1941220,17.547555,-88.975493,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"807C",2018-04-20,33,2018-05-22,1956731,293761,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,293761,1956731,17.688001,-88.944475,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"809C",2018-04-20,33,2018-05-22,1941089,290470,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,290470,1941089,17.546382,-88.973952,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"809E",2018-06-27,16,2018-09-10,1941262,290102,"Bushnell","27-Jun-18","13-Jul-18","10-Sep-18",16,290102,1941262,17.547912,-88.977442,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"809A",2018-01-02,3,2018-01-05,1941208,290302,"Bushnell","2-Jan-18","5-Mar-18","5-Jan-18",3,290302,1941208,17.547441,-88.975552,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"814B",2018-03-05,44,2018-04-18,1941186,289938,"Bushnell","5-Mar-18","20-Apr-18","18-Apr-18",44,289938,1941186,17.547209,-88.978978,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"814C",2018-04-20,33,2018-05-22,1940684,295491,"Bushnell","20-Apr-18","22-May-18","22-May-18",33,295491,1940684,17.543189,-88.92663,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"814D",2018-05-22,36,2018-06-27,1941520,291294,"Bushnell","22-May-18","27-Jun-18","27-Jun-18",36,291294,1941520,17.550358,-88.966236,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
"802G",2018-11-17,34,2018-12-28,1956993,288636,"Bushnell","17-Nov-18","28-Dec-18","28-Dec-18",34,288636,1956993,17.691721,-88.992762,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"801C",2018-03-12,33,2018-05-22,1955731,292710,"Moultrie","20-Apr-18","22-May-18","22-May-18",33,292710,1955731,17.678865,-88.954282,NA,"Yalbac","yes",NA,NA,NA,NA,NA,NA
"811D",2018-05-22,3,2018-05-25,1941357,290809,"Bushnell","22-May-18","27-Jun-18","25-May-18",3,290809,1941357,17.54884,-88.970793,NA,"Laguna Seca","yes",NA,NA,NA,NA,NA,NA
