"","species","mean","sd"
"1","Brown four-eyed opossum",0.053706467977563,0.546066128187343
"2","Common opossum",0.0238344819710249,0.525479989523628
"3","Nine-banded armadillo",0.00746791181340163,0.616236766841962
"4","Russet-naped woodrail",0.0776570012393166,0.545510113282801
"5","Wood thrush",0.0638009036864458,0.538143261375675
"6","Baird's tapir",0.0493966091360408,0.514091821087871
