site,Location,Cam.nr,Series,Easting,Northing,Picture,Species,Nr,Year,Month,Day,Hour,Hour_BERDS,Comment,Camera.Brand,Brand,obsdate,Last_Record_clean,Date.Placement,Date.Removed,Functioning.,visit,Mammal,Days,date_time_obs
403A,Yalbac403A,403,A,291031,1926154,986,Agouti,1,2014,4,17,9.17,9,,Bushnell,Bushnell,4/17/2014,4/23/2014,3/18/2014,4/23/2014,,31,Yes,35,2014-04-17 9.17
410B,Yalbac410B,410,B,282304,1934085,79,Agouti,1,2014,5,12,6.41,6.5,,Moultrie,Moultry,5/12/2014,5/29/2014,4/23/2014,5/28/2014,,20,Yes,35,2014-05-12 6.41
405B,Yalbac405B,405,B,283454,1932033,340,Agouti,1,2014,5,28,5.34,5.5,,Moultrie,Moultry,5/28/2014,5/29/2014,4/23/2014,5/28/2014,,36,Yes,35,2014-05-28 5.34
405C,Yalbac405C,405,C,283406,1933798,13,Agouti,1,2014,5,30,6.48,6.5,,Moultrie,Moultry,5/30/2014,7/16/2014,5/28/2014,7/18/2014,,3,Yes,48,2014-05-30 6.48
409C,Yalbac409C,409,C,287509,1932206,13,Agouti,1,2014,6,6,8.32,8.5,,Moultrie,Moultry,6/6/2014,7/17/2014,5/28/2014,7/18/2014,,10,Yes,48,2014-06-06 8.32
404C,Yalbac404C,404,C,304607,1927908,51,Agouti,1,2014,6,7,7.54,7.5,,HCO ScoutGuard,Scoutguard,6/7/2014,7/17/2014,5/28/2014,7/18/2014,,11,Yes,47,2014-06-07 7.54
405C,Yalbac405C,405,C,283406,1933798,72,Agouti,1,2014,6,7,5.42,5.5,,Moultrie,Moultry,6/7/2014,7/16/2014,5/28/2014,7/18/2014,,11,Yes,48,2014-06-07 5.42
406C,Yalbac406C,406,C,283359,1934195,73,Agouti,1,2014,6,11,14.12,14,,Bushnell,Bushnell,6/11/2014,7/14/2014,5/28/2014,7/18/2014,,15,Yes,45,2014-06-11 14.12
405C,Yalbac405C,405,C,283406,1933798,112,Agouti,1,2014,6,12,8.21,8,,Moultrie,Moultry,6/12/2014,7/16/2014,5/28/2014,7/18/2014,,16,Yes,48,2014-06-12 8.21
403C,Yalbac403C,403,C,290976,1926510,143,Agouti,1,2014,6,15,5.51,5.5,,Bushnell,Bushnell,6/15/2014,7/28/2014,5/28/2014,7/18/2014,,19,Yes,60,2014-06-15 5.51
409C,Yalbac409C,409,C,287509,1932206,100,Agouti,1,2014,6,16,12.05,12,,Moultrie,Moultry,6/16/2014,7/17/2014,5/28/2014,7/18/2014,,20,Yes,48,2014-06-16 12.05
409C,Yalbac409C,409,C,287509,1932206,115,Agouti,1,2014,6,17,6.26,6,,Moultrie,Moultry,6/17/2014,7/17/2014,5/28/2014,7/18/2014,,21,Yes,48,2014-06-17 6.26
405C,Yalbac405C,405,C,283406,1933798,280,Agouti,1,2014,7,6,10.03,10,,Moultrie,Moultry,7/6/2014,7/16/2014,5/28/2014,7/18/2014,,40,Yes,48,2014-07-06 10.03
409C,Yalbac409C,409,C,287509,1932206,217,Agouti,2,2014,7,8,6.4,6.5,,Moultrie,Moultry,7/8/2014,7/17/2014,5/28/2014,7/18/2014,,42,Yes,48,2014-07-08 6.40
406C,Yalbac406C,406,C,283359,1934195,184,Agouti,1,2014,7,9,6.26,6,,Bushnell,Bushnell,7/9/2014,7/14/2014,5/28/2014,7/18/2014,,43,Yes,45,2014-07-09 6.26
406C,Yalbac406C,406,C,283359,1934195,187,Agouti,1,2014,7,13,17.37,17.5,,Bushnell,Bushnell,7/13/2014,7/14/2014,5/28/2014,7/18/2014,,47,Yes,45,2014-07-13 17.37
412C,Yalbac412C,412,C,282701,1934210,173,Agouti,2,2014,7,15,10.43,10.5,,HCO ScoutGuard,Scoutguard,7/15/2014,7/17/2014,5/28/2014,7/18/2014,,49,Yes,48,2014-07-15 10.43
412C,Yalbac412C,412,C,282701,1934210,176,Agouti,1,2014,7,15,11.02,11,,HCO ScoutGuard,Scoutguard,7/15/2014,7/17/2014,5/28/2014,7/18/2014,,49,Yes,48,2014-07-15 11.02
412C,Yalbac412C,412,C,282701,1934210,205,Agouti,1,2014,7,17,10.07,10,,HCO ScoutGuard,Scoutguard,7/17/2014,7/17/2014,5/28/2014,7/18/2014,,51,Yes,48,2014-07-17 10.07
413C2,Yalbac413C,413,C2,302854,1927594,70,Agouti,1,2014,7,26,17.22,17,,Bushnell,Bushnell,7/26/2014,9/17/2014,7/18/2014,9/18/2014,,9,Yes,50,2014-07-26 17.22
413C2,Yalbac413C,413,C2,302854,1927594,95,Agouti,1,2014,8,1,13.45,13.5,,Bushnell,Bushnell,8/1/2014,9/17/2014,7/18/2014,9/18/2014,,15,Yes,50,2014-08-01 13.45
401C2,Yalbac401,401,C2,306148,1928079,75,Agouti,1,2014,8,6,11.39,11.5,,Moultricam,Moultry,8/6/2014,9/17/2014,7/18/2014,9/18/2014,,20,Yes,60,2014-08-06 11.39
407C2,Yalbac407,407,C2,287745,1932109,65,Agouti,1,2014,8,9,8.56,8.5,,Bushnell,Bushnell,8/9/2014,9/14/2014,7/18/2014,9/18/2014,,23,Yes,50,2014-08-09 8.56
402C2,Yalbac402,402,C2,303764,1927657,47,Agouti,1,2014,8,11,8.35,8.5,,Bushnell,Bushnell,8/11/2014,9/17/2014,7/18/2014,9/18/2014,,25,Yes,60,2014-08-11 8.35
413C2,Yalbac413C,413,C2,302854,1927594,188,Agouti,1,2014,8,12,6.55,6.5,,Bushnell,Bushnell,8/12/2014,9/17/2014,7/18/2014,9/18/2014,,26,Yes,50,2014-08-12 6.55
402C2,Yalbac402,402,C2,303764,1927657,56,Agouti,1,2014,8,13,5.49,5.5,,Bushnell,Bushnell,8/13/2014,9/17/2014,7/18/2014,9/18/2014,,27,Yes,60,2014-08-13 5.49
413C2,Yalbac413C,413,C2,302854,1927594,454,Agouti,1,2014,8,17,11.08,11,,Bushnell,Bushnell,8/17/2014,9/17/2014,7/18/2014,9/18/2014,,31,Yes,50,2014-08-17 11.08
407C2,Yalbac407,407,C2,287745,1932109,73,Agouti,1,2014,8,19,8.54,8.5,,Bushnell,Bushnell,8/19/2014,9/14/2014,7/18/2014,9/18/2014,,33,Yes,50,2014-08-19 8.54
408C2,Yalbac408,408,C2,283344,1933425,1147,Agouti,1,2014,9,1,5.52,5.5,,HCO ScoutGuard,Scoutguard,9/1/2014,9/18/2014,7/18/2014,9/18/2014,,46,Yes,50,2014-09-01 5.52
402C2,Yalbac402,402,C2,303764,1927657,191,Agouti,1,2014,9,5,6.25,6,,Bushnell,Bushnell,9/5/2014,9/17/2014,7/18/2014,9/18/2014,,50,Yes,60,2014-09-05 6.25
401C2,Yalbac401,401,C2,306148,1928079,164,Agouti,1,2014,9,6,14.4,14.5,,Moultricam,Moultry,9/6/2014,9/17/2014,7/18/2014,9/18/2014,,51,Yes,60,2014-09-06 14.40
402C2,Yalbac402,402,C2,303764,1927657,206,Agouti,1,2014,9,9,9.57,9.5,,Bushnell,Bushnell,9/9/2014,9/17/2014,7/18/2014,9/18/2014,,54,Yes,60,2014-09-09 9.57
402C2,Yalbac402,402,C2,303764,1927657,210,Agouti,1,2014,9,9,10.26,10,,Bushnell,Bushnell,9/9/2014,9/17/2014,7/18/2014,9/18/2014,,54,Yes,60,2014-09-09 10.26
402C2,Yalbac402,402,C2,303764,1927657,220,Agouti,1,2014,9,10,15.14,15,,Bushnell,Bushnell,9/10/2014,9/17/2014,7/18/2014,9/18/2014,,55,Yes,60,2014-09-10 15.14
402C2,Yalbac402,402,C2,303764,1927657,244,Agouti,1,2014,9,17,6.51,6.5,,Bushnell,Bushnell,9/17/2014,9/17/2014,7/18/2014,9/18/2014,,62,Yes,60,2014-09-17 6.51
404D,Yalbac404D,404,D,304744,1927456,68,Agouti,1,2014,9,20,7.25,NA,,ScoutGuard,Scoutguard,9/20/2014,10/31/2014,9/18/2014,11/3/2014,,3,Yes,40,2014-09-20 7.25
402D,Yalbac402D,402,D,303878,1927199,31,Agouti,1,2014,9,22,14.34,NA,,Bushnell,Bushnell,9/22/2014,11/2/2014,9/18/2014,11/3/2014,,5,Yes,40,2014-09-22 14.34
402D,Yalbac402D,402,D,303878,1927199,34,Agouti,1,2014,9,23,6.47,NA,,Bushnell,Bushnell,9/23/2014,11/2/2014,9/18/2014,11/3/2014,,6,Yes,40,2014-09-23 6.47
402D,Yalbac402D,402,D,303878,1927199,37,Agouti,1,2014,9,23,7.42,NA,,Bushnell,Bushnell,9/23/2014,11/2/2014,9/18/2014,11/3/2014,,6,Yes,40,2014-09-23 7.42
413D,Yalbac413D,413,D,302850,1927087,31,Agouti,1,2014,9,24,18.11,NA,,Bushnell,Bushnell,9/24/2014,11/2/2014,9/18/2014,11/3/2014,,7,Yes,44,2014-09-24 18.11
402D,Yalbac402D,402,D,303878,1927199,43,Agouti,1,2014,9,25,10.29,NA,,Bushnell,Bushnell,9/25/2014,11/2/2014,9/18/2014,11/3/2014,,8,Yes,40,2014-09-25 10.29
404D,Yalbac404D,404,D,304744,1927456,71,Agouti,1,2014,9,25,8.21,NA,,ScoutGuard,Scoutguard,9/25/2014,10/31/2014,9/18/2014,11/3/2014,,8,Yes,40,2014-09-25 8.21
413D,Yalbac413D,413,D,302850,1927087,70,Agouti,1,2014,9,29,8.4,NA,,Bushnell,Bushnell,9/29/2014,11/2/2014,9/18/2014,11/3/2014,,12,Yes,44,2014-09-29 8.40
402D,Yalbac402D,402,D,303878,1927199,58,Agouti,1,2014,10,4,5.57,NA,,Bushnell,Bushnell,10/4/2014,11/2/2014,9/18/2014,11/3/2014,,17,Yes,40,2014-10-04 5.57
402D,Yalbac402D,402,D,303878,1927199,61,Agouti,1,2014,10,4,6.57,NA,,Bushnell,Bushnell,10/4/2014,11/2/2014,9/18/2014,11/3/2014,,17,Yes,40,2014-10-04 6.57
404D,Yalbac404D,404,D,304744,1927456,78,Agouti,1,2014,10,6,6.03,NA,,ScoutGuard,Scoutguard,10/6/2014,10/31/2014,9/18/2014,11/3/2014,,19,Yes,40,2014-10-06 6.03
402D,Yalbac402D,402,D,303878,1927199,67,Agouti,1,2014,10,8,8.37,NA,,Bushnell,Bushnell,10/8/2014,11/2/2014,9/18/2014,11/3/2014,,21,Yes,40,2014-10-08 8.37
405D,Yalbac405D,405,D,283565,1934622,121,Agouti,1,2014,10,8,10.3,NA,,Moultrie,Moultry,10/8/2014,11/3/2014,9/18/2014,11/3/2014,,21,Yes,44,2014-10-08 10.30
402D,Yalbac402D,402,D,303878,1927199,70,Agouti,1,2014,10,9,7.55,NA,,Bushnell,Bushnell,10/9/2014,11/2/2014,9/18/2014,11/3/2014,,22,Yes,40,2014-10-09 7.55
405D,Yalbac405D,405,D,283565,1934622,130,Agouti,1,2014,10,9,11.13,NA,,Moultrie,Moultry,10/9/2014,11/3/2014,9/18/2014,11/3/2014,,22,Yes,44,2014-10-09 11.13
402D,Yalbac402D,402,D,303878,1927199,73,Agouti,1,2014,10,10,13.51,NA,,Bushnell,Bushnell,10/10/2014,11/2/2014,9/18/2014,11/3/2014,,23,Yes,40,2014-10-10 13.51
402D,Yalbac402D,402,D,303878,1927199,76,Agouti,1,2014,10,11,11.47,NA,,Bushnell,Bushnell,10/11/2014,11/2/2014,9/18/2014,11/3/2014,,24,Yes,40,2014-10-11 11.47
402D,Yalbac402D,402,D,303878,1927199,85,Agouti,1,2014,10,13,6.01,NA,,Bushnell,Bushnell,10/13/2014,11/2/2014,9/18/2014,11/3/2014,,26,Yes,40,2014-10-13 6.01
401D,Yalbac401D,401,D,305786,1928483,61,Agouti,1,2014,10,16,14.5,NA,,Moultricam,Moultry,10/16/2014,11/3/2014,9/18/2014,11/3/2014,,29,Yes,40,2014-10-16 14.50
405D,Yalbac405D,405,D,283565,1934622,148,Agouti,1,2014,10,16,10.42,NA,,Moultrie,Moultry,10/16/2014,11/3/2014,9/18/2014,11/3/2014,,29,Yes,44,2014-10-16 10.42
407D,Yalbac407D,407,D,283444,1934825,106,Agouti,1,2014,10,16,10.53,NA,,Bushnell,Bushnell,10/16/2014,11/2/2014,9/18/2014,11/3/2014,,29,Yes,44,2014-10-16 10.53
407D,Yalbac407D,407,D,283444,1934825,109,Agouti,1,2014,10,16,11.28,NA,,Bushnell,Bushnell,10/16/2014,11/2/2014,9/18/2014,11/3/2014,,29,Yes,44,2014-10-16 11.28
407D,Yalbac407D,407,D,283444,1934825,112,Agouti,1,2014,10,17,11.03,NA,,Bushnell,Bushnell,10/17/2014,11/2/2014,9/18/2014,11/3/2014,,30,Yes,44,2014-10-17 11.03
402D,Yalbac402D,402,D,303878,1927199,94,Agouti,1,2014,10,22,6.57,NA,,Bushnell,Bushnell,10/22/2014,11/2/2014,9/18/2014,11/3/2014,,35,Yes,40,2014-10-22 6.57
402D,Yalbac402D,402,D,303878,1927199,97,Agouti,1,2014,10,22,7.42,NA,,Bushnell,Bushnell,10/22/2014,11/2/2014,9/18/2014,11/3/2014,,35,Yes,40,2014-10-22 7.42
402D,Yalbac402D,402,D,303878,1927199,100,Agouti,1,2014,10,22,8.49,NA,,Bushnell,Bushnell,10/22/2014,11/2/2014,9/18/2014,11/3/2014,,35,Yes,40,2014-10-22 8.49
404D,Yalbac404D,404,D,304744,1927456,222,Agouti,1,2014,10,22,8.33,NA,,ScoutGuard,Scoutguard,10/22/2014,10/31/2014,9/18/2014,11/3/2014,,35,Yes,40,2014-10-22 8.33
402D,Yalbac402D,402,D,303878,1927199,103,Agouti,1,2014,10,23,6.56,NA,,Bushnell,Bushnell,10/23/2014,11/2/2014,9/18/2014,11/3/2014,,36,Yes,40,2014-10-23 6.56
413D,Yalbac413D,413,D,302850,1927087,175,Agouti,1,2014,10,24,7.35,NA,,Bushnell,Bushnell,10/24/2014,11/2/2014,9/18/2014,11/3/2014,,37,Yes,44,2014-10-24 7.35
404D,Yalbac404D,404,D,304744,1927456,231,Agouti,1,2014,10,25,11.14,NA,,ScoutGuard,Scoutguard,10/25/2014,10/31/2014,9/18/2014,11/3/2014,,38,Yes,40,2014-10-25 11.14
402D,Yalbac402D,402,D,303878,1927199,112,Agouti,1,2014,10,26,6.2,NA,,Bushnell,Bushnell,10/26/2014,11/2/2014,9/18/2014,11/3/2014,,39,Yes,40,2014-10-26 6.20
403D,Yalbac403D,403,D,290967,1926303,176,Agouti,1,2014,10,26,8.41,NA,,Bushnell,Bushnell,10/26/2014,11/3/2014,9/18/2014,11/3/2014,,39,Yes,44,2014-10-26 8.41
402D,Yalbac402D,402,D,303878,1927199,133,Agouti,1,2014,10,31,8.08,NA,,Bushnell,Bushnell,10/31/2014,11/2/2014,9/18/2014,11/3/2014,,44,Yes,40,2014-10-31 8.08
407E,Yalbac407E,407,E,284554,1935262,52,Agouti,1,2014,11,7,8.19,NA,,Bushnell,Bushnell,11/7/2014,12/22/2014,11/3/2014,12/22/2014,,5,Yes,45,2014-11-07 8.19
407E,Yalbac407E,407,E,284554,1935262,60,Agouti,1,2014,11,7,9.35,NA,,Bushnell,Bushnell,11/7/2014,12/22/2014,11/3/2014,12/22/2014,,5,Yes,45,2014-11-07 9.35
407E,Yalbac407E,407,E,284554,1935262,88,Agouti,1,2014,11,8,6.19,NA,,Bushnell,Bushnell,11/8/2014,12/22/2014,11/3/2014,12/22/2014,,6,Yes,45,2014-11-08 6.19
407E,Yalbac407E,407,E,284554,1935262,109,Agouti,1,2014,11,10,10.12,NA,,Bushnell,Bushnell,11/10/2014,12/22/2014,11/3/2014,12/22/2014,,8,Yes,45,2014-11-10 10.12
407E,Yalbac407E,407,E,284554,1935262,112,Agouti,1,2014,11,11,8.41,NA,,Bushnell,Bushnell,11/11/2014,12/22/2014,11/3/2014,12/22/2014,,9,Yes,45,2014-11-11 8.41
407E,Yalbac407E,407,E,284554,1935262,118,Agouti,2,2014,11,11,11.23,NA,,Bushnell,Bushnell,11/11/2014,12/22/2014,11/3/2014,12/22/2014,,9,Yes,45,2014-11-11 11.23
407E,Yalbac407E,407,E,284554,1935262,139,Agouti,1,2014,11,13,6.3,NA,,Bushnell,Bushnell,11/13/2014,12/22/2014,11/3/2014,12/22/2014,,11,Yes,45,2014-11-13 6.30
402E,Yalbac402E,402,E,303760,1927582,58,Agouti,1,2014,11,19,7.29,NA,,Bushnell,Bushnell,11/19/2014,12/18/2014,11/3/2014,12/22/2014,,17,Yes,44,2014-11-19 7.29
407E,Yalbac407E,407,E,284554,1935262,190,Agouti,1,2014,11,20,8.08,NA,,Bushnell,Bushnell,11/20/2014,12/22/2014,11/3/2014,12/22/2014,,18,Yes,45,2014-11-20 8.08
407E,Yalbac407E,407,E,284554,1935262,196,Agouti,1,2014,11,21,10.19,NA,,Bushnell,Bushnell,11/21/2014,12/22/2014,11/3/2014,12/22/2014,,19,Yes,45,2014-11-21 10.19
407E,Yalbac407E,407,E,284554,1935262,256,Agouti,1,2014,11,26,8.25,NA,,Bushnell,Bushnell,11/26/2014,12/22/2014,11/3/2014,12/22/2014,,24,Yes,45,2014-11-26 8.25
407E,Yalbac407E,407,E,284554,1935262,268,Agouti,1,2014,11,28,8.56,NA,,Bushnell,Bushnell,11/28/2014,12/22/2014,11/3/2014,12/22/2014,,26,Yes,45,2014-11-28 8.56
407E,Yalbac407E,407,E,284554,1935262,274,Agouti,1,2014,11,29,7.01,NA,,Bushnell,Bushnell,11/29/2014,12/22/2014,11/3/2014,12/22/2014,,27,Yes,45,2014-11-29 7.01
407E,Yalbac407E,407,E,284554,1935262,286,Agouti,1,2014,11,30,15.35,NA,,Bushnell,Bushnell,11/30/2014,12/22/2014,11/3/2014,12/22/2014,,28,Yes,45,2014-11-30 15.35
407E,Yalbac407E,407,E,284554,1935262,289,Agouti,1,2014,11,30,17.05,NA,,Bushnell,Bushnell,11/30/2014,12/22/2014,11/3/2014,12/22/2014,,28,Yes,45,2014-11-30 17.05
407E,Yalbac407E,407,E,284554,1935262,301,Agouti,1,2014,12,2,9.08,NA,,Bushnell,Bushnell,12/2/2014,12/22/2014,11/3/2014,12/22/2014,,30,Yes,45,2014-12-02 9.08
407E,Yalbac407E,407,E,284554,1935262,325,Agouti,1,2014,12,3,7.01,NA,,Bushnell,Bushnell,12/3/2014,12/22/2014,11/3/2014,12/22/2014,,31,Yes,45,2014-12-03 7.01
402E,Yalbac402E,402,E,303760,1927582,103,Agouti,1,2014,12,4,8.27,NA,,Bushnell,Bushnell,12/4/2014,12/18/2014,11/3/2014,12/22/2014,,32,Yes,44,2014-12-04 8.27
407E,Yalbac407E,407,E,284554,1935262,331,Agouti,1,2014,12,4,10.34,NA,,Bushnell,Bushnell,12/4/2014,12/22/2014,11/3/2014,12/22/2014,,32,Yes,45,2014-12-04 10.34
402E,Yalbac402E,402,E,303760,1927582,109,Agouti,1,2014,12,5,8.52,NA,,Bushnell,Bushnell,12/5/2014,12/18/2014,11/3/2014,12/22/2014,,33,Yes,44,2014-12-05 8.52
407E,Yalbac407E,407,E,284554,1935262,334,Agouti,1,2014,12,6,8.32,NA,,Bushnell,Bushnell,12/6/2014,12/22/2014,11/3/2014,12/22/2014,,34,Yes,45,2014-12-06 8.32
407E,Yalbac407E,407,E,284554,1935262,346,Agouti,1,2014,12,7,6.43,NA,,Bushnell,Bushnell,12/7/2014,12/22/2014,11/3/2014,12/22/2014,,35,Yes,45,2014-12-07 6.43
407E,Yalbac407E,407,E,284554,1935262,362,Agouti,1,2014,12,8,10.45,NA,,Bushnell,Bushnell,12/8/2014,12/22/2014,11/3/2014,12/22/2014,,36,Yes,45,2014-12-08 10.45
407E,Yalbac407E,407,E,284554,1935262,373,Agouti,1,2014,12,8,14.51,NA,,Bushnell,Bushnell,12/8/2014,12/22/2014,11/3/2014,12/22/2014,,36,Yes,45,2014-12-08 14.51
407E,Yalbac407E,407,E,284554,1935262,376,Agouti,1,2014,12,9,8.03,NA,,Bushnell,Bushnell,12/9/2014,12/22/2014,11/3/2014,12/22/2014,,37,Yes,45,2014-12-09 8.03
407E,Yalbac407E,407,E,284554,1935262,379,Agouti,1,2014,12,9,16.46,NA,,Bushnell,Bushnell,12/9/2014,12/22/2014,11/3/2014,12/22/2014,,37,Yes,45,2014-12-09 16.46
407E,Yalbac407E,407,E,284554,1935262,409,Agouti,1,2014,12,11,12.09,NA,,Bushnell,Bushnell,12/11/2014,12/22/2014,11/3/2014,12/22/2014,,39,Yes,45,2014-12-11 12.09
407E,Yalbac407E,407,E,284554,1935262,415,Agouti,1,2014,12,12,13.03,NA,,Bushnell,Bushnell,12/12/2014,12/22/2014,11/3/2014,12/22/2014,,40,Yes,45,2014-12-12 13.03
404E,Yalbac404E,404,E,304653,1927840,439,Agouti,2,2014,12,13,6.15,NA,Mother with juv,ScoutGuard,Scoutguard,12/13/2014,12/15/2014,11/3/2014,12/22/2014,,41,Yes,37,2014-12-13 6.15
407E,Yalbac407E,407,E,284554,1935262,430,Agouti,1,2014,12,15,9.14,NA,,Bushnell,Bushnell,12/15/2014,12/22/2014,11/3/2014,12/22/2014,,43,Yes,45,2014-12-15 9.14
407E,Yalbac407E,407,E,284554,1935262,433,Agouti,1,2014,12,15,16.16,NA,,Bushnell,Bushnell,12/15/2014,12/22/2014,11/3/2014,12/22/2014,,43,Yes,45,2014-12-15 16.16
407E,Yalbac407E,407,E,284554,1935262,442,Agouti,1,2014,12,16,14.34,NA,,Bushnell,Bushnell,12/16/2014,12/22/2014,11/3/2014,12/22/2014,,44,Yes,45,2014-12-16 14.34
407E,Yalbac407E,407,E,284554,1935262,451,Agouti,1,2014,12,18,7.01,NA,,Bushnell,Bushnell,12/18/2014,12/22/2014,11/3/2014,12/22/2014,,46,Yes,45,2014-12-18 7.01
407E,Yalbac407E,407,E,284554,1935262,454,Agouti,1,2014,12,18,9.37,NA,,Bushnell,Bushnell,12/18/2014,12/22/2014,11/3/2014,12/22/2014,,46,Yes,45,2014-12-18 9.37
407F,Yalbac407F,407,F,288175,1935951,22,Agouti,1,2014,12,26,10.45,NA,,Bushnell,Bushnell,12/26/2014,2/8/2015,12/22/2014,2/18/2015,,5,Yes,47,2014-12-26 10.45
411F,Yalbac411F,411,F,291694,1928983,319,Agouti,1,2014,12,30,9.31,NA,,ScoutGuard,Scoutguard,12/30/2014,2/8/2015,12/22/2014,2/18/2015,,9,Yes,47,2014-12-30 9.31
404F,Yalbac404F,404,F,304653,1927840,850,Agouti,1,2015,1,1,8.5,NA,,ScoutGuard,Scoutguard,1/1/2015,2/17/2015,12/22/2014,2/18/2015,,11,Yes,47,2015-01-01 8.50
407F,Yalbac407F,407,F,288175,1935951,25,Agouti,1,2015,1,5,12.13,NA,,Bushnell,Bushnell,1/5/2015,2/8/2015,12/22/2014,2/18/2015,,15,Yes,47,2015-01-05 12.13
407F,Yalbac407F,407,F,288175,1935951,73,Agouti,1,2015,1,8,12.38,NA,,Bushnell,Bushnell,1/8/2015,2/8/2015,12/22/2014,2/18/2015,,18,Yes,47,2015-01-08 12.38
402F,Yalbac402F,402,F,303762,1927588,67,Agouti,1,2015,1,13,7.14,NA,,Bushnell,Bushnell,1/13/2015,2/17/2015,12/22/2014,2/18/2015,,23,Yes,47,2015-01-13 7.14
407F,Yalbac407F,407,F,288175,1935951,112,Agouti,1,2015,1,13,15.58,NA,,Bushnell,Bushnell,1/13/2015,2/8/2015,12/22/2014,2/18/2015,,23,Yes,47,2015-01-13 15.58
404F,Yalbac404F,404,F,304653,1927840,868,Agouti,1,2015,1,14,6.54,NA,,ScoutGuard,Scoutguard,1/14/2015,2/17/2015,12/22/2014,2/18/2015,,24,Yes,47,2015-01-14 6.54
403F,Yalbac403F,403,F,291689,1929549,634,Agouti,1,2015,1,16,16.35,NA,,Bushnell,Bushnell,1/16/2015,2/17/2015,12/22/2014,2/18/2015,,26,Yes,47,2015-01-16 16.35
407F,Yalbac407F,407,F,288175,1935951,130,Agouti,1,2015,1,17,6.43,NA,,Bushnell,Bushnell,1/17/2015,2/8/2015,12/22/2014,2/18/2015,,27,Yes,47,2015-01-17 6.43
403F,Yalbac403F,403,F,291689,1929549,664,Agouti,1,2015,1,20,16.27,NA,,Bushnell,Bushnell,1/20/2015,2/17/2015,12/22/2014,2/18/2015,,30,Yes,47,2015-01-20 16.27
403F,Yalbac403F,403,F,291689,1929549,796,Agouti,1,2015,1,28,9.01,NA,,Bushnell,Bushnell,1/28/2015,2/17/2015,12/22/2014,2/18/2015,,38,Yes,47,2015-01-28 9.01
402F,Yalbac402F,402,F,303762,1927588,118,Agouti,1,2015,2,1,11.17,NA,,Bushnell,Bushnell,2/1/2015,2/17/2015,12/22/2014,2/18/2015,,42,Yes,47,2015-02-01 11.17
412D,Yalbac412D,412,D,283343,1933216,84,Ameiva undata,1,2014,9,28,11.29,NA,,ScoutGuard,Scoutguard,9/28/2014,11/2/2014,9/18/2014,11/3/2014,,11,No,44,2014-09-28 11.29
408C2,Yalbac408,408,C2,283344,1933425,649,Bare-throated Tiger Heron,1,2014,7,26,14.46,14.5,,HCO ScoutGuard,Scoutguard,7/26/2014,9/18/2014,7/18/2014,9/18/2014,,9,No,50,2014-07-26 14.46
401C2,Yalbac401,401,C2,306148,1928079,152,Black-faced Antthrush,3,2014,8,27,11.52,11.5,,Moultricam,Moultry,8/27/2014,9/17/2014,7/18/2014,9/18/2014,,41,No,60,2014-08-27 11.52
406A,Yalbac406A,406,A,283348,1933228,243,Blue-crowned Mot-mot,1,2014,4,11,5.5,5.5,,Bushnell,Bushnell,4/11/2014,4/23/2014,3/18/2014,4/23/2014,,25,No,35,2014-04-11 5.50
409A,Yalbac409A,409,A,283362,1934000,20,Central American Tapir,1,2014,3,20,7.29,7,male,Moultriecam,Moultry,3/20/2014,4/16/2014,3/18/2014,4/23/2014,,3,Yes,28,2014-03-20 7.29
401A,Yalbac401a,401,A,299505,1927437,17,Central American Tapir,1,2014,3,22,9.08,9,,Moultrie,Moultry,3/22/2014,4/23/2014,3/18/2014,4/23/2014,,5,Yes,27,2014-03-22 9.08
401A,Yalbac401a,401,A,299505,1927437,40,Central American Tapir,1,2014,3,27,15.33,15.5,,Moultrie,Moultry,3/27/2014,4/23/2014,3/18/2014,4/23/2014,,10,Yes,27,2014-03-27 15.33
409A,Yalbac409A,409,A,283362,1934000,96,Central American Tapir,1,2014,3,27,5.13,5,,Moultriecam,Moultry,3/27/2014,4/16/2014,3/18/2014,4/23/2014,,10,Yes,28,2014-03-27 5.13
405A,Yalbac405A,405,A,283423,1932759,85,Central American Tapir,1,2014,3,28,6.08,6,,Moultrie,Moultry,3/28/2014,4/23/2014,3/18/2014,4/23/2014,,11,Yes,35,2014-03-28 6.08
406A,Yalbac406A,406,A,283348,1933228,126,Central American Tapir,1,2014,3,29,22.28,22,male,Bushnell,Bushnell,3/29/2014,4/23/2014,3/18/2014,4/23/2014,,12,Yes,35,2014-03-29 22.28
409A,Yalbac409A,409,A,283362,1934000,101,Central American Tapir,1,2014,3,29,5.25,5,male,Moultriecam,Moultry,3/29/2014,4/16/2014,3/18/2014,4/23/2014,,12,Yes,28,2014-03-29 5.25
405A,Yalbac405A,405,A,283423,1932759,109,Central American Tapir,1,2014,3,30,6.35,6.5,,Moultrie,Moultry,3/30/2014,4/23/2014,3/18/2014,4/23/2014,,13,Yes,35,2014-03-30 6.35
401A,Yalbac401a,401,A,299505,1927437,79,Central American Tapir,1,2014,4,7,4.13,4,,Moultrie,Moultry,4/7/2014,4/23/2014,3/18/2014,4/23/2014,,21,Yes,27,2014-04-07 4.13
401A,Yalbac401a,401,A,299505,1927437,91,Central American Tapir,1,2014,4,13,2.06,2,,Moultrie,Moultry,4/13/2014,4/23/2014,3/18/2014,4/23/2014,,27,Yes,27,2014-04-13 2.06
