site,Date_Place,Days,Last_Record_clean,Northing,Easting
813A,2018-01-02,63,2018-03-05,1943221,287746
803A,2018-01-02,63,2018-03-05,1956750,289440
804A,2018-01-02,31,2018-02-02,1956673,288916
814A,2018-01-02,63,2018-03-05,1941086,289441
807A,2018-01-02,63,2018-03-05,1954813,292291
807B,2018-03-05,46,2018-04-20,1956145,291485
803B,2018-03-05,46,2018-04-20,1956746,289436
810B,2018-03-05,46,2018-04-20,1935996,286075
805B,2018-03-05,46,2018-04-20,1956668,290411
812B,2018-03-05,46,2018-04-20,1935398,286540
804C,2018-04-20,33,2018-05-22,1956756,288918
810C,2018-04-20,33,2018-05-22,1935990,286074
803D,2018-05-22,36,2018-06-27,1956073,293723
810D,2018-05-22,36,2018-06-27,1935931,285371
807D,2018-05-22,34,2018-06-25,1956284,289277
812E,2018-06-27,140,2018-11-17,1935980,287809
801E,2018-06-27,4,2018-09-10,1955722,292709
810F,2018-09-10,68,2018-11-17,1935920,285385
809G,2018-11-17,34,2018-12-28,1941916,286007
814G,2018-11-17,34,2018-12-28,1943100,287795
812A,2018-01-02,63,2018-03-05,1935392,286543
812C,2018-04-20,10,2018-04-30,1935396,286537
810G,2018-11-17,34,2018-12-28,1935724,285375
812D,2018-05-22,36,2018-06-27,1935581,286087
813B,2018-03-05,46,2018-04-20,1943570,288932
811G,2018-11-17,23,2018-12-10,1943199,287914
810E,2018-06-27,75,2018-09-10,1935930,285378
813G,2018-11-17,34,2018-12-28,1942515,287451
802A,2018-01-02,43,2018-02-14,1954863,291990
807E,2018-06-27,4,2018-07-01,1956285,289279
809F,2018-09-10,23,2018-10-10,1941262,290102
801A,2018-01-02,63,2018-03-05,1955722,292707
805C,2018-04-20,33,2018-05-22,1956551,293772
803C,2018-04-20,33,2018-05-22,1956084,293726
802C,2018-04-20,33,2018-05-22,1957213,288646
805D,2018-05-22,36,2018-06-27,1955478,286384
804D,2018-05-22,36,2018-06-27,1954720,286002
803E,2018-06-27,65,2018-08-31,1956571,293978
805E,2018-06-27,74,2018-09-09,1955474,286387
804E,2018-06-27,19,2018-07-16,1954721,286000
802E,2018-06-27,33,2018-07-30,1957207,288640
804F,2018-09-10,8,2018-09-18,1954723,286001
807F,2018-09-10,9,2018-09-29,1957509,288221
803F,2018-09-10,68,2018-11-17,1957733,287367
801F,2018-09-10,23,2018-10-02,1953552,286030
802F,2018-09-10,68,2018-11-17,1957201,288642
804G,2018-11-17,34,2018-12-28,1954514,285989
805G,2018-11-17,34,2018-12-28,1955277,286387
809D,2018-05-22,36,2018-06-27,1941263,290096
811B,2018-03-05,46,2018-04-20,1941778,292249
813C,2018-04-20,33,2018-05-22,1941444,293930
813D,2018-05-22,36,2018-06-27,1941423,290557
813E,2018-06-27,21,2018-07-18,1941411,290559
814E,2018-06-27,140,2018-11-17,1941517,291291
807G,2018-11-17,34,2018-12-28,1957304,288218
803G,2018-11-17,34,2018-12-28,1957524,287359
811A,2018-01-02,54,2018-02-27,1941778,292245
809B,2018-03-05,32,2018-04-04,1941220,290308
807C,2018-04-20,33,2018-05-22,1956731,293761
809C,2018-04-20,33,2018-05-22,1941089,290470
809E,2018-06-27,16,2018-09-10,1941262,290102
809A,2018-01-02,3,2018-01-05,1941208,290302
814B,2018-03-05,44,2018-04-18,1941186,289938
814C,2018-04-20,33,2018-05-22,1940684,295491
814D,2018-05-22,36,2018-06-27,1941520,291294
802G,2018-11-17,34,2018-12-28,1956993,288636
801C,2018-03-12,33,2018-05-22,1955731,292710
811D,2018-05-22,3,2018-05-25,1941357,290809
