"site","Location","Cam.nr","Series","Picture","Species","Nr","Year","Month","Day","Hour_exact","Hour_BERDS","Comment","Camera.Brand","Easting.1","Northing.1","Mammal","Brand","Date_Place","Date_Remov","obsdate","Last.Record","Days","visit","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","date_time_obs","First_Obs"
"501E","Yalbac501e",501,"E",49,"Gray Fox",1,2015,8,8,16.42,15.5,"","Bushnell",291363,1956977,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-08,2015-09-16,78,41," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-08 16.42",2015-06-29
"509E","Yalbac509E",509,"E",70,"Gray Fox",1,2015,8,8,7.4,7.5,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-08,2015-09-16,78,41," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-08 7.40",2015-06-29
"509E","Yalbac509E",509,"E",70,"Gray Fox",1,2015,8,8,7.4,7.5,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-08,2015-09-16,78,41," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-08 7.40",2015-06-29
"507E","Yalbac507E",507,"E",172,"Gray Fox",1,2015,8,10,23.39,0,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-10,2015-09-16,78,43," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-10 23.39",2015-06-29
"509E","Yalbac509E",509,"E",76,"Gray Fox",1,2015,8,10,7.17,7.5,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-10,2015-09-16,78,43," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-10 7.17",2015-06-29
"509E","Yalbac509E",509,"E",77,"Gray Fox",1,2015,8,10,7.17,7,"","Bushnell",281203,1934430,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-10,2015-09-16,78,43," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-10 7.17",2015-06-29
"501E","Yalbac501e",501,"E",52,"Gray Fox",1,2015,8,11,3.23,3.5,"","Bushnell",291363,1956977,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-11,2015-09-16,78,44," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-11 3.23",2015-06-29
"510E","Yalbac510E",510,"E",56,"Gray Fox",1,2015,8,11,20.13,20,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-08-11,2015-09-16,78,44," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-11 20.13",2015-06-29
"510E","Yalbac510E",510,"E",82,"Gray Fox",1,2015,8,14,23.47,23.5,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-08-14,2015-09-16,78,47," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-14 23.47",2015-06-29
"507E","Yalbac507E",507,"E",212,"Gray Fox",1,2015,8,16,5.04,5,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-16,2015-09-16,78,49," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-16 5.04",2015-06-29
"507E","Yalbac507E",507,"E",216,"Gray Fox",1,2015,8,17,16.34,16.5,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-17,2015-09-16,78,50," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-17 16.34",2015-06-29
"510E","Yalbac510E",510,"E",92,"Gray Fox",1,2015,8,17,20.38,20.5,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-08-17,2015-09-16,78,50," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-17 20.38",2015-06-29
"504E","Yalbac504E",504,"E",385,"Gray Fox",1,2015,8,20,11.44,11.5,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-08-20,2015-09-16,78,53," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-20 11.44",2015-06-29
"507E","Yalbac507E",507,"E",251,"Gray Fox",1,2015,8,20,15.11,15,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-20,2015-09-16,78,53," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-20 15.11",2015-06-29
"501E","Yalbac501e",501,"E",85,"Gray Fox",1,2015,8,21,3.25,3.5,"","Bushnell",291363,1956977,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-21,2015-09-16,78,54," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-21 3.25",2015-06-29
"507E","Yalbac507E",507,"E",328,"Gray Fox",1,2015,8,22,20.26,20.5,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-22,2015-09-16,78,55," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-22 20.26",2015-06-29
"501E","Yalbac501e",501,"E",100,"Gray Fox",1,2015,8,23,19.2,19.5,"","Bushnell",291363,1956977,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-23,2015-09-16,78,56," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-23 19.20",2015-06-29
"502E","Yalbac502E",502,"E",3485,"Gray Fox",1,2015,8,24,4.59,5,"","Moultrie",290847,1955799,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-08-24,2015-09-16,78,57," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-24 4.59",2015-06-29
"504E","Yalbac504E",504,"E",482,"Gray Fox",1,2015,8,24,23.19,23.5,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-08-24,2015-09-16,78,57," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-24 23.19",2015-06-29
"506E","Yalbac506E",506,"E",188,"Gray Fox",1,2015,8,25,9.28,9.5,"","Bushnell",292491,1955895,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-25,2015-09-16,78,58," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-25 9.28",2015-06-29
"501E","Yalbac501e",501,"E",109,"Gray Fox",1,2015,8,26,12.57,13,"","Bushnell",291363,1956977,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-26,2015-09-16,78,59," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-26 12.57",2015-06-29
"504E","Yalbac504E",504,"E",524,"Gray Fox",1,2015,8,26,21.35,21.5,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-08-26,2015-09-16,78,59," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-26 21.35",2015-06-29
"507E","Yalbac507E",507,"E",368,"Gray Fox",1,2015,8,26,10.3,10.5,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-26,2015-09-16,78,59," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-08-26 10.30",2015-06-29
"501E","Yalbac501e",501,"E",112,"Gray Fox",1,2015,8,27,19.21,19.2,"","Bushnell",291363,1956977,"Yes","Bushnell",2015-06-29,2015-09-15,2015-08-27,2015-09-16,78,60," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-08-27 19.21",2015-06-29
"510E","Yalbac510E",510,"E",151,"Gray Fox",1,2015,9,1,20.58,21,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-09-01,2015-09-16,78,65," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-01 20.58",2015-06-29
"502E","Yalbac502E",502,"E",3529,"Gray Fox",1,2015,9,3,11.06,11,"","Moultrie",290847,1955799,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-09-03,2015-09-16,78,67," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-03 11.06",2015-06-29
"502E","Yalbac502E",502,"E",3539,"Gray Fox",1,2015,9,6,10.16,10,"","Moultrie",290847,1955799,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-09-06,2015-09-16,78,70," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-06 10.16",2015-06-29
"504E","Yalbac504E",504,"E",661,"Gray Fox",1,2015,9,6,11.45,12,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-09-06,2015-09-16,78,70," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-06 11.45",2015-06-29
"510E","Yalbac510E",510,"E",201,"Gray Fox",1,2015,9,6,15.2,15.5,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-09-06,2015-09-16,78,70," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-06 15.20",2015-06-29
"507E","Yalbac507E",507,"E",463,"Gray Fox",1,2015,9,7,14.04,14,"","Bushnell",283482,1934992,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-07,2015-09-16,78,71," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-07 14.04",2015-06-29
"501E","Yalbac501e",501,"E",178,"Gray Fox",1,2015,9,8,3.54,4,"","Bushnell",291363,1956977,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-08,2015-09-16,78,72," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-08 3.54",2015-06-29
"501E","Yalbac501e",501,"E",181,"Gray Fox",1,2015,9,8,11.12,11,"","Bushnell",291363,1956977,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-08,2015-09-16,78,72," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-08 11.12",2015-06-29
"504E","Yalbac504E",504,"E",739,"Gray Fox",1,2015,9,9,14.27,14.5,"","Scoutguard",290567,1955971,"Yes","Scoutguard",2015-06-29,2015-09-15,2015-09-09,2015-09-16,78,73," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-09 14.27",2015-06-29
"503E","Yalbac503E",503,"E",731,"Gray Fox",1,2015,9,11,13.43,13.5,"","Bushnell",291322,1957347,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-11,2015-09-16,78,75," ","No","Yes",NA,"No","No","At Pond","Mature forest","2015-09-11 13.43",2015-06-29
"503E","Yalbac503E",503,"E",734,"Gray Fox",1,2015,9,11,13.43,13.5,"","Bushnell",291322,1957347,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-11,2015-09-16,78,75," ","No","Yes",NA,"No","No","At Pond","Mature forest","2015-09-11 13.43",2015-06-29
"510E","Yalbac510E",510,"E",226,"Gray Fox",1,2015,9,11,8.53,9,"","Moultrie",281670,1934730,"Yes","Moultrycam",2015-06-29,2015-09-15,2015-09-11,2015-09-16,78,75," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-11 8.53",2015-06-29
"503E","Yalbac503E",503,"E",787,"Gray Fox",1,2015,9,12,12.59,13,"","Bushnell",291322,1957347,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-12,2015-09-16,78,76," ","No","Yes",NA,"No","No","At Pond","Mature forest","2015-09-12 12.59",2015-06-29
"503E","Yalbac503E",503,"E",788,"Gray Fox",1,2015,9,12,12.59,13,"","Bushnell",291322,1957347,"Yes","Bushnell",2015-06-29,2015-09-15,2015-09-12,2015-09-16,78,76," ","No","Yes",NA,"No","No","At Pond","Mature forest","2015-09-12 12.59",2015-06-29
"510FG","Yalbac510FG",510,"FG",27,"Gray Fox",1,2015,9,15,19.31,19.5,"","Moultrie",281361,1934328,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-09-15,2015-12-02,77,1," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-09-15 19.31",2015-09-15
"503F","Yalbac503F",503,"F",56,"Gray Fox",1,2015,9,17,14.37,14.5,"","Bushnell",291313,1957359,"Yes","Bushnell",2015-09-15,2015-11-09,2015-09-17,2015-10-31,45,3," ","No","Yes",NA,"No","No","At Pond","Mature forest","2015-09-17 14.37",2015-09-15
"501F","Yalbac501f",501,"F",13,"Gray Fox",1,2015,9,18,10.5,11,"","",292314,1958107,"Yes","Bushnell",2015-09-15,2015-11-09,2015-09-18,2015-11-10,55,4," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-18 10.50",2015-09-15
"507F","Yalbac507F",507,"F",13,"Gray Fox",1,2015,9,18,22.18,22,"","Bushnell",283119,1935211,"Yes","Bushnell",2015-09-15,2015-11-09,2015-09-18,2015-11-10,55,4," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-18 22.18",2015-09-15
"507F","Yalbac507F",507,"F",18,"Gray Fox",1,2015,9,19,21.55,22,"","Bushnell",283119,1935211,"Yes","Bushnell",2015-09-15,2015-11-09,2015-09-19,2015-11-10,55,5," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-09-19 21.55",2015-09-15
"501F","Yalbac501f",501,"F",34,"Gray Fox",1,2015,9,24,11.42,11.5,"","",292314,1958107,"Yes","Bushnell",2015-09-15,2015-11-09,2015-09-24,2015-11-10,55,10," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-09-24 11.42",2015-09-15
"510FG","Yalbac510FG",510,"FG",43,"Gray Fox",1,2015,9,26,18.5,19,"","Moultrie",281361,1934328,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-09-26,2015-12-02,77,12," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-09-26 18.50",2015-09-15
"501F","Yalbac501f",501,"F",55,"Gray Fox",1,2015,10,1,23.12,23,"","",292314,1958107,"Yes","Bushnell",2015-09-15,2015-11-09,2015-10-01,2015-11-10,55,17," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-10-01 23.12",2015-09-15
"512F","Yalbac512F",512,"F",106,"Gray Fox",1,2015,10,6,2.36,2.5,"","ScoutGuard",281718,1935445,"Yes","Scoutguard",2015-09-15,2015-11-09,2015-10-06,2015-11-10,55,22," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-10-06 2.36",2015-09-15
"510FG","Yalbac510FG",510,"FG",76,"Gray Fox",1,2015,10,12,14.11,14,"","Moultrie",281361,1934328,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-10-12,2015-12-02,77,28," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-10-12 14.11",2015-09-15
"501F","Yalbac501f",501,"F",97,"Gray Fox",1,2015,10,13,10.5,11,"","",292314,1958107,"Yes","Bushnell",2015-09-15,2015-11-09,2015-10-13,2015-11-10,55,29," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-10-13 10.50",2015-09-15
"501F","Yalbac501f",501,"F",103,"Gray Fox",1,2015,10,14,4.25,4.5,"","",292314,1958107,"Yes","Bushnell",2015-09-15,2015-11-09,2015-10-14,2015-11-10,55,30," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-10-14 4.25",2015-09-15
"510FG","Yalbac510FG",510,"FG",50,"Gray Fox",1,2015,10,15,11.37,11.5,"","Moultrie",281361,1934328,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-10-15,2015-12-02,77,31," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-10-15 11.37",2015-09-15
"510FG","Yalbac510FG",510,"FG",82,"Gray Fox",1,2015,10,18,12.57,13,"","Moultrie",281361,1934328,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-10-18,2015-12-02,77,34," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-10-18 12.57",2015-09-15
"501F","Yalbac501f",501,"F",142,"Gray Fox",1,2015,10,19,7.46,8,"","",292314,1958107,"Yes","Bushnell",2015-09-15,2015-11-09,2015-10-19,2015-11-10,55,35," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-10-19 7.46",2015-09-15
"511FG","Yalbac511G",511,"G",82,"Gray Fox",1,2015,10,21,18.28,18.5,"","Moultrie",282114,1934484,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-10-21,2015-12-02,77,37," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-10-21 18.28",2015-09-15
"511FG","Yalbac511G",511,"G",94,"Gray Fox",1,2015,10,28,18.3,18.5,"","Moultrie",282114,1934484,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-10-28,2015-12-02,77,44," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-10-28 18.30",2015-09-15
"505F","Yalbac505F",505,"F",106,"Gray Fox",1,2015,10,31,1.34,1.5,"","Moultrie",290310,1956304,"Yes","Moultrycam",2015-09-15,2015-11-09,2015-10-31,2015-11-10,55,47," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-10-31 1.34",2015-09-15
"501F","Yalbac501f",501,"F",184,"Gray Fox",1,2015,11,1,9.24,9.5,"","",292314,1958107,"Yes","Bushnell",2015-09-15,2015-11-09,2015-11-01,2015-11-10,55,48," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-01 9.24",2015-09-15
"505F","Yalbac505F",505,"F",109,"Gray Fox",1,2015,11,1,5.28,5.5,"","Moultrie",290310,1956304,"Yes","Moultrycam",2015-09-15,2015-11-09,2015-11-01,2015-11-10,55,48," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-01 5.28",2015-09-15
"505F","Yalbac505F",505,"F",136,"Gray Fox",1,2015,11,2,12.55,13,"","Moultrie",290310,1956304,"Yes","Moultrycam",2015-09-15,2015-11-09,2015-11-02,2015-11-10,55,49," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-02 12.55",2015-09-15
"502F","Yalbac502F",502,"F",3654,"Gray Fox",1,2015,11,6,18.14,18,"","Moultrie",289306,1957023,"Yes","Moultrycam",2015-09-15,2015-11-09,2015-11-06,2015-11-10,55,53," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-06 18.14",2015-09-15
"511FG","Yalbac511G",511,"G",125,"Gray Fox",1,2015,11,8,16.33,16.5,"","Moultrie",282114,1934484,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-11-08,2015-12-02,77,55," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-11-08 16.33",2015-09-15
"507G","Yalbac507G",507,"G",23,"Gray Fox",1,2015,11,10,13.5,14,"","Bushnell",282985,1935446,"Yes","Bushnell",2015-11-09,2015-12-01,2015-11-10,2015-12-02,22,2," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-11-10 13.50",2015-11-09
"510FG","Yalbac510FG",510,"FG",151,"Gray Fox",1,2015,11,18,10.24,10,"","Moultrie",281361,1934328,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-11-18,2015-12-02,77,65," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-11-18 10.24",2015-09-15
"511FG","Yalbac511G",511,"G",139,"Gray Fox",1,2015,11,20,13.22,13.5,"","Moultrie",282114,1934484,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-11-20,2015-12-02,77,67," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-11-20 13.22",2015-09-15
"506G","Yalbac506G",506,"G",220,"Gray Fox",1,2015,11,23,12.23,12.5,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-11-23,2016-01-10,61,15," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-23 12.23",2015-11-09
"509G","Yalbac509G",509,"G",31,"Gray Fox",1,2015,11,23,12.34,12.5,"","Bushnell",283441,1934595.208,"Yes","Bushnell",2015-11-09,2015-12-01,2015-11-23,2016-01-02,53,15," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-11-23 12.34",2015-11-09
"506G","Yalbac506G",506,"G",223,"Gray Fox",1,2015,11,24,11.12,11,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-11-24,2016-01-10,61,16," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-24 11.12",2015-11-09
"505G","Yalbac505G",505,"G",52,"Gray Fox",1,2015,11,27,5.4,5.5,"","Moultrie",291021,1956145,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-27,2016-01-10,61,19," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-27 5.40",2015-11-09
"512G","Yalbac512G",512,"G",62,"Gray Fox",1,2015,11,27,12.56,13,"","ScoutGuard",282179,1935657,"Yes","Scoutguard",2015-11-09,2015-12-01,2015-11-27,2015-12-02,22,19,"Took only 10 useful pictures","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-11-27 12.56",2015-11-09
"506G","Yalbac506G",506,"G",265,"Gray Fox",1,2015,11,29,0.17,0,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-11-29,2016-01-10,61,21," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-29 0.17",2015-11-09
"506G","Yalbac506G",506,"G",268,"Gray Fox",1,2015,11,29,12.26,12.5,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-11-29,2016-01-10,61,21," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-11-29 12.26",2015-11-09
"510FG","Yalbac510FG",510,"FG",175,"Gray Fox",1,2015,11,29,1.52,2,"","Moultrie",281361,1934328,"Yes","Moultrycam",2015-09-15,2015-12-01,2015-11-29,2015-12-02,77,76," ","No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest","2015-11-29 1.52",2015-09-15
"505G","Yalbac505G",505,"G",67,"Gray Fox",1,2015,11,30,10.19,10.5,"","Moultrie",291021,1956145,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-30,2016-01-10,61,22," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-30 10.19",2015-11-09
"505G","Yalbac505G",505,"G",70,"Gray Fox",1,2015,11,30,11.15,11.5,"","Moultrie",291021,1956145,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-30,2016-01-10,61,22," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-30 11.15",2015-11-09
"505G","Yalbac505G",505,"G",73,"Gray Fox",1,2015,11,30,19.07,19,"","Moultrie",291021,1956145,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-11-30,2016-01-10,61,22," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-11-30 19.07",2015-11-09
"507H","Yalbac507H",507,"H",22,"Gray Fox",1,2015,12,1,10.38,10.5,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2015-12-01,2016-03-01,90,1,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-12-01 10.38",2015-12-01
"507H","Yalbac507H",507,"H",25,"Gray Fox",1,2015,12,1,12.35,12.5,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2015-12-01,2016-03-01,90,1,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-12-01 12.35",2015-12-01
"507H","Yalbac507H",507,"H",139,"Gray Fox",1,2016,12,1,19.44,19.5,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2015-12-01,2016-03-01,90,1,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-12-01 19.44",2015-12-01
"512H","Yalbac512H",512,"H",13,"Gray Fox",1,2015,12,2,12.4,12.5,"","ScoutGuard",283335,1934690.881,"Yes","Moultrycam",2015-12-01,2016-02-29,2015-12-02,2015-12-06,4,2," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-12-02 12.40",2015-12-01
"505G","Yalbac505G",505,"G",82,"Gray Fox",1,2015,12,3,5.05,5,"","Moultrie",291021,1956145,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-12-03,2016-01-10,61,25," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-12-03 5.05",2015-11-09
"512H","Yalbac512H",512,"H",22,"Gray Fox",1,2015,12,3,5.36,5.5,"","ScoutGuard",283335,1934690.881,"Yes","Moultrycam",2015-12-01,2016-02-29,2015-12-03,2015-12-06,4,3," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-12-03 5.36",2015-12-01
"506G","Yalbac506G",506,"G",289,"Gray Fox",1,2015,12,4,11.31,11.5,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-12-04,2016-01-10,61,26," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-12-04 11.31",2015-11-09
"506G","Yalbac506G",506,"G",292,"Gray Fox",1,2015,12,4,13.48,14,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-12-04,2016-01-10,61,26," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-12-04 13.48",2015-11-09
"505G","Yalbac505G",505,"G",88,"Gray Fox",1,2015,12,5,10.26,10.5,"","Moultrie",291021,1956145,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-12-05,2016-01-10,61,27," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-12-05 10.26",2015-11-09
"506G","Yalbac506G",506,"G",301,"Gray Fox",1,2015,12,5,7.34,7.5,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-12-05,2016-01-10,61,27," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-12-05 7.34",2015-11-09
"507H","Yalbac507H",507,"H",58,"Gray Fox",1,2015,12,6,4.07,4,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2015-12-06,2016-03-01,90,6,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-12-06 4.07",2015-12-01
"505G","Yalbac505G",505,"G",94,"Gray Fox",1,2015,12,7,2.2,2.5,"","Moultrie",291021,1956145,"Yes","Moultrycam",2015-11-09,2015-01-09,2015-12-07,2016-01-10,61,29," ","No","Yes",NA,"No","No","Along narrow logging trail","Mature forest","2015-12-07 2.20",2015-11-09
"509H","Yalbac509H",509,"H",112,"Gray Fox",1,2015,12,7,10.57,11,"","Bushnell",283730,1935382.07,"Yes","Bushnell",2015-12-01,2016-02-29,2015-12-07,2016-03-01,90,7," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-12-07 10.57",2015-12-01
"506G","Yalbac506G",506,"G",334,"Gray Fox",1,2015,12,8,12.04,12,"","Bushnell",292534,1956194,"Yes","Bushnell",2015-11-09,2015-01-09,2015-12-08,2016-01-10,61,30," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-12-08 12.04",2015-11-09
"507H","Yalbac507H",507,"H",85,"Gray Fox",1,2015,12,8,3.38,3.5,"Time off","Bushnell",283483,1934993.94,"Yes","Bushnell",2015-12-01,2016-02-29,2015-12-08,2016-03-01,90,8,"Changed date","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-12-08 3.38",2015-12-01
