"site","Location","Cam.nr","Series","Picture","Species","Nr","Year","Month","Day","Hour_exact","Hour_BERDS","Comment","Camera.Brand","Easting.1","Northing.1","Mammal","Brand","Date_Place","Date_Remov","obsdate","Last.Record","Days","visit","Notes","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","date_time_obs","First_Obs"
"507C","Yalbac507c",507,"C",346,"Agouti",1,2015,5,22,8.22,8.5,"","Bushnell",283656,1935412,"Yes","Bushnell",2015-04-10,2015-05-30,2015-05-22,2015-05-30,49,43," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-05-22 8.22",2015-04-10
"504C","Yalbac504c",504,"C",949,"Agouti",1,2015,5,23,15.34,15.5,"","Scoutguard",292789,1954318,"Yes","Scoutguard",2015-04-10,2015-05-30,2015-05-23,2015-05-30,49,44," ","No","Yes",NA,"No","No","Along narrow seismic line","Mature forest","2015-05-23 15.34",2015-04-10
"504C","Yalbac504c",504,"C",952,"Agouti",1,2015,5,23,15.59,16,"","Scoutguard",292789,1954318,"Yes","Scoutguard",2015-04-10,2015-05-30,2015-05-23,2015-05-30,49,44," ","No","Yes",NA,"No","No","Along narrow seismic line","Mature forest","2015-05-23 15.59",2015-04-10
"507C","Yalbac507c",507,"C",361,"Agouti",2,2015,5,29,7.13,7,"","Bushnell",283656,1935412,"Yes","Bushnell",2015-04-10,2015-05-30,2015-05-29,2015-05-30,49,50," ","No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest","2015-05-29 7.13",2015-04-10
"504D","Yalbac504D",504,"D",7,"Agouti",1,2015,6,1,9.04,9,"","Scoutguard",291590,1956114,"Yes","Scoutguard",2015-05-30,2015-06-29,2015-06-01,2015-08-06,67,3," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-01 9.04",2015-05-30
"503D","Yalbac503D",503,"D",145,"Agouti",1,2015,6,8,5.21,5.5,"","Bushnell",292559,1958254,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-08,2015-08-06,67,10," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-08 5.21",2015-05-30
"501D","Yalbac501D",501,"D",52,"Agouti",2,2015,6,9,6.44,6.5,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-09,2015-08-06,67,11," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-09 6.44",2015-05-30
"501D","Yalbac501D",501,"D",73,"Agouti",2,2015,6,10,6.58,7,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-10,2015-08-06,67,12," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-10 6.58",2015-05-30
"501D","Yalbac501D",501,"D",79,"Agouti",1,2015,6,11,8.14,8,"","Bushnell",292588,1957992,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-11,2015-08-06,67,13," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-11 8.14",2015-05-30
"503D","Yalbac503D",503,"D",259,"Agouti",1,2015,6,12,9.31,9.5,"","Bushnell",292559,1958254,"Yes","Bushnell",2015-05-30,2015-06-29,2015-06-12,2015-08-06,67,14," ","No","Yes",NA,"No","No","Along wide logging road","Mature forest","2015-06-12 9.31",2015-05-30
