"site","Date_Place.x","Days.x","Last.Record","Northing.1","Easting.1","Brand","Date_Place.y","Time","Date_Remov","Days.y","Easting","Northing","Lat","Lat.1","Notes","Compartmen","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape"
"510D",2015-05-30,67,2015-08-06,1935595,282702,"Moultrycam","May 30, 2015",NA,"June 29, 2015",67,282702,1935595,17.4978542538,-89.0465070923," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"507G",2015-11-09,22,2015-12-02,1935446,282985,"Bushnell","November 9, 2015",NA,"December 1, 2015",22,282985,1935446,17.4965382525,-89.0438350594," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"502G",2015-11-09,52,2016-01-01,1956735,289511,"Moultrycam","November 9, 2015",NA,"January 9, 2015",52,289511,1956735,17.6894696251,-88.9844944273," ",NA,"No","Yes",NA,"No","No","Along narrow logging trail","Mature forest"
"507F",2015-09-15,55,2015-11-10,1935211,283119,"Bushnell","September 15, 2015",NA,"November 9, 2015",55,283119,1935211,17.4944252492,-89.0425460429," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"511H",2015-12-01,90,2016-03-01,1935456.716,282087,"Moultrycam","December 1, 2015",NA,"February 29, 2016",90,282087,1935457,17.496544249,-89.0522831613," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"512C",2015-04-10,8,2015-04-19,1935290,281740,"Scoutguard","April 10, 2015",NA,"May 30, 2015",8,281740,1935290,17.4950030016,-89.055536,"Tons of pictures, too hot?",NA,"No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest"
"508C",2015-04-10,8,2015-04-19,1934433,280364,"Scoutguard","April 10, 2015",NA,"May 30, 2015",8,280364,1934433,17.4871310016,-89.0684,"Took mostly movies!",NA,"No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest"
"506D",2015-05-30,67,2015-08-06,1956956,291532,"Bushnell","May 30, 2015",NA,"June 29, 2015",67,291532,1956956,17.6916646365,-88.9654651973," ",NA,"No","Yes",NA,"No","No","Along narrow logging trail","Mature forest"
"508D",2015-05-30,6,2015-06-06,1935038,280218,"Scoutguard","May 30, 2015",NA,"June 29, 2015",6,280218,1935038,17.4925802343,-89.0698403712,"Took movies",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"509D",2015-05-30,67,2015-08-06,1934457,280713,"Bushnell","May 30, 2015",NA,"June 29, 2015",67,280713,1934457,17.4873772268,-89.0651143118," ",NA,"No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest"
"507D",2015-05-30,67,2015-08-06,1935164,283856,"Bushnell","May 30, 2015",NA,"June 29, 2015",67,283856,1935164,17.4940692515,-89.035597959," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"509E",2015-06-29,78,2015-09-16,1934430,281203,"Bushnell","June 29, 2015",NA,"September 15, 2015",78,281203,1934430,17.4871832284,-89.0605002561," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"501E",2015-06-29,78,2015-09-16,1956977,291363,"Bushnell","June 29, 2015",NA,"September 15, 2015",78,291363,1956977,17.6918376362,-88.9670632168," ",NA,"No","Yes",NA,"No","No","Along wide logging road","Mature forest"
"510FG",2015-09-15,77,2015-12-02,1934328,281361,"Moultrycam","September 15, 2015",NA,"December 1, 2015",77,281361,1934328,17.4862792274,-89.0590032376," ",NA,"No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest"
"503F",2015-09-15,45,2015-10-31,1957359,291313,"Bushnell","September 15, 2015",NA,"November 9, 2015",45,291313,1957359,17.6952806421,-88.9675732245," ",NA,"No","Yes",NA,"No","No","At Pond","Mature forest"
"511FG",2015-09-15,77,2015-12-02,1934484,282114,"Moultrycam","September 15, 2015",NA,"December 1, 2015",77,282114,1934484,17.4877642331,-89.0519331531," ",NA,"No","Yes","2015","Yes","No","Along narrow logging trail","Disturbed High forest"
"502F",2015-09-15,55,2015-11-10,1957023,289306,"Moultrycam","September 15, 2015",NA,"November 9, 2015",55,289306,1957023,17.6920566289,-88.9864564522," ",NA,"No","Yes",NA,"No","No","Along narrow logging trail","Mature forest"
"509G",2015-11-09,53,2016-01-02,1934595.208,283441,"Bushnell","November 9, 2015",NA,"December 1, 2015",53,283441,1934595,17.4888932404,-89.0394550032," ",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
"512G",2015-11-09,22,2015-12-02,1935657,282179,"Scoutguard","November 9, 2015",NA,"December 1, 2015",22,282179,1935657,17.4983612527,-89.051441152,"Took only 10 useful pictures",NA,"No","Yes","2015","Yes","No","Along wide logging road","Disturbed High forest"
