"picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","Location.1","Mammal","site","Brand","Date.Placement","Date.Removed","Days","Northing","Easting","Conservati","Active_Log","Logged_in","Hurricane","Fire_Damag","Location_d","Landscape","Location.y","Last.Record","obsdate","visit","date_time_obs"
109,"White-nosed Coati",1,2016,3,18,"9.35","","Laguna Seca","Yes","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-03-18,70,"2016-03-18 9.35"
115,"White-tailed Deer",1,2016,3,24,"6.57","","Laguna Seca","Yes","601H","Bushnell",2016-01-09,2016-04-21,106,1956096,291628,"No","No",2015,"No","No","Along narrow logging trail","Mature Forest","Laguna Seca",2016-04-25,2016-03-24,76,"2016-03-24 6.57"
34,"Agouti",1,2016,5,5,"5.42","","Laguna Seca","Yes","601I","Bushnell",2016-04-21,2016-07-05,14,1955672.809,291732.9954,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-05-06,2016-05-05,15,"2016-05-05 5.42"
1,"Great Curassow",2,2016,4,22,"7.37","Pair","Laguna Seca","No","601I","Bushnell",2016-04-21,2016-07-05,14,1955672.809,291732.9954,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-05-06,2016-04-22,2,"2016-04-22 7.37"
7,"Great Curassow",2,2016,4,22,"18.06","Pair","Laguna Seca","No","601I","Bushnell",2016-04-21,2016-07-05,14,1955672.809,291732.9954,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-05-06,2016-04-22,2,"2016-04-22 18.06"
13,"Great Curassow",1,2016,4,24,"7.06","Female","Laguna Seca","No","601I","Bushnell",2016-04-21,2016-07-05,14,1955672.809,291732.9954,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-05-06,2016-04-24,4,"2016-04-24 7.06"
16,"Great Curassow",1,2016,4,25,"6.43","Female","Laguna Seca","No","601I","Bushnell",2016-04-21,2016-07-05,14,1955672.809,291732.9954,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-05-06,2016-04-25,5,"2016-04-25 6.43"
28,"Great Curassow",1,2016,4,29,"5.42","Female","Laguna Seca","No","601I","Bushnell",2016-04-21,2016-07-05,14,1955672.809,291732.9954,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-05-06,2016-04-29,9,"2016-04-29 5.42"
31,"Great Curassow",1,2016,5,5,"4.56","Male","Laguna Seca","No","601I","Bushnell",2016-04-21,2016-07-05,14,1955672.809,291732.9954,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-05-06,2016-05-05,15,"2016-05-05 4.56"
25,"Ocellated Turkey",1,2016,4,26,"7.2","","Laguna Seca","No","601I","Bushnell",2016-04-21,2016-07-05,14,1955672.809,291732.9954,"No","No",2015,"No","No","Along large logging road","Mature Forest","Laguna Seca",2016-05-06,2016-04-26,6,"2016-04-26 7.20"
