Name,mean_NDVI,sd_NDVI
401A,0.91772690317,0.00265461790
401B,0.92141837541,0.00256856297
401C,0.91994325348,0.00267257896
401C2,0.91865837354,0.00260317955
401D,0.91865837354,0.00260317955
402A,0.91712500680,0.00294552799
402C,0.91739198295,0.00278213607
402C2,0.91604975621,0.00553862918
402D,0.91604975621,0.00553862918
402E,0.91661453028,0.00286000782
402F,0.91627634813,0.00278932769
403A,0.91996841425,0.00326552778
403B,0.91858662515,0.00305317957
403C,0.92264718909,0.00246726616
403C2,0.91497174227,0.00454451864
403D,0.91497174227,0.00454451864
403E,0.92712865545,0.00503050762
403F,0.91713827331,0.00325886769
404B,0.92316490357,0.00242078393
404C,0.81713520492,0.12981440548
404C2,0.91915624732,0.00284330301
404D,0.91915624732,0.00284330301
404E,0.91736441851,0.00304324812
404F,0.91736441851,0.00304324812
405A,0.92652139151,0.00403519713
405B,0.92381687203,0.00395797039
405C,0.92480184015,0.00381362346
405C2,0.92531427878,0.00407748075
405D,0.92531427878,0.00407748075
405E,0.92597128801,0.00602981272
405F,0.92003202578,0.00282481124
406A,0.92455192936,0.00391128315
406B,0.92682965879,0.00636272825
406C,0.92562941728,0.00366311885
406C2,0.91727034931,0.00401779984
406D,0.91727034931,0.00401779984
406E,0.92456402894,0.00518970092
406F,0.91704672658,0.00317320053
407A,0.92518546084,0.00493082981
407B,0.92628128704,0.00323616325
407C,0.92893215698,0.00302812204
407C2,0.92526096488,0.00474870561
407D,0.92526096488,0.00474870561
407E,0.92710865255,0.00464709376
407F,0.93343207337,0.00801812839
408B,0.92684507534,0.00478702294
408C,0.92435346691,0.00454178323
408C2,0.92052315347,0.00370835477
408D,0.92052315347,0.00370835477
408E,0.89381847888,0.04055568103
408F,0.89000857584,0.04326864775
409A,0.92727196736,0.00566526421
409B,0.92371959014,0.00509155466
409C,0.92531466622,0.00384704825
409C2,0.92412377908,0.00574687689
409D,0.92412377908,0.00574687689
409E,0.92436990470,0.00431705667
409F,0.93963692549,0.00642545296
410A,0.92149135306,0.00438175567
410B,0.92440575111,0.00378877440
410C,0.92616558460,0.00490571348
410C2,0.91934817701,0.00347211699
410D,0.91934817701,0.00347211699
411B,0.92186295275,0.00738487113
411C,0.92375850399,0.00415959467
411F,0.90009533461,0.03504978960
412B,0.92328576593,0.00492895619
412C,0.92114046052,0.00410985404
412D,0.92484859534,0.00413083598
412E,0.92553790255,0.00444251737
413C,0.91737316433,0.00222455572
413C2,0.91996487672,0.00337127603
413D,0.91996487672,0.00337127603
413E,0.91983153104,0.00391420513
413F,0.91983153104,0.00391420513
501C,0.93007393504,0.00760701880
502C,0.93058717335,0.00948329102
503C,0.93127665954,0.00713026265
504C,0.93503159504,0.00855169490
505C,0.92259251467,0.00742179441
506C,0.91919778281,0.01172473359
507C,0.92041106872,0.00450064029
508C,0.91905655883,0.00549089192
509C,0.92460651765,0.00458833731
510C,0.92550623882,0.00416059859
511C,0.92549305580,0.00478894116
512C,0.91578587794,0.00724287773
501D,0.92919926865,0.00746174679
502D,0.92490700598,0.00693678188
503D,0.92941530500,0.00679224777
504D,0.92229827751,0.01119672890
505D,0.91741464535,0.00796874030
506D,0.92196230720,0.00588992751
507D,0.92450067319,0.00431203426
508D,0.92231451672,0.00445525649
509D,0.92173779682,0.00428114697
510D,0.92437492565,0.00489317076
511D,0.92271735991,0.00367580873
512D,0.92321796565,0.00447379113
501E,0.92179854839,0.00660129575
502E,0.92354233024,0.00652161029
503E,0.92288441824,0.00760317730
504E,0.91509556224,0.00746955567
505E,0.92758875867,0.00601190436
506E,0.93460920663,0.00717280215
507E,0.92423069477,0.00507731477
508E,0.92445893736,0.00491192985
509E,0.92579448084,0.00499855745
510E,0.92254291398,0.00454877406
511E,0.92612297519,0.00301395246
512E,0.92011267086,0.00642043025
501F,0.93056875467,0.00493096112
502F,0.92316347277,0.00737738686
503F,0.92416168535,0.00719504276
504F,0.92738564591,0.00725836836
505F,0.91701427034,0.00839052391
506F,0.93328736142,0.00688479651
507F,0.92617599673,0.00379767176
508F,0.92402431287,0.00382044021
509F,0.92647543686,0.00335130005
510FG,0.92440010376,0.00561487845
511FG,0.92371403388,0.00423429272
512F,0.92025111705,0.00649069864
501G,0.92834293104,0.00794622043
502G,0.92033799507,0.01050794142
503G,0.92621220367,0.00629067943
504G,0.91742584395,0.00722273257
505G,0.92237084260,0.00691202403
506G,0.93027748373,0.00679977787
507G,0.92307546968,0.00445624688
508G,0.92279083521,0.00482398534
509G,0.92391890287,0.00487384853
512G,0.92007788797,0.00536200299
507H,0.92437952952,0.00531436037
508H,0.92489778912,0.00333229965
509H,0.92425007612,0.00518761033
510H,0.92077655749,0.00628267724
511H,0.92570323631,0.00465584175
512H,0.92815840636,0.00296624984
513H,0.84890962032,0.08545371400
601H,0.92582208279,0.00886342721
602H,0.92595754748,0.00586151588
603H,0.92944153251,0.00567030238
604H,0.91577895355,0.00808675271
605H,0.91905924120,0.00775400393
606H,0.92361602173,0.00701841096
607A,0.92438403479,0.00530239660
608A,0.91744995855,0.00506804007
609A,0.92425007612,0.00518761033
610A,0.92076501401,0.00630970275
611A,0.92566621966,0.00464407117
612A,0.92815840636,0.00296624984
613A,0.92332852734,0.00450353999
614H,0.92276073972,0.00743900006
601I,0.92649968918,0.00621261547
602I,0.92729410967,0.00645293422
603I,0.92661454399,0.00730718255
604I,0.91921461554,0.00732699141
605I,0.91635792472,0.00754555711
606I,0.92585769514,0.00692155959
607B,0.92289681114,0.00436135937
608B,0.92449120918,0.00541077041
609B,0.92102779653,0.00465057441
610B,0.92219049228,0.00398851267
611B,0.92233822253,0.00495666364
612B,0.92667094931,0.00481528560
613B,0.92478069100,0.00506381108
614I,0.92859714976,0.00684308700
601J,0.93534506898,0.00686118180
602J,0.92244815034,0.00829501907
603J,0.92989855585,0.00594535763
604J,0.91754360322,0.01010012628
605J,0.92119662013,0.00737206709
606J,0.92604566669,0.00658174093
614J,0.92000687830,0.00682344382
607C,0.92532656132,0.00555236522
608C,0.92230658206,0.00474524828
609C,0.92095056204,0.00557873473
610C,0.92047475620,0.00637820953
611C,0.92022113789,0.00517916985
612C,0.92607668219,0.00480550737
601K,0.93297487931,0.00584281538
602K,0.92368758682,0.00653623243
603K,0.93140656276,0.00515236045
604K,0.92397805128,0.00525186221
605K,0.91856712620,0.00602026966
606K,0.92707279501,0.00781610456
701A,0.92539326978,0.00986703961
702A,0.89229069426,0.06745611780
703A,0.92980400920,0.00781744033
704A,0.93260804077,0.00716489342
705A,0.93270418485,0.00682407117
706A,0.92697042610,0.00695052244
707A,0.92565888030,0.00669512114
703B,0.93283259869,0.00656107231
704B,0.92848682048,0.01140171179
705B,0.93236608549,0.00763205635
708A,0.92185676714,0.00398082878
709A,0.92045497754,0.00362226063
710A,0.91741202375,0.00416009398
711A,0.91894490812,0.00660895444
712A,0.93697921645,0.00728994186
713A,0.91551552535,0.00809718764
714A,0.93984700202,0.00738689148
701B,0.92539326978,0.00986703961
702B,0.89229069426,0.06745611780
706B,0.92697042610,0.00695052244
707B,0.92565888030,0.00669512114
708B,0.92185676714,0.00398082878
709B,0.92045497754,0.00362226063
710B,0.91741202375,0.00416009398
711B,0.91894490812,0.00660895444
712B,0.93697921645,0.00728994186
713B,0.91551552535,0.00809718764
714B,0.93984700202,0.00738689148
701D,0.93394340277,0.00922252327
702D,0.88065429849,0.07875007509
703D,0.93329564758,0.00610976785
704D,0.92972669733,0.01133927887
705D,0.93564508259,0.00652569186
706D,0.92881677268,0.00684635962
707D,0.91060787851,0.01776280577
708D,0.93044485667,0.00656280470
709D,0.93081407618,0.00776448746
710D,0.93237903589,0.00451656120
711D,0.91943714843,0.00671616558
712D,0.91804820491,0.00681730112
713D,0.91415328512,0.00831213676
714D,0.91682781412,0.00658247057
701E,0.92794642706,0.00804929946
702E,0.92861910506,0.00703536143
703E,0.93111804499,0.00791998544
704E,0.93243036072,0.00850530543
706E,0.92754086362,0.00636882478
707E,0.92757988332,0.00741562993
709E,0.91785501654,0.00612622802
710E,0.92516984114,0.00406183999
711E,0.91818243046,0.00781850639
712E,0.92590001519,0.00433291328
713E,0.91315195187,0.00846929088
714E,0.92721535826,0.00671027772
701F,0.92865759080,0.00769980437
702F,0.92756302546,0.00711205078
703F,0.92014834908,0.00669408929
704F,0.93211528783,0.00868460789
707F,0.92917386190,0.00770524812
709F,0.91773636735,0.00634341056
710F,0.92515241334,0.00418911327
711F,0.91691613170,0.00744213156
712F,0.92642986173,0.00410483651
713F,0.91536566754,0.00790206824
714F,0.92725198586,0.00677714679
701G,0.92849510575,0.00780722628
702G,0.92685968343,0.00714783049
703G,0.92057557315,0.00640261783
704G,0.92874581116,0.00638479518
707G,0.92953867984,0.00764348541
709G,0.91773636735,0.00634341056
710G,0.92676491581,0.00412720452
711G,0.91691613170,0.00744213156
712G,0.92568082551,0.00427726282
713G,0.91536566754,0.00790206824
714G,0.92725892028,0.00682075259
801D,0.92815347993,0.00757097083
801E,0.92837515774,0.00767776961
802A,0.92916993356,0.00697515965
803A,0.92038042081,0.00639115315
803B,0.92119883756,0.00644607060
803D,0.93625256529,0.00829377801
804A,0.92923405478,0.00604016933
804C,0.91886448273,0.01044894947
805B,0.92188348972,0.00669731482
807A,0.92880591764,0.00763065903
807B,0.92858327775,0.00697278205
807D,0.91828707174,0.00850010810
807E,0.91807965678,0.00851595934
809F,0.92192792564,0.00750003889
809G,0.91085572965,0.00732475384
810A,0.92665243616,0.00420126039
810B,0.92691608985,0.00437790929
810C,0.92670969812,0.00419411633
810D,0.92423147592,0.00418892284
810E,0.92468078400,0.00375023021
810F,0.92425848592,0.00386617965
810G,0.92019332966,0.00393716407
811G,0.91767577702,0.00653219125
812A,0.92528899941,0.00395515341
812B,0.92590380264,0.00380804561
812C,0.92559108207,0.00376673367
812D,0.92462166965,0.00355337191
812E,0.93136524443,0.00740855355
812G,0.92231775127,0.00274897920
813A,0.92122556064,0.00674812322
813B,0.92727666875,0.00648309013
813G,0.91028972814,0.00860472810
814A,0.92471792731,0.00554646941
814G,0.91941763677,0.00626699926
801A,0.92833929628,0.00777975173
801B,0.92838386297,0.00747955505
801C,0.92777201547,0.00770346658
801F,0.91068171429,0.00808477881
801G,0.90466487131,0.00712444356
802C,0.91975260687,0.00727095734
802D,0.91977902145,0.00685551099
802E,0.92077257776,0.00789855896
802F,0.92063267536,0.00818354704
802G,0.90816304046,0.01249922430
803C,0.93546719443,0.00814755549
803E,0.93163526332,0.00631410126
803F,0.91608685914,0.00833575393
803G,0.91712591426,0.00694307289
804D,0.91432949887,0.00694624118
804E,0.91402195986,0.00699187586
804F,0.91377296524,0.00695773968
804G,0.90961898435,0.01057898410
805C,0.93028377141,0.00864969763
805D,0.91537632083,0.00761207786
805E,0.91509029120,0.00758152893
805F,0.91527759321,0.00758256280
805G,0.92149095314,0.00563427579
807C,0.92886797633,0.00776814249
807F,0.91652561296,0.00648016360
807G,0.91866217574,0.00761937667
809A,0.91739036020,0.00692162121
809B,0.91630059071,0.00702709157
809C,0.92080246773,0.01002828715
809D,0.92203890676,0.00793077190
809E,0.92192792564,0.00750003889
811A,0.92408927355,0.00855582609
811B,0.92290841407,0.00920790780
811C,0.92344147402,0.00964302908
811D,0.92339145051,0.00687284009
811E,0.92279219265,0.00822027563
813C,0.91384689131,0.01010905460
813D,0.92083645647,0.00714380981
813E,0.92298266320,0.00740767221
814B,0.92634755879,0.00697265030
814C,0.91822244506,0.00822974067
814D,0.93103760316,0.00603328464
814E,0.93078888864,0.00628454485
901C,0.90876833744,0.00734248306
902C,0.91090027885,0.00621491986
903C,0.91170989264,0.00709109733
903D,0.91103825967,0.00744393381
903E,0.91212759633,0.00735933371
903F,0.92996879234,0.00906921989
903G,0.90309651428,0.00679569094
904C,0.90746448811,0.00905376472
904D,0.90767551945,0.00875521755
904E,0.91236317841,0.00735756367
904F,0.91182658787,0.00715772706
904G,0.91194145293,0.00523831061
905C,0.91929723483,0.00829644738
905D,0.91307957695,0.00719346149
905E,0.91564800324,0.00659384618
905F,0.91580016891,0.00629976693
905G,0.91220659616,0.00712520322
906C,0.93239734424,0.00796116685
906G,0.93336917720,0.00772612722
907C,0.91332116820,0.00909049136
909B,0.92576905623,0.00633263679
909C,0.92538887317,0.00724872089
911C,0.93215464212,0.00789228933
911F,0.93303686990,0.00542938222
901B,0.89230413618,0.00916155581
904A,0.90378819111,0.00732693951
904B,0.90378819111,0.00732693951
905A,0.90521347985,0.00988701788
905B,0.90667531348,0.00874203743
906A,0.87878825843,0.03774554540
907A,0.90699269129,0.00815173689
907B,0.90832656174,0.00792745179
908A,0.91339642708,0.00894471253
908B,0.91327224357,0.00897979078
908D,0.91274821099,0.00905452608
908F,0.91643293292,0.00680264671
909A,0.46763954018,0.06335793890
910A,0.84376071223,0.05647528290
910B,0.83586397424,0.05811141549
910C,0.83787267485,0.05835140074
910D,0.84777884567,0.05530303459
910E,0.90096556895,0.01294579326
910G,0.91507583385,0.00858487127
913A,0.91091681374,0.00972384989
913B,0.91468311723,0.00828490317
901D,0.91570634115,0.00781676878
901E,0.90763276175,0.00909820364
901F,0.89545500581,0.02475104203
901G,0.90803177557,0.00865735556
902D,0.92440744928,0.00536514599
902E,0.90783121619,0.00675469542
902F,0.81382281053,0.01916900605
907D,0.91954437049,0.00415288966
907E,0.92328620094,0.00341855466
907F,0.92302097613,0.00340045436
907G,0.92283583562,0.00336926867
01A,0.89754631381,0.00967382041
06B,0.92718478741,0.00886010458
06D,0.92488221132,0.00653763784
06E,0.92300228952,0.00827974232
06F,0.93311170017,0.00728228081
08C,0.91254908623,0.00915102053
08E,0.91643293292,0.00680264671
08G,0.92907616565,0.00866115563
10F,0.91507583385,0.00858487127
11A,0.91813749116,0.00950701881
11B,0.91863304377,0.00986837969
11D,0.93301853489,0.00779827839
11E,0.93114963133,0.00755359906
12A,0.91191737778,0.01099949800
12B,0.91578329755,0.00785703324
12C,0.91070040338,0.00924508707
02A,0.92319038442,0.00341770118
03A,0.91491777318,0.00779548136
04A,0.91245187071,0.00815801274
05A,0.91590771392,0.00689300302
06A,0.92468870740,0.00419653111
13A,0.92254686629,0.00670393850
01B,0.89970058011,0.00760310156
02B,0.92320049880,0.00347138760
03B,0.91322756142,0.01054314380
04B,0.91593062386,0.00595384637
05B,0.91565628455,0.00768913038
13B,0.92254686629,0.00670393850
01C,0.89996019033,0.00752352779
02C,0.92350248623,0.00544183953
03C,0.91427580807,0.00835413618
06C,0.92600763806,0.00471396509
04C,0.91390810292,0.00915822525
05C,0.91021117292,0.00846881611
11C,0.92770124461,0.00561567899
13C,0.92026161522,0.00584985214
01D,0.91438830446,0.00852075966
02D,0.92099364452,0.00483566182
03D,0.91711586550,0.00639694263
04D,0.90941648664,0.00948510460
05D,0.91004139648,0.00870620798
12D,0.91296905834,0.00699733311
13D,0.92029546610,0.00567197440
02E,0.92101836943,0.00482716701
03E,0.91672029721,0.00607273103
04E,0.90875232492,0.00934004349
12E,0.76326227025,0.14660127877
13E,0.91720972235,0.00686445507
01F,0.89760647309,0.01085600399
02F,0.92264200733,0.00375021352
03F,0.90921842614,0.00612782968
01G,0.91310025140,0.01076801326
02G,0.91940880866,0.00354448439
03G,0.90870058070,0.00690107066
04F,0.91343434858,0.00948225442
05F,0.91713734944,0.00744987616
06G,0.92068958474,0.00491844924
11F,0.92514677770,0.00527790395
12F,0.81649437397,0.13600253595
13F,0.91661027402,0.00762573128
01H,0.91640103055,0.00599774149
02H,0.91993863566,0.00339865247
03H,0.91549543886,0.00535588185
04G,0.91280427192,0.00946850393
06H,0.92399152523,0.00386011686
12G,0.91360565402,0.00611988553
13G,0.91312686785,0.00890584499
