,site,Brand,Conservation,Logging,Hurricane,Fire,Location,Landscape,Lat,Long,Season,mean_bioma,Forest_Los,FL,mean_NDVI,sd_NDVI,Canopy_Height_m,LatLong,NEAR_DIST_ROAD,NEAR_DIST_STRM,Nat_Dist
120,505E,Moultrycam,No,Yes,No,No,Along narrow logging trail,Mature forest,17.69099063,-88.97498131,Rainy,155.744,0,No Loss,0.927588759,0.006011904,19.0706,-1574.055561,0.001888505,0.002686534,No
121,505C,Moultrycam,No,Yes,No,No,Along wide logging road,Mature forest,17.686443,-88.986117,Dry,148.079,0,No Loss,0.922592515,0.007421794,19.0486,-1573.847886,4.67E-06,0.006561741,No
122,508E,Scoutguard,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.48891324,-89.039392,Rainy,80.6976,0,No Loss,0.924458937,0.00491193,21.1634,-1557.202202,0.000758393,0.007434994,Yes
123,510C,Moultrycam,No,Yes,Yes,No,Along narrow logging trail,Disturbed High forest,17.496905,-89.049508,Dry,67.32,1.2,Loss,0.925506239,0.004160599,21.2009,-1558.090782,1.60E-05,0.007866608,Yes
124,502C,Moultrycam,No,Yes,No,No,Along narrow seismic line,Mature forest,17.674197,-88.953728,Dry,177.367,3,Loss,0.930587173,0.009483291,16.1009,-1572.185713,0.004598441,0.00320792,No
125,503C,Scoutguard,Yes,No,No,No,Edge of stream,Mature Forest,17.635389,-88.968908,Dry,NA,0,No Loss,0.93127666,0.007130263,21.2161,-1569.001302,0.008572291,9.20E-05,No
126,506C,Bushnell,Yes,No,No,No,Edge of stream,Mature Forest,17.635355,-88.966967,Dry,NA,0,No Loss,0.919197783,0.011724734,24.4878,-1568.964046,0.009334802,1.77E-05,No
127,511C,Moultrycam,No,Yes,Yes,No,Along narrow logging trail,Disturbed High forest,17.493995,-89.05235,Dry,68.1281,1.2,Loss,0.925493056,0.004788941,19.5819,-1557.881366,1.19E-06,0.011791281,Yes
128,506F,Bushnell,No,Yes,No,No,Along wide logging road,Mature forest,17.68800564,-88.94442694,Rainy,223.154,0,No Loss,0.933287361,0.006884797,19,-1573.249525,8.35E-05,0.003635485,No
129,601H,Bushnell,No,No,No,No,Along narrow logging trail,Mature Forest,17.68390151,-88.96447969,Dry,156.853,0,No Loss,0.925822083,0.008863427,19.5692,-1573.239097,0.001156932,0.001717544,No
130,601I,Bushnell,No,No,No,No,Along large logging road,Mature Forest,17.68008845,-88.96344869,Dry,169.189,0,No Loss,0.926499689,0.006212615,16.4878,-1572.881642,0.000165767,0.000529833,No
131,601J,Bushnell,No,No,No,No,Along large logging road,Mature Forest,17.680309,-88.956324,Rainy,168.421,0,No Loss,0.935345069,0.006861182,18.6779,-1572.775296,1.34E-06,0.007006407,No
132,602H,Moultrycam,No,No,No,No,Along narrow logging trail,Mature Forest,17.6875399,-88.98721501,Dry,143.811,0,No Loss,0.925957547,0.005861516,19.8714,-1573.964916,0.001386625,0.008037634,No
133,602I,Moultrycam,No,No,No,No,Along large logging road,Mature Forest,17.68987695,-88.97492192,Dry,157.177,0,No Loss,0.92729411,0.006452934,23.1373,-1573.95542,0.000773958,0.001667885,No
134,602J,Moultrycam,No,No,No,No,Along large logging road,Mature Forest,17.686634,-88.976771,Rainy,162.292,0,No Loss,0.92244815,0.008295019,21.129,-1573.699583,1.36E-06,0.000361274,No
135,602K,Moultrycam,No,No,Yes,No,Along large logging road,Mature Forest,17.688397,-88.97487,Rainy,156.509,0,No Loss,0.923687587,0.006536232,24.6173,-1573.822824,1.59E-07,0.000233711,No
136,603H,Bushnell,No,No,No,No,At pond,Mature Forest,17.69361842,-88.96762035,Dry,137.524,0,No Loss,0.929441533,0.005670302,20.0956,-1574.159127,3.68E-06,0.000176231,No
137,603J,Bushnell,No,No,No,No,Along large logging road,Mature Forest,17.701081,-88.962354,Rainy,131.041,0,No Loss,0.929898556,0.005945358,19.9463,-1574.729834,1.42E-05,0.000864524,No
138,603K,Bushnell,No,No,Yes,No,Along large logging road,Mature Forest,17.689047,-88.96672,Rainy,143.737,0,No Loss,0.931406563,0.00515236,23.4705,-1573.736492,7.29E-07,0.003225264,No
139,604H,Scoutguard,No,No,No,No,Along narrow logging trail,Mature Forest,17.68560232,-88.9768733,Dry,165.494,0,No Loss,0.915778954,0.008086753,19.2975,-1573.609597,0.000740584,0.001038929,No
140,604I,Scoutguard,No,No,No,No,Along large logging road,Mature Forest,17.68592215,-88.97531893,Dry,163.306,0,No Loss,0.919214616,0.007326991,18.8409,-1573.610564,0.000194819,0.001837297,No
141,605H,Moultrycam,No,No,No,No,Along narrow logging trail,Mature Forest,17.68229176,-88.97456569,Dry,157.396,0,No Loss,0.919059241,0.007754004,22.3849,-1573.274229,0.000445351,0.004993478,No
142,605I,Moultrycam,No,No,No,No,Along narrow logging trail,Mature Forest,17.67832354,-88.9739959,Dry,153.613,0,No Loss,0.916357925,0.007545557,19,-1572.911086,0.000708975,0.007273617,No
143,605J,Moultrycam,No,No,No,No,Along large logging road,Mature Forest,17.681108,-88.974543,Rainy,158.355,0,No Loss,0.92119662,0.007372067,20.4492,-1573.168504,9.01E-06,0.005784834,No
144,605K,Moultrycam,No,No,Yes,No,Along large logging road,Mature Forest,17.68022,-88.970689,Rainy,160.524,0,No Loss,0.918567126,0.00602027,19.105,-1573.021355,8.26E-07,0.006532413,No
145,606J,Bushnell,No,No,No,No,At pond,Mature Forest,17.693543,-88.967697,Rainy,134.584,0,No Loss,0.926045667,0.006581741,17.3307,-1574.153772,2.15E-06,0.000219488,No
146,606K,Bushnell,No,No,Yes,No,Along large logging road,Mature Forest,17.682851,-88.965836,Rainy,154.629,0,No Loss,0.927072795,0.007816105,19.8527,-1573.169622,2.73E-06,0.00276148,No
147,607A,Bushnell,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.49249925,-89.039095,Dry,81.0486,0,No Loss,0.924384035,0.005302397,18.441,-1557.516302,0.000998473,0.005569805,Yes
148,607C,Bushnell,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.48712,-89.038928,Rainy,79.9519,0,No Loss,0.925326561,0.005552365,19.0855,-1557.034419,1.92E-07,0.007731458,Yes
149,608A,Scoutguard,No,No,Yes,No,Along narrow logging trail,Disturbed High Forest,17.48801955,-89.04604187,Dry,82.4761,0,No Loss,0.917449959,0.00506804,17.6141,-1557.238921,4.96E-05,0.011942204,Yes
150,608B,Scoutguard,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.4848472,-89.05925345,Rainy,72.1076,1.2,Loss,0.924491209,0.00541077,17.5433,-1557.187439,6.20E-05,0.009559949,Yes
151,608C,Bushnell,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.4853,-89.064429,Rainy,84.6736,0,No Loss,0.922306582,0.004745248,17.9431,-1557.31826,1.24E-06,0.010691193,Yes
152,609A,Bushnell,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.49602925,-89.03680697,Dry,80.9928,0,No Loss,0.924250076,0.00518761,19.3256,-1557.79058,0.000547545,0.001961823,Yes
153,609B,Bushnell,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.49636914,-89.03743754,Rainy,81.3894,0,No Loss,0.921027797,0.004650574,24.2332,-1557.831874,6.09E-05,0.002363817,Yes
154,609C,Bushnell,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.492713,-89.03598,Rainy,79.6019,0,No Loss,0.920950562,0.005578735,22.1723,-1557.480845,2.27E-07,0.002623692,Yes
155,610A,Moultrycam,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.49720225,-89.04634609,Dry,71.9091,0,No Loss,0.920765014,0.006309703,21,-1558.061927,0.000848669,0.005050111,Yes
156,610B,Moultrycam,No,No,Yes,No,Along narrow logging trail,Disturbed High Forest,17.49386216,-89.05207147,Rainy,68.8839,1.2,Loss,0.922190492,0.003988513,24.54,-1557.864663,9.46E-05,0.011634434,Yes
157,610C,Bushnell,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.495315,-89.046376,Rainy,71.9824,0,No Loss,0.920474756,0.00637821,21,-1557.894398,4.32E-06,0.006348567,Yes
158,611A,Moultrycam,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.49654425,-89.05228316,Dry,62.9697,0,No Loss,0.92566622,0.004644071,18.4556,-1558.107213,0.000773325,0.009722638,Yes
159,611B,Moultrycam,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.49441616,-89.05382947,Rainy,64.7345,0,No Loss,0.922338223,0.004956664,27.553,-1557.944753,8.34E-07,0.012353153,Yes
160,611C,Moultrycam,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.496496,-89.05149,Rainy,64.8386,0,No Loss,0.920221138,0.00517917,18.841,-1558.089039,5.77E-06,0.009309143,Yes
161,612A,Moultrycam,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.48974724,-89.04046202,Dry,82.2955,0,No Loss,0.928158406,0.00296625,16.1728,-1557.295175,0.001563214,0.007957639,Yes
162,612C,Moultrycam,No,No,Yes,No,Along large logging road,Disturbed High Forest,17.486414,-89.049586,Rainy,81.9304,0.5,Loss,0.926076682,0.004805507,16.3268,-1557.157927,4.76E-06,0.014345713,Yes
163,614H,Bushnell,No,No,No,No,At pond,Mature Forest,17.69520053,-88.96751505,Dry,135.174,0,No Loss,0.92276074,0.007439,17.6979,-1574.298019,0.000526742,0.001307346,No
164,614I,Bushnell,No,No,Yes,No,Along large logging road,Mature Forest,17.70243829,-88.95593653,Dry,137.166,0,No Loss,0.92859715,0.006843087,19.6253,-1574.736977,0.000864381,0.001707891,No
165,614J,Bushnell,No,No,No,No,Along narrow logging trail,Mature Forest,17.685301,-88.967368,Rainy,149.369,0,No Loss,0.920006878,0.006823444,19.7182,-1573.414682,1.59E-05,0.004699809,No
166,604J,Bushnell,No,No,No,No,Along large logging road,Mature Forest,17.685856,-88.986114,Rainy,146.391,0,No Loss,0.917543603,0.010100126,16.4767,-1573.795598,1.54E-06,0.006333615,No
167,701A,,No,No,No,No,Along Large Logging Road,Mature Forest,17.665457,-88.966065,Dry,145.835,0,No Loss,0.92539327,0.00986704,18.1821,-1571.626196,7.49E-06,0.001837347,No
168,701B,,,No,,,,,17.665457,-88.966065,Dry,145.835,0,No Loss,0.92539327,0.00986704,18.1821,-1571.626196,7.49E-06,0.001837347,No
169,701D,,,Yes,,,,,17.67841497,-88.95777203,Dry,168.93,2.1,Loss,0.933943403,0.009222523,20.6419,-1572.632409,0.00132328,0.004816957,No
170,701E,,,Yes,,,,,17.678859,-88.954339,Dry,182.345,0,No Loss,0.927946427,0.008049299,18.7148,-1572.611217,4.75E-05,0.006433986,No
171,701F,,,Yes,,,,,17.67878,-88.954291,Dry,182.746,0,No Loss,0.928657591,0.007699804,18.5044,-1572.603341,1.77E-05,0.006394577,No
172,701G,,,Yes,,,,,17.678773,-88.9543,Dry,182.701,0,No Loss,0.928495106,0.007807226,18.5434,-1572.602877,1.32E-05,0.006383751,No
173,702A,,No,Yes,No,No,Next main road,Mature Forest,17.67625,-88.961293,Dry,176.183,2.5,Loss,0.892290694,0.067456118,8.81999,-1572.502055,1.75E-06,0.001871339,No
174,702B,,,Yes,,,,,17.67625,-88.961293,Dry,176.183,2.5,Loss,0.892290694,0.067456118,8.81999,-1572.502055,1.75E-06,0.001871339,No
175,702D,,,Yes,,,,,17.6762615,-88.9612672,Dry,176.156,2.5,Loss,0.880654298,0.078750075,8.66025,-1572.502622,1.44E-05,0.001876602,No
176,702E,,,Yes,,,,,17.671006,-88.960976,Dry,170.295,0,No Loss,0.928619105,0.007035361,19.7719,-1572.029941,3.45E-05,0.003195092,No
177,702F,,,Yes,,,,,17.671009,-88.960939,Dry,170.381,0,No Loss,0.927563025,0.007112051,19.8237,-1572.029554,3.49E-05,0.003179328,No
178,702G,,,Yes,,,,,17.670969,-88.960862,Dry,170.449,0,No Loss,0.926859683,0.00714783,19.6753,-1572.024635,2.34E-05,0.003191454,No
179,703A,,No,Yes,No,No,In secondary bush along drillplatform,Mature Forest,17.685606,-88.943455,Dry,223.154,0,No Loss,0.929804009,0.00781744,20.0242,-1573.018901,4.29E-06,0.001976519,No
180,703B,,No,Yes,No,No,Next main road,Mature Forest,17.697052,-88.937708,Dry,149.085,0,No Loss,0.932832599,0.006561072,22.684,-1573.935243,1.03E-05,0.008537946,No
181,703E,,,Yes,,,,,17.68636,-88.944435,Dry,223.154,0,No Loss,0.931118045,0.007919985,19,-1573.103297,2.86E-05,0.002072784,No
182,703F,,,Yes,,,,,17.687813,-88.985328,Dry,145.595,0,No Loss,0.920148349,0.006694089,18.351,-1573.955841,6.69E-05,0.006614764,No
183,703G,,,Yes,,,,,17.687721,-88.985195,Dry,146.069,0,No Loss,0.920575573,0.006402618,18.8198,-1573.945302,3.11E-06,0.006453462,No
184,704F,,,Yes,,,,,17.679107,-88.951758,Dry,194.358,0,No Loss,0.932115288,0.008684608,18.1855,-1572.587648,0.000140635,0.00581904,No
185,704G,,,Yes,,,,,17.687031,-88.990088,Dry,138.853,0,No Loss,0.928745811,0.006384795,19.6672,-1573.970445,6.85E-06,0.00798797,No
186,706A,,No,Yes,No,No,Near dry stream,Mature Forest,17.674513,-88.961456,Dry,175.879,0,No Loss,0.926970426,0.006950522,19.8917,-1572.350411,7.48E-06,0.000218275,No
187,706B,,,Yes,,,,,17.674513,-88.961456,Dry,175.879,0,No Loss,0.926970426,0.006950522,19.8917,-1572.350411,7.48E-06,0.000218275,No
188,706D,,,Yes,,,,,17.67458713,-88.96148144,Dry,176,0,No Loss,0.928816773,0.00684636,19.8036,-1572.357455,1.14E-05,0.000296267,No
189,706E,,,Yes,,,,,17.67456,-88.961419,Dry,175.986,0,No Loss,0.927540864,0.006368825,19.9097,-1572.353938,2.09E-05,0.000255515,No
190,707A,Bushnell,No,No,No,No,Near pond,Mature Forest,17.693507,-88.967704,Dry,134.628,0,No Loss,0.92565888,0.006695121,17.4225,-1574.150693,4.55E-06,0.00025065,No
191,707D,,,Yes,,,,,17.66861527,-88.9586725,Dry,172.513,0.6,Loss,0.910607879,0.017762806,16.7482,-1571.776559,0.001611663,0.001894145,No
192,707E,,,Yes,,,,,17.670596,-88.958141,Dry,175.3,0,No Loss,0.927579883,0.00741563,20.8449,-1571.943371,5.03E-05,0.002219806,No
193,707F,,,Yes,,,,,17.670518,-88.958148,Dry,175.246,0,No Loss,0.929173862,0.007705248,21.8538,-1571.936555,1.04E-05,0.002227649,No
194,707G,,,Yes,,,,,17.670534,-88.958203,Dry,175.143,0,No Loss,0.92953868,0.007643485,21.5567,-1571.938951,2.35E-05,0.002282473,No
195,708A,,No,No,Yes,No,Next main road,Hurricane damaged forest,17.449853,-88.957415,Dry,50.6971,0,No Loss,0.921856767,0.003980829,21.7408,-1552.293815,6.46E-07,0.007755572,Yes
196,708B,,,No,,,,,17.449853,-88.957415,Dry,50.6971,0,No Loss,0.921856767,0.003980829,21.7408,-1552.293815,6.46E-07,0.007755572,Yes
197,708D,,,Yes,,,,,17.50900867,-88.93192635,Dry,59.5649,0,No Loss,0.930444857,0.006562805,24.6968,-1557.10987,0.005466613,0.004059941,Yes
198,709A,,No,No,Yes,No,Next main road,Hurricane damaged forest,17.471496,-88.950226,Dry,42.8297,0,No Loss,0.920454978,0.003622261,18.7976,-1554.093518,1.25E-05,0.005204039,Yes
199,709B,,,No,,,,,17.471496,-88.950226,Dry,42.8297,0,No Loss,0.920454978,0.003622261,18.7976,-1554.093518,1.25E-05,0.005204039,Yes
200,709E,,,Yes,,,,,17.547492,-88.975519,Dry,104.801,0,No Loss,0.917855017,0.006126228,18.3549,-1561.297208,7.31E-06,0.006857119,Yes
201,709F,,,Yes,,,,,17.547483,-88.97553,Dry,104.873,0,No Loss,0.917736367,0.006343411,18.3682,-1561.2966,1.85E-06,0.006850962,Yes
202,709G,,,Yes,,,,,17.547483,-88.97553,Dry,104.873,0,No Loss,0.917736367,0.006343411,18.3682,-1561.2966,1.85E-06,0.006850962,Yes
203,710B,,,No,,,,,17.483782,-88.94618,Dry,123.948,0,No Loss,0.917412024,0.004160094,17.8434,-1555.115621,4.45E-06,0.004820965,Yes
204,710E,,,No,,,,,17.489127,-89.038313,Dry,79.7456,0,No Loss,0.925169841,0.00406184,20.986,-1557.202364,5.21E-06,0.006431133,Yes
205,710G,,,No,,,,,17.499964,-89.014871,Dry,66.1614,0,No Loss,0.926764916,0.004127205,17.6836,-1557.757038,3.76E-06,0.002906622,Yes
206,711A,,No,No,Yes,No,Near pond,Hurricane damaged forest,17.566096,-88.999345,Dry,145.527,0,No Loss,0.918944908,0.006608954,19.0659,-1563.371038,8.15E-06,0.00025211,Yes
207,711D,,,No,,,,,17.56614667,-88.9993461,Dry,145.527,0,No Loss,0.919437148,0.006716166,19.123,-1563.375567,1.96E-05,0.000244818,Yes
208,711E,,,No,,,,,17.565477,-88.999653,Dry,145.527,0,No Loss,0.91818243,0.007818506,19.9188,-1563.321358,1.08E-05,0.000658222,Yes
209,711F,,,No,,,,,17.565404,-88.999648,Dry,145.527,0,No Loss,0.916916132,0.007442132,19.946,-1563.314773,5.16E-06,0.000668628,Yes
210,712A,,No,Yes,Yes,No,Next main road,Hurricane damaged forest,17.51301,-88.944714,Dry,79.9788,0,No Loss,0.936979216,0.007289942,18.7352,-1557.689666,1.05E-06,0.01100963,Yes
211,712B,,,Yes,,,,,17.51301,-88.944714,Dry,79.9788,0,No Loss,0.936979216,0.007289942,18.7352,-1557.689666,1.05E-06,0.01100963,Yes
212,712D,,,Yes,,,,,17.54449496,-88.930975,Dry,NA,0,No Loss,0.918048205,0.006817301,19.4178,-1560.249043,0.015788483,0.008543012,Yes
213,712E,,,No,,,,,17.49375,-89.031492,Dry,78.3826,0,No Loss,0.925900015,0.004332913,24.6162,-1557.494663,5.77E-06,0.00180477,Yes
214,712F,,,No,,,,,17.493788,-89.031494,Dry,78.4478,0,No Loss,0.926429862,0.004104837,24.6386,-1557.498081,1.68E-05,0.001825456,Yes
215,712G,,,No,,,,,17.493727,-89.031549,Dry,78.3806,0,No Loss,0.925680826,0.004277263,24.3148,-1557.493613,4.72E-06,0.001745122,Yes
216,713A,,No,No,Yes,No,Near pond (telebasis pond),Hurricane damaged forest,17.560817,-89.002509,Dry,179.821,0,No Loss,0.915515525,0.008097188,19,-1562.956773,3.43E-06,0.000618584,Yes
217,713B,,,No,,,,,17.560817,-89.002509,Dry,179.821,0,No Loss,0.915515525,0.008097188,19,-1562.956773,3.43E-06,0.000618584,Yes
218,713D,,,No,,,,,17.56112742,-89.00236987,Dry,179.821,0,No Loss,0.914153285,0.008312137,18.773,-1562.981958,1.59E-05,0.000811361,Yes
219,713E,,,No,,,,,17.561047,-89.002346,Dry,179.821,0,No Loss,0.913151952,0.008469291,18.707,-1562.974381,2.52E-05,0.000730259,Yes
220,713F,,,No,,,,,17.561181,-89.002371,Dry,179.821,0,No Loss,0.915365668,0.007902068,18.7405,-1562.986747,7.63E-06,0.000857713,Yes
221,713G,,,No,,,,,17.561181,-89.002371,Dry,179.821,0,No Loss,0.915365668,0.007902068,18.7405,-1562.986747,7.63E-06,0.000857713,Yes
222,714A,,No,No,Yes,No,Small logging road,Hurricane damaged forest,17.519204,-88.956141,Dry,114.965,0,No Loss,0.939847002,0.007386891,17.4347,-1558.440781,9.93E-07,0.005355122,Yes
223,714B,,,No,,,,,17.519204,-88.956141,Dry,114.965,0,No Loss,0.939847002,0.007386891,17.4347,-1558.440781,9.93E-07,0.005355122,Yes
224,714D,,,Yes,,,,,17.55114399,-88.94350243,Dry,92.6809,0,No Loss,0.916827814,0.006582471,20.3645,-1561.060218,0.001623826,0.001495633,Yes
225,714F,,,Yes,,,,,17.55104,-88.966678,Dry,75.8114,0,No Loss,0.927251986,0.006777147,19.0612,-1561.457724,0.000195743,0.005037293,Yes
226,714G,,,Yes,,,,,17.551045,-88.966671,Dry,75.8403,0,No Loss,0.92725892,0.006820753,19.0229,-1561.458046,0.000193547,0.005028889,Yes
227,813A,Bushnell,NA,No,NA,NA,NA,NA,17.565386,-88.999822,Dry,145.527,0,No Loss,0.921225561,0.006748123,18.3645,-1563.316227,2.73E-06,0.000842328,Yes
228,803A,Bushnell,NA,No,NA,NA,NA,NA,17.687765,-88.985202,Dry,145.981,0,No Loss,0.920380421,0.006391153,18.8151,-1573.949341,2.91E-06,0.006486575,No
229,804A,Moultrie,NA,No,NA,NA,NA,NA,17.687019,-88.990134,Dry,138.883,0,No Loss,0.929234055,0.006040169,19.8154,-1573.970191,8.26E-06,0.00794349,No
230,814A,Bushnell,NA,No,NA,NA,NA,NA,17.546265,-88.983645,Dry,127.617,0,No Loss,0.924717927,0.005546469,19.838,-1561.330616,1.16E-07,0.00038114,Yes
231,807A,Bushnell,NA,No,NA,NA,NA,NA,17.670536,-88.958142,Dry,175.258,0,No Loss,0.928805918,0.007630659,21.7783,-1571.938051,4.81E-07,0.002221455,No
232,807B,Bushnell,NA,No,NA,NA,NA,NA,17.682487,-88.965874,Dry,155.764,0,No Loss,0.928583278,0.006972782,18.1411,-1573.13791,1.06E-05,0.002691255,No
233,803B,Bushnell,NA,No,NA,NA,NA,NA,17.687725,-88.985237,Dry,145.938,0,No Loss,0.921198838,0.006446071,18.5496,-1573.946401,3.16E-05,0.006488728,No
234,810B,Bushnell,NA,No,NA,NA,NA,NA,17.499957,-89.014831,Dry,66.2429,0,No Loss,0.92691609,0.004377909,17.6686,-1557.755715,5.01E-06,0.002923621,Yes
235,805B,Bushnell,NA,No,NA,NA,NA,NA,17.687115,-88.976046,Dry,160.39,0,No Loss,0.92188349,0.006697315,19.2053,-1573.729558,1.28E-05,0.000447363,No
236,812B,Bushnell,NA,No,NA,NA,NA,NA,17.494604,-89.010397,Dry,62.708,0,No Loss,0.925903803,0.003808046,21.4445,-1557.201647,1.13E-05,0.009688148,Yes
237,804C,Bushnell,NA,No,NA,NA,NA,NA,17.687768,-88.99012,Dry,137.605,0,No Loss,0.918864483,0.010448949,17.1516,-1574.036597,5.00E-06,0.007912972,No
238,810C,Bushnell,NA,No,NA,NA,NA,NA,17.499906,-89.01484,Dry,66.0933,0,No Loss,0.926709698,0.004194116,17.6374,-1557.751333,9.30E-06,0.002970566,Yes
239,803D,Bushnell,NA,No,NA,NA,NA,NA,17.682048,-88.944776,Dry,223.154,0,No Loss,0.936252565,0.008293778,18.9663,-1572.725799,1.76E-06,0.00118608,No
240,810D,Bushnell,NA,No,NA,NA,NA,NA,17.499305,-89.021451,Dry,61.5068,0,No Loss,0.924231476,0.004188923,22.2977,-1557.813523,4.59E-06,0.006807287,Yes
241,807D,Bushnell,NA,No,NA,NA,NA,NA,17.68354,-88.986696,Dry,147.627,0,No Loss,0.918287072,0.008500108,21.7669,-1573.599798,0.001762922,0.006529316,No
242,812E,Bushnell,NA,No,NA,NA,NA,NA,17.499978,-88.998508,Dry,102.76,0,No Loss,0.931365244,0.007408554,25.3808,-1557.471932,2.64E-05,0.003454578,Yes
243,801E,Moultrie,NA,No,NA,NA,NA,NA,17.678785,-88.95429,Dry,182.726,0,No Loss,0.928375158,0.00767777,18.522,-1572.603768,1.61E-05,0.006399287,No
244,810F,Bushnell,NA,No,NA,NA,NA,NA,17.499208,-89.021319,Dry,60.7062,0,No Loss,0.924258486,0.00386618,20.9291,-1557.802578,2.06E-06,0.006744947,Yes
245,809G,Bushnell,NA,No,NA,NA,NA,NA,17.555272,-89.016028,Dry,115.452,0,No Loss,0.91085573,0.007324754,20.7012,-1562.700584,0.000193355,0.005759162,Yes
246,814G,Bushnell,NA,No,NA,NA,NA,NA,17.566142,-88.999307,Dry,179.821,0,No Loss,0.919417637,0.006266999,17.2752,-1563.374465,4.01E-05,0.000207028,Yes
247,812A,Bushnell,NA,No,NA,NA,NA,NA,17.494554,-89.010372,Dry,62.8585,0,No Loss,0.925288999,0.003955153,20.9124,-1557.19676,1.83E-07,0.009743756,Yes
248,812C,Bushnell,NA,No,NA,NA,NA,NA,17.494583,-89.010421,Dry,62.6897,0,No Loss,0.925591082,0.003766734,21.4049,-1557.200198,3.72E-06,0.009693038,Yes
249,810G,Bushnell,NA,No,NA,NA,NA,NA,17.499279,-89.021359,Dry,56.6399,0,No Loss,0.92019333,0.003937164,13.42,-1557.809598,1.97E-06,0.006741789,Yes
250,812D,Bushnell,NA,No,NA,NA,NA,NA,17.496209,-89.014682,Dry,57.5185,0,No Loss,0.92462167,0.003553372,21.1122,-1557.41948,2.25E-06,0.00663295,Yes
251,813B,Bushnell,NA,No,NA,NA,NA,NA,17.568654,-88.988685,Dry,102.502,0,No Loss,0.927276669,0.00648309,21.1634,-1563.411417,0.000284466,0.009436115,Yes
252,811G,Bushnell,NA,No,NA,NA,NA,NA,17.567047,-88.998196,Dry,156.563,0,No Loss,0.917675777,0.006532191,22.7409,-1563.435492,3.81E-05,0.001044801,Yes
253,810E,Bushnell,NA,No,NA,NA,NA,NA,17.499297,-89.021393,Dry,61.2082,0,No Loss,0.924680784,0.00375023,22.5858,-1557.811795,8.43E-07,0.006761587,Yes
254,813G,Bushnell,NA,No,NA,NA,NA,NA,17.560818,-89.002484,Dry,170.459,0,No Loss,0.910289728,0.008604728,16.9742,-1562.956423,1.48E-05,0.000606436,Yes
255,802A,Moultrie,NA,No,NA,NA,NA,NA,17.670961,-88.960981,Dry,170.202,0,No Loss,0.929169934,0.00697516,19.4669,-1572.026026,6.93E-08,0.003238955,No
256,807E,Bushnell,NA,No,NA,NA,NA,NA,17.683543,-88.98667,Dry,147.673,0,No Loss,0.918079657,0.008515959,21.9161,-1573.599605,0.001753699,0.00650326,No
257,809F,Bushnell,NA,No,NA,NA,NA,NA,17.547912,-88.977442,Dry,112.65,0,No Loss,0.921927926,0.007500039,19.0487,-1561.368322,1.98E-05,0.004946924,Yes
258,801A,Moultrie,NA,Yes,NA,NA,NA,NA,17.678783,-88.954315,Dry,182.637,0,No Loss,0.928339296,0.007779752,18.5973,-1572.604032,1.70E-06,0.006383734,No
259,805C,Bushnell,NA,Yes,NA,NA,NA,NA,17.686371,-88.944355,Dry,223.154,0,No Loss,0.930283771,0.008649698,19.0789,-1573.102861,0.000104224,0.002117297,No
260,803C,Bushnell,NA,Yes,NA,NA,NA,NA,17.682152,-88.944742,Dry,223.154,0,No Loss,0.935467194,0.008147555,18.6917,-1572.734448,3.56E-07,0.001129206,No
261,802C,Bushnell,NA,Yes,NA,NA,NA,NA,17.691871,-88.992728,Dry,129.794,0,No Loss,0.919752607,0.007270957,19.7577,-1574.447864,5.14E-05,0.006275447,No
262,805D,Bushnell,NA,Yes,NA,NA,NA,NA,17.675982,-89.013871,Dry,138.16,0,No Loss,0.915376321,0.007612078,20.7766,-1573.407582,0.005428108,0.000548329,No
263,804D,Bushnell,NA,Yes,NA,NA,NA,NA,17.669095,-89.017401,Dry,166.148,0,No Loss,0.914329499,0.006946241,22.9627,-1572.856915,1.26E-05,0.003990107,No
264,803E,Bushnell,NA,Yes,NA,NA,NA,NA,17.686572,-88.942421,Dry,223.154,0,No Loss,0.931635263,0.006314101,19.1473,-1573.086533,0.001405127,0.003325501,No
265,805E,Bushnell,NA,Yes,NA,NA,NA,NA,17.675948,-89.013843,Dry,138.21,0,No Loss,0.915090291,0.007581529,20.6332,-1573.40406,0.005439127,0.000505721,No
266,804E,Bushnell,NA,Yes,NA,NA,NA,NA,17.669108,-89.01742,Dry,166.14,0,No Loss,0.91402196,0.006991876,22.8491,-1572.858408,2.70E-06,0.003974213,No
267,802E,Bushnell,NA,Yes,NA,NA,NA,NA,17.691818,-88.992782,Dry,129.888,0,No Loss,0.920772578,0.007898559,18.4103,-1574.444102,1.04E-05,0.006202886,No
