,site,Brand,Conservation,Logging,Hurricane,Fire,Location,Landscape,Lat,Long,Season,mean_bioma,Forest_Los,FL,mean_NDVI,sd_NDVI,Canopy_Height_m,LatLong,NEAR_DIST_ROAD,NEAR_DIST_STRM,Nat_Dist
28,402F,Bushnell,Yes,No,Yes,Yes,Seismic line,Secondary Forest,17.427456,-88.84751,Dry,98.4771,1.4,Loss,0.916276348,0.002789328,16.3315,-1548.386071,4.36E-06,0.003902872,Yes
29,403F,Bushnell,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.444091,-88.961319,Dry,61.1687,0,No Loss,0.917138273,0.003258868,19.4439,-1551.849344,4.83E-06,0.014680618,Yes
30,412D,Scoutguard,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.476428,-89.040235,Rainy,110.019,0,No Loss,0.924848595,0.004130836,20.6431,-1556.105256,6.76E-06,0.001846414,Yes
31,406A,Bushnell,No,No,Yes,No,Stock Transect,"Broadleaf forest, broken canopy",17.47653224,-89.04018953,Dry,109.72,0,No Loss,0.924551929,0.003911283,20.3305,-1556.113743,0.00010695,0.001761971,Yes
32,409A,Moultry,No,No,Yes,No,Stock Transect,"Broadleaf forest, broken canopy",17.4835112,-89.04013753,Dry,94.618,0,No Loss,0.927271967,0.005665264,25.957,-1556.734242,0.001806905,0.006478731,Yes
33,401A,Moultry,Yes,No,Yes,Yes,Seismic line,Secondary Forest,17.42571742,-88.88756124,Dry,84.3198,4.8,Loss,0.917726903,0.002654618,16.3978,-1548.929524,0.001441151,0.000559307,Yes
34,405A,Moultry,No,No,Yes,No,Stock Transect,"Broadleaf forest, broken canopy",17.47230526,-89.03943854,Dry,114.796,0,No Loss,0.926521392,0.004035197,18.1509,-1555.72425,0.001686782,0.003715668,Yes
35,408B,Scoutguard,No,No,Yes,No,Stock Transect,"Broadleaf forest, broken canopy",17.49356512,-89.03419016,Dry,77.552,0.5,Loss,0.926845075,0.004787023,19.4567,-1557.525403,0.001043149,0.000642668,Yes
36,411B,Scoutguard,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.46071182,-89.03816725,Dry,108.899,0,No Loss,0.921862953,0.007384871,19.331,-1554.669779,0.013322594,0.005776317,Yes
37,412B,Scoutguard,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.46290971,-89.03935827,Dry,112.154,0,No Loss,0.923285766,0.004928956,25.7607,-1554.886274,0.011021671,0.007548788,Yes
38,408C,Scoutguard,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.47831622,-89.04024801,Rainy,106.673,0,No Loss,0.924353467,0.004541783,17.6159,-1556.273611,0.000393709,0.002001994,Yes
39,411C,Scoutguard,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.47642422,-89.039763,Rainy,108.938,0,No Loss,0.923758504,0.004159595,20.1828,-1556.09667,0.000400359,0.001437301,Yes
40,410C,Moultry,No,No,Yes,no,Logging Road,"Broadleaf forest, broken canopy",17.48707325,-89.00958064,Rainy,79.4555,0,No Loss,0.926165585,0.004905713,20.0645,-1556.517057,0.002623692,0.005471408,Yes
41,407C,Bushnell,No,No,Yes,no,Logging Road,"Broadleaf forest, broken canopy",17.46684422,-88.9986865,Rainy,93.2359,0,No Loss,0.928932157,0.003028122,17.1953,-1554.526193,0.003285788,0.009965654,Yes
42,405C2,Moultry,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.489149,-89.038284,Rainy,79.1161,0,No Loss,0.925314279,0.004077481,18.8986,-1557.203816,6.57E-06,0.006394741,Yes
43,406C2,Bushnell,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.449859,-88.957326,Rainy,51.4989,0,No Loss,0.917270349,0.0040178,24.5649,-1552.292796,4.00E-06,0.007711273,Yes
44,410C2,Moultry,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.439883,-88.964011,Rainy,61.4731,0.2,Loss,0.919348177,0.003472117,20.0075,-1551.521943,0.000979981,0.019672012,Yes
45,410D,Moultry,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.439883,-88.964011,Rainy,61.4731,0.2,Loss,0.919348177,0.003472117,20.0075,-1551.521943,0.000979981,0.019672012,Yes
46,409D,Moultry,No,No,Yes,No,Narrow survey trail,"Broadleaf forest, broken canopy",17.492107,-89.041685,Rainy,81.3965,1.4,Loss,0.924123779,0.005746877,23.5474,-1557.526682,1.59E-05,0.006602026,Yes
47,403E,Bushnell,Yes,No,Yes,Yes,Seismic line,Secondary Forest,17.495469,-89.003162,Dry,90.0405,0,No Loss,0.927128655,0.005030508,20.1003,-1557.152062,7.55E-05,0.007928332,Yes
48,409E,Moultry,No,No,Yes,No,Narrow survey trail,"Broadleaf forest, broken canopy",17.492256,-89.035663,Dry,77.6685,0,No Loss,0.924369905,0.004317057,18.0811,-1557.43461,5.63E-06,0.002543025,Yes
49,405E,Moultry,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.483513,-89.038526,Dry,92.168,0,No Loss,0.925971288,0.006029813,19.9185,-1556.706227,0.000196913,0.006288064,Yes
50,405F,Moultry,No,No,Yes,No,Logging Road,"Broadleaf forest, broken canopy",17.499055,-89.021035,Dry,54.8592,0,No Loss,0.920032026,0.002824811,15,-1557.783988,3.50E-07,0.006590955,Yes
51,413F,Scoutguard,Yes,No,Yes,Yes,Seismic line,Secondary Forest,17.436873,-88.829214,Dry,NA,3.7,Loss,0.919831531,0.003914205,14.9452,-1548.903723,1.35E-06,0.013293193,Yes
