site,Location,Cam.nr,series,picture,Species,Nr,Year,Month,Day,Hour,Comment,camera.brand,Location.1,Logging,Date.Placement,Date.Removed,obsdate,Days,Northing,Easting,Conservati,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape,Area,Last_Record_clean,First_Obs,Last.Record_clean,date_time_obs
702B,Yalbac 702B,702,B,680,Gray Fox,1,2017,7,8,11.21,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/8/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-08 11.21
702B,Yalbac 702B,702,B,703,Gray Fox,1,2017,7,10,9.51,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/10/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-10 9.51
702B,Yalbac 702B,702,B,712,Gray Fox,1,2017,7,12,8.01,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/12/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-12 8.01
702B,Yalbac 702B,702,B,718,Gray Fox,1,2017,7,12,15.05,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/12/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-12 15.05
702B,Yalbac 702B,702,B,721,Gray Fox,1,2017,7,13,8.46,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/13/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-13 8.46
702B,Yalbac 702B,702,B,727,Gray Fox,1,2017,7,13,16.22,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/13/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-13 16.22
702B,Yalbac 702B,702,B,733,Gray Fox,1,2017,7,14,5.52,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/14/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-14 5.52
702B,Yalbac 702B,702,B,742,Gray Fox,1,2017,7,14,16.47,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/14/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-14 16.47
702B,Yalbac 702B,702,B,754,Gray Fox,1,2017,7,16,13.32,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/16/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-16 13.32
702B,Yalbac 702B,702,B,757,Gray Fox,1,2017,7,16,15.14,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/16/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-16 15.14
702B,Yalbac 702B,702,B,367,Great Curassow,2,2017,5,28,17.41,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/28/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-28 17.41
702B,Yalbac 702B,702,B,373,Great Curassow,1,2017,5,29,6.16,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/29/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-29 6.16
702B,Yalbac 702B,702,B,385,Great Curassow,1,2017,5,30,8.48,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/30/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-30 8.48
702B,Yalbac 702B,702,B,400,Great Curassow,1,2017,6,3,6.46,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/3/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-03 6.46
702B,Yalbac 702B,702,B,406,Great Curassow,1,2017,6,4,12.56,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/4/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-04 12.56
702B,Yalbac 702B,702,B,409,Great Curassow,1,2017,6,5,12.03,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/5/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-05 12.03
702B,Yalbac 702B,702,B,511,Great Curassow,1,2017,6,15,8.15,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/15/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-15 8.15
702B,Yalbac 702B,702,B,514,Great Curassow,1,2017,6,16,8.47,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/16/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-16 8.47
702B,Yalbac 702B,702,B,520,Great Curassow,1,2017,6,16,14.24,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/16/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-16 14.24
702B,Yalbac 702B,702,B,526,Great Curassow,1,2017,6,17,6.52,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/17/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-17 6.52
702B,Yalbac 702B,702,B,532,Great Curassow,1,2017,6,18,12.47,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/18/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-18 12.47
702B,Yalbac 702B,702,B,535,Great Curassow,1,2017,6,19,13.05,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/19/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-19 13.05
702B,Yalbac 702B,702,B,541,Great Curassow,1,2017,6,21,10.08,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/21/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-21 10.08
702B,Yalbac 702B,702,B,553,Great Curassow,2,2017,6,23,8.51,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/23/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-23 8.51
702B,Yalbac 702B,702,B,556,Great Curassow,1,2017,6,24,9.52,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/24/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-24 9.52
702B,Yalbac 702B,702,B,562,Great Curassow,1,2017,6,26,6.24,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/26/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-26 6.24
702B,Yalbac 702B,702,B,565,Great Curassow,1,2017,6,26,12.48,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/26/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-26 12.48
702B,Yalbac 702B,702,B,574,Great Curassow,1,2017,6,26,18.19,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/26/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-26 18.19
702B,Yalbac 702B,702,B,577,Great Curassow,1,2017,6,27,10.55,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/27/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-27 10.55
702B,Yalbac 702B,702,B,595,Great Curassow,1,2017,6,29,6.59,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/29/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-29 6.59
702B,Yalbac 702B,702,B,604,Great Curassow,1,2017,6,30,5.39,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/30/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-30 5.39
702B,Yalbac 702B,702,B,616,Great Curassow,1,2017,7,2,6.17,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/2/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-02 6.17
702B,Yalbac 702B,702,B,619,Great Curassow,2,2017,7,2,6.33,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/2/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-02 6.33
702B,Yalbac 702B,702,B,636,Great Curassow,1,2017,7,2,11.17,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/2/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-02 11.17
702B,Yalbac 702B,702,B,658,Great Curassow,1,2017,7,5,12.36,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/5/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-05 12.36
702B,Yalbac 702B,702,B,682,Great Curassow,1,2017,7,9,8.13,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/9/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-09 8.13
702B,Yalbac 702B,702,B,706,Great Curassow,2,2017,7,10,17.34,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/10/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-10 17.34
702B,Yalbac 702B,702,B,748,Great Curassow,1,2017,7,15,10.46,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/15/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-15 10.46
702B,Yalbac 702B,702,B,760,Great Curassow,1,2017,7,16,6.15,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/16/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-16 6.15
702B,Yalbac 702B,702,B,763,Great Curassow,2,2017,7,17,7.24,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/17/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-17 7.24
702B,Yalbac 702B,702,B,770,Great Curassow,1,2017,7,18,6.38,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/18/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-18 6.38
702B,Yalbac 702B,702,B,52,Margay,1,2017,5,17,1.27,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/17/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-17 1.27
702B,Yalbac 702B,702,B,238,Ocellated Turkey,1,2017,5,19,17.07,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/19/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-19 17.07
702B,Yalbac 702B,702,B,247,Ocellated Turkey,1,2017,5,20,12.21,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/20/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-20 12.21
702B,Yalbac 702B,702,B,256,Ocellated Turkey,1,2017,5,23,8.07,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/23/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-23 8.07
702B,Yalbac 702B,702,B,265,Ocellated Turkey,1,2017,5,23,14.4,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/23/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-23 14.40
702B,Yalbac 702B,702,B,322,Ocellated Turkey,1,2017,5,27,14.3,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/27/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-27 14.30
702B,Yalbac 702B,702,B,394,Ocellated Turkey,2,2017,6,2,6.08,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/2/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-02 6.08
702B,Yalbac 702B,702,B,397,Ocellated Turkey,1,2017,6,2,13.42,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/2/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-02 13.42
702B,Yalbac 702B,702,B,403,Ocellated Turkey,1,2017,6,3,11.13,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/3/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-03 11.13
702B,Yalbac 702B,702,B,499,Ocellated Turkey,1,2017,6,12,5.52,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/12/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-12 5.52
702B,Yalbac 702B,702,B,505,Ocellated Turkey,1,2017,6,13,11.05,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/13/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-13 11.05
702B,Yalbac 702B,702,B,517,Ocellated Turkey,1,2017,6,16,12.09,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/16/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-16 12.09
702B,Yalbac 702B,702,B,523,Ocellated Turkey,1,2017,6,17,6.01,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/17/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-17 6.01
702B,Yalbac 702B,702,B,586,Ocellated Turkey,1,2017,6,27,17.57,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/27/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-27 17.57
702B,Yalbac 702B,702,B,640,Ocellated Turkey,1,2017,7,2,17.04,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/2/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-02 17.04
702B,Yalbac 702B,702,B,646,Ocellated Turkey,3,2017,7,3,15.07,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/3/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-03 15.07
702B,Yalbac 702B,702,B,676,Ocellated Turkey,3,2017,7,8,6.1,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/8/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-08 6.10
702B,Yalbac 702B,702,B,694,Ocellated Turkey,1,2017,7,9,13.09,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/9/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-09 13.09
702B,Yalbac 702B,702,B,664,Ocelot,1,2017,7,5,22.36,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/5/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-05 22.36
702B,Yalbac 702B,702,B,274,Ocelot,1,2017,5,24,3.17,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/24/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-24 3.17
702B,Yalbac 702B,702,B,292,Ocelot,1,2017,5,24,23.18,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/24/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-24 23.18
702B,Yalbac 702B,702,B,412,Ocelot,1,2017,6,6,0.01,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/6/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-06 0.01
702B,Yalbac 702B,702,B,478,Ocelot,1,2017,6,7,22.04,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/7/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-07 22.04
702B,Yalbac 702B,702,B,529,Ocelot,1,2017,6,17,22.56,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/17/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-17 22.56
702B,Yalbac 702B,702,B,593,Ocelot,1,2017,6,28,12.17,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/28/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-28 12.17
702B,Yalbac 702B,702,B,661,Ocelot,1,2017,7,5,21.06,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/5/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-05 21.06
702B,Yalbac 702B,702,B,730,Ocelot,1,2017,7,14,4.03,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/14/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-14 4.03
702B,Yalbac 702B,702,B,589,Paca,1,2017,6,27,23.08,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,6/27/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-06-27 23.08
702B,Yalbac 702B,702,B,331,Puma,1,2017,5,27,21.43,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/27/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-27 21.43
702B,Yalbac 702B,702,B,736,Red Brocket Deer,1,2017,7,14,14.18,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/14/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-14 14.18
702B,Yalbac 702B,702,B,739,Red Brocket Deer,1,2017,7,14,14.56,,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,7/14/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-07-14 14.56
702B,Yalbac 702B,702,B,287,White-tailed Deer,2,2017,5,24,13.15,Bambi,Moultrie,Laguna Seca,Yes,5/15/2017,7/18/2017,5/24/2017,63,1955449,291963,,,NA,,,,,,7/18/2017,5/15/2017,7/18/2017,2017-05-24 13.15
702D,Yalbac 702D,702,D,79,Agouti,1,2017,7,25,7.49,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/25/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-25 7.49
702D,Yalbac 702D,702,D,169,Agouti,1,2017,8,10,6.17,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/10/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-10 6.17
702D,Yalbac 702D,702,D,107,Common Opossum,1,2017,7,30,3.04,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/30/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-30 3.04
702D,Yalbac 702D,702,D,34,Gray Fox,1,2017,7,19,8.07,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/19/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-19 8.07
702D,Yalbac 702D,702,D,52,Gray Fox,1,2017,7,20,9.56,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/20/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-20 9.56
702D,Yalbac 702D,702,D,58,Gray Fox,1,2017,7,22,14.48,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/22/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-22 14.48
702D,Yalbac 702D,702,D,88,Gray Fox,1,2017,7,27,17.21,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/27/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-27 17.21
702D,Yalbac 702D,702,D,100,Gray Fox,1,2017,7,29,9.25,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/29/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-29 9.25
702D,Yalbac 702D,702,D,124,Gray Fox,1,2017,8,2,8.58,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/2/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-02 8.58
702D,Yalbac 702D,702,D,136,Gray Fox,1,2017,8,3,17.32,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/3/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-03 17.32
702D,Yalbac 702D,702,D,148,Gray Fox,1,2017,8,5,10.39,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/5/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-05 10.39
702D,Yalbac 702D,702,D,154,Gray Fox,1,2017,8,6,23.33,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/6/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-06 23.33
702D,Yalbac 702D,702,D,160,Gray Fox,1,2017,8,8,10.37,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/8/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-08 10.37
702D,Yalbac 702D,702,D,178,Gray Fox,1,2017,8,12,12.34,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/12/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-12 12.34
702D,Yalbac 702D,702,D,184,Gray Fox,1,2017,8,13,4.43,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/13/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-13 4.43
702D,Yalbac 702D,702,D,190,Gray Fox,1,2017,8,13,9.36,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/13/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-13 9.36
702D,Yalbac 702D,702,D,196,Gray Fox,1,2017,8,14,6.55,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/14/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-14 6.55
702D,Yalbac 702D,702,D,205,Gray Fox,1,2017,8,15,10.23,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/15/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-15 10.23
702D,Yalbac 702D,702,D,223,Gray Fox,1,2017,8,18,13.53,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/18/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-18 13.53
702D,Yalbac 702D,702,D,229,Gray Fox,1,2017,8,19,6.01,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/19/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-19 6.01
702D,Yalbac 702D,702,D,232,Gray Fox,1,2017,8,19,16.23,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/19/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-19 16.23
702D,Yalbac 702D,702,D,235,Gray Fox,1,2017,8,20,9.35,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/20/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-20 9.35
702D,Yalbac 702D,702,D,241,Gray Fox,1,2017,8,22,9.56,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/22/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-22 9.56
702D,Yalbac 702D,702,D,247,Gray Fox,1,2017,8,23,15.24,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/23/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-23 15.24
702D,Yalbac 702D,702,D,253,Gray Fox,1,2017,8,25,8.38,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/25/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-25 8.38
702D,Yalbac 702D,702,D,49,Great Curassow,1,2017,7,20,9.41,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/20/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-20 9.41
702D,Yalbac 702D,702,D,67,Great Curassow,1,2017,7,24,6.1,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/24/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-24 6.10
702D,Yalbac 702D,702,D,91,Great Curassow,2,2017,7,28,6.52,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/28/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-28 6.52
702D,Yalbac 702D,702,D,97,Great Curassow,1,2017,7,29,5.49,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/29/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-29 5.49
702D,Yalbac 702D,702,D,118,Great Curassow,1,2017,7,31,12.16,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,7/31/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-07-31 12.16
702D,Yalbac 702D,702,D,142,Great Curassow,1,2017,8,3,17.52,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/3/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-03 17.52
702D,Yalbac 702D,702,D,151,Great Curassow,1,2017,8,6,6.22,,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/6/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-06 6.22
702D,Yalbac 702D,702,D,217,Jaguar,1,2017,8,18,11.1,218 and 219 nice picture,Moultrie,Laguna Seca,Yes,7/18/2017,9/27/2017,8/18/2017,70,1955450,291966,,,NA,,,,,,9/27/2017,7/18/2017,9/27/2017,2017-08-18 11.10
