site,Location,Cam.nr,series,picture,Species,Nr,Year,Month,Day,Hour,Comment,camera.brand,Location.1,Logging,Date.Placement,Date.Removed,obsdate,Days,Northing,Easting,Conservati,Active_Log,Logged_in,Hurricane,Fire_Damag,Location_d,Landscape,Area,Last_Record_clean,First_Obs,Last.Record_clean,date_time_obs
701A,Yalbac 701A,701,A,4333,White-tailed Deer,1,2017,4,8,6.43,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/8/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-08 6.43
701A,Yalbac 701A,701,A,4336,White-tailed Deer,1,2017,4,9,13.48,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/9/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-09 13.48
701A,Yalbac 701A,701,A,4339,White-tailed Deer,1,2017,4,10,16.52,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/10/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-10 16.52
701A,Yalbac 701A,701,A,4345,White-tailed Deer,1,2017,4,12,16.22,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/12/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-12 16.22
701A,Yalbac 701A,701,A,4348,White-tailed Deer,1,2017,4,13,6.23,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/13/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-13 6.23
701A,Yalbac 701A,701,A,4354,White-tailed Deer,1,2017,4,15,12.13,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/15/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-15 12.13
701A,Yalbac 701A,701,A,4366,White-tailed Deer,1,2017,4,17,15.01,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/17/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-17 15.01
701A,Yalbac 701A,701,A,4372,White-tailed Deer,1,2017,4,22,2.57,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/22/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-22 2.57
701A,Yalbac 701A,701,A,4378,White-tailed Deer,1,2017,4,26,5.35,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/26/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-26 5.35
701A,Yalbac 701A,701,A,4381,White-tailed Deer,1,2017,4,27,15.19,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,4/27/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-04-27 15.19
701A,Yalbac 701A,701,A,4387,White-tailed Deer,2,2017,5,4,14.19,Bambi,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,5/4/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-05-04 14.19
701A,Yalbac 701A,701,A,4393,White-tailed Deer,1,2017,5,9,6.44,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,5/9/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-05-09 6.44
701A,Yalbac 701A,701,A,4447,White-tailed Deer,1,2017,5,12,3.3,,Moultrie,Laguna Seca,No,1/27/2017,5/15/2017,5/12/2017,113,1954260,291445,No,Yes,NA,No,No,Along Large Logging Road,Mature Forest,Laguna Seca,5/21/2017,1/27/2017,5/21/2017,2017-05-12 3.30
