"","species","mean","sd"
"1","Bare-throated tiger heron",0.0622065562283504,0.552076670260088
"2","Collared Peccary",0.00834428709503772,0.574107919970249
"3","Great tinamou",0.0204186047912007,0.538565191835719
"4","Margay",0.00740873598851558,0.549404224186707
"5","Ruddy quail-dove",0.0325035206185158,0.538500849975506
"6","Striped hog-nosed skunk",0.0153173390099041,0.54801043246683
"7","Tayra",0.0233151005379154,0.538790598660784
"8","White-lipped Peccary",0.0128656970768894,0.561060362898427
