Species ,effect,2.5,97.5,variable,,,,Covariate,Logging ,Distance to Roads,Mean AGB,Distance to Streams,NDVI,Season,Natural Disturbance,Site (random effect)
Great Curassow,-0.163819245,-0.768280574,0.363981799,Distance to Streams,,,,,,,,,,,,
Jaguar,-0.19838317,-1.187810312,0.779481213,Distance to Streams,,,,,,,,,,,,
Ocellated Turkey,-0.326255993,-0.957740503,0.125248338,Distance to Streams,,,,,,,,,,,,
Ocelot,-0.088566784,-0.86391451,0.692400702,Distance to Streams,,,,,,,,,,,,
Paca,-0.802813742,-1.823652447,-0.126684646,Distance to Streams,,,,,,,,,,,,
Puma,-0.221402885,-0.997943442,0.552364944,Distance to Streams,,,,,,,,,,,,
Red Brocket Deer,-0.025917906,-0.852062822,0.816418946,Distance to Streams,,,,,,,,,,,,
White-nosed Coati,-0.977828276,-2.120951128,-0.277426415,Distance to Streams,,,,,,,,,,,,
White-tailed Deer,0.705520528,0.195480175,1.591662196,Distance to Streams,,,,,,,,,,,,
Agouti,-1.32426529,-3.081259595,-0.203437266,NDVI,,,,,,,,,,,,
Baird's tapir,-1.055023345,-2.575404675,0.008031682,NDVI,,,,,,,,,,,,
Crested Guan,-0.359293767,-2.033584047,0.888923693,NDVI,,,,,,,,,,,,
Gray-headed Dove,-0.429043572,-1.306863477,0.151730558,NDVI,,,,,,,,,,,,
Gray Fox,0.270893677,-0.267026899,1.002560242,NDVI,,,,,,,,,,,,
Great Curassow,-0.394509191,-1.37955065,0.225412659,NDVI,,,,,,,,,,,,
Jaguar,-0.541118721,-1.888604317,0.291301066,NDVI,,,,,,,,,,,,
Ocellated Turkey,-0.396071555,-1.319310863,0.170108974,NDVI,,,,,,,,,,,,
Ocelot,-0.918540266,-2.593427559,0.063924247,NDVI,,,,,,,,,,,,
Paca,-0.402547447,-1.338607498,0.218425098,NDVI,,,,,,,,,,,,
Puma,-0.783424723,-2.58156044,0.165998062,NDVI,,,,,,,,,,,,
Red Brocket Deer,0.476908323,-0.532112491,1.6860944,NDVI,,,,,,,,,,,,
White-nosed Coati,-0.682986062,-2.405791156,0.443667548,NDVI,,,,,,,,,,,,
White-tailed Deer,0.458184648,-0.044037226,1.303552613,NDVI,,,,,,,,,,,,
Agouti,-0.288464037,-1.580116612,0.964222013,Season,,,,,,,,,,,,
Baird's tapir,-0.000286265,-1.114120876,1.087968032,Season,,,,,,,,,,,,
Crested Guan,-0.690714481,-2.420580073,0.712504009,Season,,,,,,,,,,,,
Gray-headed Dove,0.048223031,-1.202851364,1.235416555,Season,,,,,,,,,,,,
Gray Fox,0.224856964,-0.771321514,1.409493139,Season,,,,,,,,,,,,
Great Curassow,-0.079533314,-1.079949117,1.005034937,Season,,,,,,,,,,,,
Jaguar,0.505707012,-1.019063337,2.195849461,Season,,,,,,,,,,,,
Ocellated Turkey,-0.631055146,-1.71194737,0.231665039,Season,,,,,,,,,,,,
Ocelot,0.581810908,-0.661871155,2.13445984,Season,,,,,,,,,,,,
Paca,1.184291643,0.024880278,2.712216402,Season,,,,,,,,,,,,
Puma,0.351091092,-0.825453743,1.803106524,Season,,,,,,,,,,,,
Red Brocket Deer,1.393692486,0.078022166,3.11286677,Season,,,,,,,,,,,,
White-nosed Coati,-0.106810013,-1.298066565,1.117035248,Season,,,,,,,,,,,,
White-tailed Deer,0.493028799,-0.426428608,1.753298128,Season,,,,,,,,,,,,
Agouti,-1.68796935,-3.642185078,-0.155761605,Natural Disturbance,,,,,,,,,,,,
Baird's tapir,-0.635748666,-2.241762045,0.733894326,Natural Disturbance,,,,,,,,,,,,
Crested Guan,0.781628251,-1.06584406,2.647198359,Natural Disturbance,,,,,,,,,,,,
Gray-headed Dove,0.982727228,-0.497479132,2.650309377,Natural Disturbance,,,,,,,,,,,,
Gray Fox,-1.427981582,-3.014457333,-0.143587564,Natural Disturbance,,,,,,,,,,,,
Great Curassow,-1.040383306,-2.461045105,0.208379005,Natural Disturbance,,,,,,,,,,,,
Jaguar,0.650464088,-1.166642982,2.687158527,Natural Disturbance,,,,,,,,,,,,
Ocellated Turkey,-1.787664936,-3.46991265,-0.573956533,Natural Disturbance,,,,,,,,,,,,
Ocelot,-0.674940268,-2.359740785,1.03354163,Natural Disturbance,,,,,,,,,,,,
Paca,0.154871804,-1.461597536,1.679951476,Natural Disturbance,,,,,,,,,,,,
Puma,-1.13941149,-2.78003712,0.399566724,Natural Disturbance,,,,,,,,,,,,
Red Brocket Deer,0.588358948,-1.053963965,2.397309931,Natural Disturbance,,,,,,,,,,,,
White-nosed Coati,-1.877779913,-3.889698147,-0.33035607,Natural Disturbance,,,,,,,,,,,,
White-tailed Deer,-1.785944748,-3.697177465,-0.541078128,Natural Disturbance,,,,,,,,,,,,
Agouti,4.44020183,1.44951958,8.653717917,Site,,,,,,,,,,,,
Baird's tapir,3.049353364,0.297143593,6.284879239,Site,,,,,,,,,,,,
Crested Guan,4.33096815,1.003802238,8.507195263,Site,,,,,,,,,,,,
Gray-headed Dove,3.785404735,0.668439201,7.612745791,Site,,,,,,,,,,,,
Gray Fox,3.304291247,0.468275427,6.697113635,Site,,,,,,,,,,,,
Great Curassow,2.576495791,0.17273964,5.974304295,Site,,,,,,,,,,,,
Jaguar,4.397773534,1.285883747,8.22974275,Site,,,,,,,,,,,,
Ocellated Turkey,2.670441159,0.228205253,6.017372264,Site,,,,,,,,,,,,
Ocelot,3.81328679,0.729027173,7.68770102,Site,,,,,,,,,,,,
Paca,3.982350105,0.847159661,7.821248885,Site,,,,,,,,,,,,
Puma,2.546107995,0.136484731,6.146552519,Site,,,,,,,,,,,,
Red Brocket Deer,4.508985392,1.303578055,8.41740751,Site,,,,,,,,,,,,
White-nosed Coati,3.11366259,0.231963201,6.856391438,Site,,,,,,,,,,,,
White-tailed Deer,2.816471593,0.152285484,6.360268074,Site,,,,,,,,,,,,
