Variable,Mean,SD,2.50%,50%,97.50%,Rhat,ESS
(Intercept),-0.9653,0.5113,-2.1802,-0.9381,-0.2231,1.1014,468
LoggingYes,-0.1251,0.1386,-0.4088,-0.1228,0.1429,1.0023,4327
mean_elev,0.0037,0.0181,-0.0321,0.0036,0.0396,1.0143,4472
