Name,Logging,Property,Brand,Date Placement,Date Removed,Last record,Days,Easting,Northing,Lat,Long
06B,,,Bushnell,20190309,20190421,20190309,0,291547,1953018,17.65531800,-88.96496400
06D,,,Bushnell,20190621,20190727,20190621,0,291597,1953814,17.66251000,-88.96457100
06E,,,Bushnell,20190727,20190823,20190727,0,291602,1953920,17.66240200,-88.96455200
06F,,,Bushnell,20190823,20191012,20190823,0,291544,1953145,17.65539200,-88.96501600
08C,,,Bushnell,20190421,20190621,20190421,0,286486,1954533,17.66852200,-89.01280400
08E,,,Bushnell,20190727,20190823,20190721,0,286486,1954650,17.66851300,-89.01283000
08G,,,Bushnell,20191012,20191208,20191012,0,290787,1952420,17.64877900,-88.97207800
10F,,,Bushnell,20190823,20191012,20190823,0,285946,1954725,17.66913900,-89.01792900
11A,,,Bushnell,20190202,20190309,20190202,0,286130,1955184,17.67437000,-89.01622200
11B,,,Bushnell,20190309,20190421,20190309,0,286130,1955184,17.67437000,-89.01622200
11D,,,Bushnell,20190621,20190727,20190621,0,291540,1952688,17.65233700,-88.96499600
11E,,,Bushnell,20190727,20190823,20190727,0,291551,1952805,17.65232400,-88.96491600
12A,,,Bushnell,20190202,20190309,20190202,0,287780,1943164,17.56593400,-88.99947200
12B,,,Bushnell,20190309,20190421,20190309,0,287794,1943179,17.56607200,-88.99934100
12C,,,Bushnell,20190421,20190621,20190421,0,287761,1943118,17.56551800,-88.99964700
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
